"Family","Count"
"Emberizidae",1559
"Icteridae",1436
"Anatidae",1001
"Cricetidae",801
"Parulidae",751
"Accipitridae",545
"Scolopacidae",492
"Strigidae",472
"Picidae",447
"Fringillidae",424
"Laridae",370
"Phasianidae",363
"Cardinalidae",354
"Sciuridae",335
"Ardeidae",310
"Tyrannidae",239
"Corvidae",227
"Turdidae",227
"Rallidae",193
"Soricidae",190
"Calcariidae",169
"Passerellidae",146
"Odontophoridae",138
"Vireonidae",131
"Charadriidae",120
"Alcidae",119
"Falconidae",116
"Mustelidae",107
"Cuculidae",102
"Columbidae",98
"Psittacidae",91
"Geomyidae",90
"Bombycillidae",88
"Paridae",87
"Alaudidae",80
"Canidae",77
"Troglodytidae",73
"Dipodidae",67
"Mimidae",67
"Vespertilionidae",67
"Trochilidae",64
"Bovidae",62
"Leporidae",57
"Felidae",53
"Pelecanidae",51
"Cervidae",50
"Podicipedidae",49
"Alcedinidae",45
"Caprimulgidae",45
"Hirundinidae",44
"Gruidae",42
"Procyonidae",42
"Fregatidae",40
"Heteromyidae",39
"Sittidae",36
"Recurvirostridae",35
"Regulidae",35
"Hominidae",34
"Meliphagidae",34
"Sturnidae",34
"Gaviidae",32
"Phalacrocoracidae",32
"Thraupidae",31
"Didelphidae",30
"Laniidae",29
"Mephitidae",29
"Phyllostomidae",29
"Procellariidae",29
"Motacillidae",28
"Castoridae",27
"Muscicapidae",25
"Trogonidae",25
"Apodidae",24
"Muridae",24
"Talpidae",23
"Cathartidae",21
"Diomedeidae",21
"Passeridae",21
"Sulidae",19
"Threskiornithidae",18
"Molossidae",17
"Tytonidae",17
"Macropodidae",16
"Pachycephalidae",16
"Ursidae",16
"Certhiidae",15
"Sylviidae",15
"Pandionidae",14
"Aplodontiidae",13
"Cercopithecidae",13
"Paradisaeidae",11
"Cinclidae",10
"Maluridae",10
"Odobenidae",10
"Otariidae",10
"Petroicidae",10
"Furnariidae",9
"Anhingidae",8
"Haematopodidae",8
"Hydrobatidae",8
"Pipridae",8
"Polioptilidae",8
"Stercorariidae",8
"Thamnophilidae",8
"Atelidae",7
"Coerebidae",7
"Cotingidae",7
"Equidae",7
"Phalangeridae",7
"Ramphastidae",7
"Campephagidae",6
"Coraciidae",6
"Cracticidae",6
"Jacanidae",6
"Phaethontidae",6
"Phocidae",6
"Spheniscidae",6
"Zosteropidae",6
"Antilocapridae",5
"Camelidae",5
"Cracidae",5
"Dasypodidae",5
"Ictaluridae",5
"Momotidae",5
"Monarchidae",5
"Ochotonidae",5
"Ornithorhynchidae",5
"Phascolarctidae",5
"Pteropodidae",5
"Aegithalidae",4
"Cebidae",4
"Ciconiidae",4
"Climacteridae",4
"Erethizontidae",4
"Estrildidae",4
"Mormoopidae",4
"Myoxidae",4
"Oriolidae",4
"Pardalotidae",4
"Pomatostomidae",4
"Suidae",4
"Tayassuidae",4
"Vombatidae",4
"Acanthizidae",3
"Artamidae",3
"Dasyuridae",3
"Emballonuridae",3
"Erinaceidae",3
"Meropidae",3
"Rhipiduridae",3
"Tachyglossidae",3
"Tenrecidae",3
"Viverridae",3
"Alligatoridae",2
"Apterygidae",2
"Bathyergidae",2
"Bucerotidae",2
"Capromyidae",2
"Catostomidae",2
"Cheloniidae",2
"Colubridae",2
"Crocodylidae",2
"Dicruridae",2
"Dromaiidae",2
"Elephantidae",2
"Emydidae",2
"Gliridae",2
"Hippopotamidae",2
"Hyaenidae",2
"Hystricidae",2
"Lorisidae",2
"Manidae",2
"Myocastoridae",2
"Myrmecophagidae",2
"Natalidae",2
"Neosittidae",2
"Paradiseidae",2
"Peramelidae",2
"Phoenicopteridae",2
"Pittidae",2
"Prunellidae",2
"Ptilogonatidae",2
"Rhinocerotidae",2
"Strigopidae",2
"Tinamidae",2
"Upupidae",2
"Viperidae",2
"Acanthisittidae",1
"Alcididae",1
"Anseranatidae",1
"Aramidae",1
"Balaenidae",1
"Batrachoididae",1
"Bradypodidae",1
"Cacatuidae",1
"Callaeatidae",1
"Carcharhinidae",1
"Caviidae",1
"Centrarchidae",1
"Chelydridae",1
"Dasyatidae",1
"Dasyproctidae",1
"Dugongidae",1
"Eupetidae",1
"Eurylaimidae",1
"Formicariidae",1
"Galagidae",1
"Galbulidae",1
"Giraffidae",1
"Heliornithidae",1
"Helodermatidae",1
"Hemiprocnidae",1
"Herpestidae",1
"Hylobatidae",1
"Iguanidae",1
"Irenidae",1
"Labridae",1
"Lemuridae",1
"Lepisosteidae",1
"Lethrinidae",1
"Locustellidae",1
"Megalonychidae",1
"Megapodiidae",1
"Menuridae",1
"Mobulidae",1
"Monodontidae",1
"Moronidae",1
"Nectariniidae",1
"Noctilionidae",1
"Orycteropodidae",1
"Otididae",1
"Perdicidae",1
"Petauridae",1
"Phocoenidae",1
"Pitheciidae",1
"Ploceidae",1
"Podargidae",1
"Pristidae",1
"Procaviidae",1
"Pseudocheiridae",1
"Ptilonorhynchidae",1
"Pythonidae",1
"Raphidae",1
"Remizidae",1
"Sagittariidae",1
"Salmonidae",1
"Scaridae",1
"Sciaenidae",1
"Sphenodontidae",1
"Struthionidae",1
"Syngnathidae",1
"Tapiridae",1
"Tetraonidae",1
"Trionychidae",1
"Turnicidae",1
"Varanidae",1
"Viduidae",1
