"dwc.scientificName","freq"
"",13
"Aves",12
"Mammalia",7
"Ictalurus punctatus",3
"Cetacea",2
"Chiroptera",2
"Pylodictis olivaris",2
"Aplodinotus grunniens",1
"Carnivora",1
"Catostomus commersonii",1
"Dasyatis sabina",1
"Galeocerdo cuvier",1
"Hippocampus erectus",1
"Lepisosteidae",1
"Manta birostris",1
"Monotaxis grandoculis",1
"Morone chrysops",1
"Moxostoma aureolum",1
"Myliobatiformes",1
"Opsanus tau",1
"Pomoxis nigromaculatus",1
"Pristidae",1
"Procellariiformes",1
"Salmo gairdneri",1
"Semicossyphus pulcher",1
"Sparisoma viride",1
"Squamata",1
"Testudines",1
