"Continent","Count"
"usa",11575
"can",997
"aus",219
"nic",189
"swe",148
"bhs",119
"blz",111
"cri",101
"mex",83
"gbr",64
"nzl",64
"tha",30
"ind",20
"che",13
"bel",11
"hun",11
"jpn",10
"cub",9
"grl",9
"idn",9
"lka",9
"png",9
"esp",8
"fji",7
"ita",6
"per",6
"arg",5
"bra",5
"fra",5
"cmr",4
"mys",4
"phl",4
"zaf",4
"dnk",3
"eth",3
"isl",3
"ven",3
"chl",2
"chn",2
"col",2
"mdg",2
"mus",2
"pri",2
"slb",2
"som",2
"ago",1
"brb",1
"deu",1
"dom",1
"gin",1
"gtm",1
"irl",1
"jam",1
"mli",1
"rou",1
"sen",1
"sgp",1
"tur",1
"vnm",1
