"Family","Count"
"Cyprinidae",4886
"Characidae",3144
"Centrarchidae",3124
"Blenniidae",1721
"Poeciliidae",1628
"Cichlidae",1474
"Triglidae",1413
"Sciaenidae",1384
"Ophidiidae",1009
"Percidae",976
"Ictaluridae",908
"Clupeidae",879
"Gobiidae",878
"Carangidae",857
"Serranidae",833
"Macrouridae",808
"Paralichthyidae",764
"Myctophidae",734
"Fundulidae",684
"Gerreidae",679
"Engraulidae",636
"Lutjanidae",580
"Tetraodontidae",580
"Atherinopsidae",547
"Ogcocephalidae",547
"Rajidae",541
"Syngnathidae",461
"Catostomidae",441
"Sternoptychidae",421
"Scorpaenidae",389
"Sparidae",386
"Synodontidae",385
"Bothidae",373
"Haemulidae",369
"Mugilidae",334
"Arhynchobatidae",315
"Loricariidae",309
"Cottidae",286
"Stomiidae",276
"Gonostomatidae",274
"Pomacentridae",267
"Cynoglossidae",266
"Labrisomidae",266
"Gadidae",263
"Cyprinodontidae",249
"Batrachoididae",242
"Salmonidae",241
"Labridae",231
"Nettastomatidae",221
"Monacanthidae",220
"Dasyatidae",217
"Ophichthidae",217
"Eleotridae",213
"Muraenidae",212
"Curimatidae",206
"Hemiodontidae",193
"Congridae",188
"Achiridae",181
"Scaridae",173
"Carcharhinidae",168
"Heptapteridae",161
"Bregmacerotidae",152
"Atherinidae",149
"Belonidae",149
"Antennariidae",147
"Sphyraenidae",144
"Scombridae",142
"Apogonidae",140
"Serrasalmidae",137
"Synaphobranchidae",136
"Phosichthyidae",133
"Mullidae",129
"Ariidae",128
"Uranoscopidae",124
"Gobiesocidae",123
"Anostomidae",117
"Erythrinidae",117
"Stromateidae",117
"Lebiasinidae",114
"Percophidae",112
"Exocoetidae",110
"Moridae",109
"Halosauridae",105
"Melamphaidae",104
"Ostraciidae",102
"Hypopomidae",101
"Lepisosteidae",99
"Urolophidae",99
"Triakidae",92
"Trichiuridae",92
"Aphredoderidae",91
"Ipnopidae",90
"Alepocephalidae",89
"Esocidae",87
"Bythitidae",86
"Polynemidae",83
"Centropomidae",82
"Diodontidae",82
"Acropomatidae",75
"Acanthuridae",74
"Trichomycteridae",72
"Doradidae",71
"Etmopteridae",70
"Balistidae",69
"Chaetodontidae",68
