"dwc.scientificName","freq"
"Scartella cristata",1122
"Gambusia affinis",768
"Lepomis megalotis",627
"Cyprinella lutrensis",581
"Lepomis macrochirus",534
"Pimephales vigilax",509
"Cyprinella venusta",503
"Lepophidium brevibarbe",441
"Lepomis cyanellus",376
"Menidia beryllina",364
"Micropterus salmoides",320
"Ictalurus punctatus",313
"Prionotus longispinosus",274
"Engraulidae",273
"Astyanax mexicanus",271
"Herichthys cyanoguttatus",246
"Hypleurochilus geminatus",239
"Campostoma anomalum",225
"Dorosoma cepedianum",215
"Dionda argentosa",212
"Pristipomoides aquilonaris",205
"Pomoxis annularis",201
"Lepomis gulosus",191
"Halieutichthys aculeatus",170
"Cynoscion arenarius",169
"Pimephales promelas",166
"Engyophrys senta",165
"Prionotus stearnsi",163
"Synodus foetens",158
"Etheostoma spectabile",156
"Poecilia mexicana",155
"Lagodon rhomboides",152
"Sphoeroides parvus",150
"Lepomis humilis",145
"Eucinostomus melanopterus",142
"Mugil cephalus",142
"Prionotus paralatus",140
"Gobiidae",139
"Anchoa mitchilli",138
"Micropogonias undulatus",138
"Dionda diaboli",133
"Hemiodontidae",133
"Sternoptyx diaphana",132
"Aphyocharax alburnus",130
"Micropterus punctulatus",130
"Bryconops caudomaculatus",129
"Prionotus rubio",129
"Mugil curema",128
"Lepomis auritus",126
"Notropis amabilis",126
"Fundulus notatus",125
"Labrisomus nuchipinnis",124
"Cynoscion nebulosus",123
"Dionda nigrotaeniata",123
"Hemigrammus analis",123
"Pterygoplichthys",122
"Dorosoma petenense",119
"Microschemobrycon casiquiare",119
"Eucinostomus harengulus",118
"Leiostomus xanthurus",117
"Moenkhausia copei",117
"Cyprinodon variegatus",116
"Prionotus tribulus",116
"Labidesthes sicculus",115
"Eucinostomus gula",114
"Hypsoblennius ionthas",114
"Lutjanus synagris",114
"Lythrurus fumeus",114
"Bregmaceros atlanticus",113
"Porichthys plectrodon",113
"Notemigonus crysoleucas",112
"Carpiodes carpio",111
"Citharichthys spilopterus",111
"Ophidion welshi",111
"Cyprinella lepida",108
"Dibranchus atlanticus",108
"Percina sciera",108
"Ameiurus natalis",107
"Lebiasinidae",107
"Bellator militaris",106
"Gymnothorax nigromarginatus",106
"Hoplias malabaricus",106
"Pogonias cromis",106
"Urophycis floridana",105
"Etheostoma gracile",104
"Fundulus grandis",104
"Oligoplites saurus",104
"Centropristis philadelphica",103
"Sciaenops ocellatus",102
"Syngnathus louisianae",102
"Chloroscombrus chrysurus",101
"Dionda serena",101
"Hemigrammus vorderwinkleri",101
"Brevoortia patronus",99
"Apistogramma",98
"Crenicichla wallacii",98
"Sphyraena guachancho",98
"Antennarius radiosus",97
"Lepomis microlophus",97
"Opsopoeodus emiliae",97
"Serranus atrobranchus",97
"Etropus crossotus",96
"Ogcocephalus declivirostris",96
"Fundulus olivaceus",95
"Sphoeroides spengleri",95
"Stephanolepis hispidus",95
"Gonostoma elongatum",94
"Prionotus ophryas",94
"Prionotus roseus",94
"Rhizoprionodon terraenovae",94
"Pontinus longispinis",93
"Bairdiella chrysoura",92
"Hemigrammus micropterus",92
"Myctophidae",92
"Aphredoderus sayanus",91
"Characidium",91
"Clupeidae",91
"Pylodictis olivaris",91
"Urophycis cirrata",91
"Cottus bairdii",90
"Notropis texanus",90
"Bollmannia communis",89
"Poecilia latipinna",89
"Syngnathus scovelli",89
"Notropis volucellus",88
"Raja texana",87
"Hemigrammus elegans",86
"Sciades felis",86
"Sphoeroides testudineus",84
"Strongylura marina",83
"Dasyatis sabina",82
"Etheostoma chlorosomum",82
"Cyprinodon rubrofluviatilis",81
"Eucinostomus argenteus",81
"Noturus gyrinus",81
"Opsanus beta",81
"Gobiesox strumosus",80
"Nezumia aequalis",80
"Bathygadus macrops",78
"Hemigrammus",78
"Hoplunnis macrurus",78
"Chauliodus sloani",77
"Gobionellus boleosoma",77
"Moenkhausia",77
"Caranx hippos",76
"Notropis buchanani",76
"Pimelodella",76
"Prionotus scitulus",76
"Scorpaena calcarata",76
"Symphurus plagiusa",75
"Ameiurus melas",74
"Saurida brasiliensis",74
"Harengula jaguana",73
"Percina macrolepida",73
"Bryconamericus",72
"Etrumeus teres",72
"Stenotomus caprinus",72
"Synaphobranchus oregoni",72
"Carangidae",71
"Ictalurus lupus",71
"Trachurus lathami",71
"Esox americanus",70
"Syacium gunteri",70
"Achirus lineatus",69
"Coregonus laurettae",69
"Notropis stramineus",68
"Syacium papillosum",68
"Trichopsetta ventralis",68
"Chaetodipterus faber",67
"Diplectrum bivittatum",67
"Hippocampus erectus",67
"Rhynchoconger flavus",66
"Sphoeroides dorsalis",66
"Bathyraja parmifera",65
"Bembrops anatirostris",65
"Moenkhausia lepidura",65
"Peprilus burti",65
"Caelorinchus caelorhincus",63
"Hoplunnis tenuis",63
"Bathygadus melanobranchus",62
"Dicrolene intronigra",62
"Engraulis eurystole",62
"Mylossoma duriventris",62
"Equetus umbrosus",61
"Ophichthus gomesii",61
"Pygocentrus nattereri",61
"Trichiurus lepturus",61
"Haemulon plumieri",60
"Malacocephalus occidentalis",60
"Stellifer lanceolatus",60
"Lepomis punctatus",59
"Polydactylus octonemus",59
"Sardinella aurita",59
"Anchoa hepsetus",58
"Argyropelecus aculeatus",58
"Gobiosoma robustum",58
"Hyphessobrycon bentosi",58
"Lucania parva",58
"Upeneus parvus",58
"Acanthostracion quadricornis",57
"Orthopristis chrysoptera",57
"Vieja maculicauda",57
"Geophagus dicrozoster",56
"Lutjanus griseus",56
"Monacanthus ciliatus",56
"Serrasalmus maculatus",56
"Bathygobius soporator",55
"Caranx latus",55
"Cyclothone",55
"Eucinostomus",55
"Lepomis",55
"Moenkhausia intermedia",55
"Lutjanus campechanus",54
"Merluccius albidus",54
"Notropis boops",54
"Pomadasys crocro",54
"Chilomycterus schoepfi",53
"Cottus girardi",53
"Dionda episcopa",53
"Gobiomorus dormitor",53
"Apistogramma regani",52
"Astroscopus y-graecum",52
"Astyanax fasciatus",52
"Fenestraja sinusmexicanus",52
