"Continent","Count"
"usa",29556
"ven",3936
"cri",1418
"bra",1335
"mex",1294
"ben",366
"per",300
"ecu",155
"aus",118
"pri",102
"pan",90
"tto",90
"slv",86
"ind",68
"are",65
"phl",65
"nic",59
"fji",43
"hnd",41
"guf",39
"idn",36
"jpn",35
"mli",30
"can",26
"com",25
"mys",22
"nzl",22
"guy",21
"bol",19
"twn",15
"col",14
"blz",13
"pyf",13
"sau",13
"tza",11
"ata",10
"arg",9
"ita",7
"ncl",7
"chl",6
"gbr",6
"iot",6
"isr",6
"bhs",5
"fra",5
"zaf",5
"cub",4
"dma",4
"lca",4
"sen",4
"som",4
"lka",3
"omn",3
"tha",3
"vnm",3
"mdg",2
"mrt",2
"tun",2
"tur",2
"bwa",1
"civ",1
"dza",1
"esp",1
"grc",1
"mnp",1
"nga",1
"plw",1
"png",1
"pol",1
"prt",1
"sur",1
"vir",1
"wsm",1
