"Collector","Count"
"2",1
"3",23
"6",1
"18",1
"19",4
"20",1
"58",4
"77",5
"98",178
"153",1
"201",5
"300",168
"311",640
"312",1118
"313",5
"410",5
"465",1
"489",131
"603",1
"605",173
"612",112
"613",3237
"614",2
"615",1
"616",1
"617",1
"618",1
"619",1
"689",131
"1949",1
"1969",1
"1973",17
"1976",14
"2012",5
"4400",7
"r",6722
"j",5486
"class",5008
"c",4816
"e",4611
"wfs",4303
"v",3728
"m",3704
"et",3678
"al",3675
"w",3579
"a",3181
"and",3144
"t",2557
"pequegnat",2467
"mceachran",2380
"chittenden",2369
"d",2181
"s",2118
"mms",1790
"k",1781
"j.d",1773
"darnell",1768
"b",1758
"lgl",1733
"grabowski",1529
"strawn",1437
"willis",1392
"winemiller",1342
"arrington",1313
"ii",1310
"arantes",1295
"oregon",1283
"l",1227
"smith",1205
"ponwith",1120
"o",1012
"crmwd",942
"h",929
"conway",896
"marine",849
"r.k",848
"biomedical",840
"k.w",840
"thornton",798
"t.b",753
"brown",711
"institute",697
"m.e",648
"wfsc",637
"williams",635
"alaminos",628
"r.m",599
"n",597
"marb",571
"f",560
"knapp",536
"montana",526
"anderson",524
"jepsen",493
"lee",487
"kim",471
"layman",452
"konstantinou",444
"bright",427
"pizano",414
"d.b",391
"mcguire",391
"caldwell",383
"g",357
"mccray",346
"p",338
"lozada",333
"k.o",324
"c.g",323
"henley",322
"k.m",322
"jackson",320
"pease",320
"dgom",315
"fitzgerald",304
"dixon",303
"hendricks",292
"conner",289
"burcham",287
"hodson",286
"bonham",271
"gyre",271
"shervette",251
"white",246
"carson",244
"moriarty",239
"felder",238
"walther",234
"longhorn",233
"d.m",228
"caira",226
"garrett",224
"harris",223
"kubicek",222
"barlow",220
"chittendon",218
"retzer",217
"altaras",210
"gallaway",197
"li",193
"libson",186
"j.n",185
"birnbaum",182
"seamap",178
"h.l",177
"prestridge",177
"burgess",175
"kelsch",175
"valdes",173
"roach",170
"iii",159
"r.e",159
"f.t",157
"ryan",156
"bertrand",155
"anton",154
"bruun",152
"s.e.f",151
"pelican",150
"gus",149
"adite",146
"lab",144
"r.g",144
"lopez",143
"associates",142
"capt",142
"ecological",142
"dowlearn",141
"jamie",138
"j.r",137
"palacios",135
"matheseon",134
"godan",132
"insitute",131
"amemiya",128
"armstrong",126
"ray",126
"tarim",126
"tpwd",123
"tamu",119
"f.s",118
"j.v",118
"evan",114
"gary",114
"kennicutt",113
"of",112
"swca",112
"krabbenhoft",110
"page",110
"pagotto",110
"baldauf",109
"mejia",107
"evans",104
"meyer",103
"zeug",101
"d.l",99
"peterson",99
"gold",98
"pulley",97
"woods",96
"dean",95
"a.t",94
"adams",94
"gibson",94
"tobler",92
"hanna",91
"baughman",90
"gunter",88
"raschi",88
"gordon",87
"lockwood",86
"winterbottom",85
"hander",83
"scharnweber",83
"students",82
"mccoid",78
"texas",78
"gayden",77
"matheson",76
