"Country","Count"
"united states",29556
"venezuela",3936
"costa rica",1418
"brazil",1335
"mexico",1294
"benin",366
"peru",300
"ecuador",155
"australia",118
"puerto rico",102
"panama",90
"trinidad and tobago",90
"el salvador",86
"india",68
"philippines",65
"united arab emirates",65
"nicaragua",59
"fiji",43
"honduras",41
"french guiana",39
"indonesia",36
"japan",35
"mali",30
"canada",26
"comoros",25
"malaysia",22
"new zealand",22
"guyana",21
"bolivia",19
"taiwan",15
"colombia",14
"belize",13
"french polynesia",13
"saudi arabia",13
"tanzania",11
"antarctica",10
"argentina",9
"italy",7
"new caledonia",7
"russia",7
"british indian ocean territory",6
"chile",6
"israel",6
"united kingdom",6
"bahamas",5
"france",5
"south africa",5
"cuba",4
"dominica",4
"saint lucia",4
"senegal",4
"somalia",4
"oman",3
"sri lanka",3
"thailand",3
"vietnam",3
"madagascar",2
"mauritania",2
"tunisia",2
"turkey",2
"algeria",1
"botswana",1
"côte d'ivoire",1
"greece",1
"nigeria",1
"northern mariana islands",1
"palau",1
"papua new guinea",1
"poland",1
"portugal",1
"samoa",1
"spain",1
"suriname",1
"virgin islands, u.s.",1
