"Family","Count"
"cyprinidae",4886
"characidae",3144
"centrarchidae",3124
"blenniidae",1721
"poeciliidae",1628
"cichlidae",1474
"triglidae",1413
"sciaenidae",1384
"ophidiidae",1009
"percidae",976
"ictaluridae",908
"clupeidae",879
"gobiidae",878
"carangidae",857
"serranidae",833
"macrouridae",808
"paralichthyidae",764
"myctophidae",734
"fundulidae",684
"gerreidae",679
"engraulidae",636
"lutjanidae",580
"tetraodontidae",580
"atherinopsidae",547
"ogcocephalidae",547
"rajidae",541
"syngnathidae",461
"catostomidae",441
"sternoptychidae",421
"scorpaenidae",389
"sparidae",386
"synodontidae",385
"bothidae",373
"haemulidae",369
"mugilidae",334
"arhynchobatidae",315
"loricariidae",309
"cottidae",286
"stomiidae",276
"gonostomatidae",274
"pomacentridae",267
"cynoglossidae",266
"labrisomidae",266
"gadidae",263
"cyprinodontidae",249
"batrachoididae",242
"salmonidae",241
"labridae",231
"nettastomatidae",221
"monacanthidae",220
"dasyatidae",217
"ophichthidae",217
"eleotridae",213
"muraenidae",212
"curimatidae",206
"hemiodontidae",193
"congridae",188
"achiridae",181
"scaridae",173
"carcharhinidae",168
"heptapteridae",161
"bregmacerotidae",152
"atherinidae",149
"belonidae",149
"antennariidae",147
"sphyraenidae",144
"scombridae",142
"apogonidae",140
"serrasalmidae",137
"synaphobranchidae",136
"phosichthyidae",133
"mullidae",129
"ariidae",128
"uranoscopidae",124
"gobiesocidae",123
"anostomidae",117
"erythrinidae",117
"stromateidae",117
"lebiasinidae",114
"percophidae",112
"exocoetidae",110
"moridae",109
"halosauridae",105
"melamphaidae",104
"ostraciidae",102
"hypopomidae",101
"lepisosteidae",99
"urolophidae",99
"triakidae",92
"trichiuridae",92
"aphredoderidae",91
"ipnopidae",90
"alepocephalidae",89
"esocidae",87
"bythitidae",86
"polynemidae",83
"centropomidae",82
"diodontidae",82
"acropomatidae",75
"acanthuridae",74
"trichomycteridae",72
"doradidae",71
"etmopteridae",70
"balistidae",69
"chaetodontidae",68
"pleuronectidae",68
"auchenipteridae",67
"ephippidae",67
"malacanthidae",67
"sternopygidae",67
"narcinidae",66
"hemiramphidae",63
"merlucciidae",63
"priacanthidae",63
"synbranchidae",63
