"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"70% alcohol","tcwc","ichthyology","7014.27","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","1674.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6834.18","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11839.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6925.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","10886.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","10246.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11486.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8600.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7040.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8341.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","4014.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","2944.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3727.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8408.16","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11841.2","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15437.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7460.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12314.1","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7325.08","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","922.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11459.15","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6853.15","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15718.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8062.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12315.07","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7323.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","13608.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","193.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","353.06","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6409.09","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6177.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","4190.1","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8054.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","4471.23","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15782.19","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","314.24","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12299.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7547.08","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3189.15","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11431.17","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","2516.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7650.06","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3789.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11468.07","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11198.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","4074.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6206.07","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7538.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12489.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","13895.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12672.12","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","663.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12115.16","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16819.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","867.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","10655.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3192.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15174.11","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8404.13","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16809.17","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8404.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7843.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","13682.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","2823.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7049.09","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","1975.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12048.08","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","74.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11392.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16096.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3355.12","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8332.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8617.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3289.1","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7771.07","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","1845.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11414.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15781.1","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7627.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15173.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15234.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7791.1","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7050.16","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16561.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12671.12","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","546.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11983.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6827.09","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","319.1","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3766.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","10715.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8369.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","1500.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7012.12","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","2992.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6374.09","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16201.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12671.08","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6837.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6348.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12517.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","257.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","14081.06","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7043.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","2170.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7604.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16241.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6235.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","15988.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","13208.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","4080.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","2883.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11202.04","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","4043.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","3124.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12544.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","10995.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16634.14","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12008.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8605.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11436.05","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6863.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11925.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11663.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","13589.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7301.39","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","649.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","10940.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","6338.13","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7341.02","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","13109.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","7035.12","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","4302.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16874.03","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","767.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11597.09","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","8831.13","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","11445.21","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","12544.01","EtOH","","",NA,NA,NA,2275
"70% alcohol","tcwc","ichthyology","16659.05","EtOH","","",NA,NA,NA,2275
