"Waterbody","Count"
"gulf of mexico",21753
"río cinaruco",3438
"north atlantic ocean",1867
"laguna tortuguero",1108
"colorado river",892
"caribbean sea",851
"neches river",798
"colorado river drainage",612
"san gabriel river",546
"brazos river",516
"río soto la marina",459
"brazos river drainage",454
"trinity river",441
"concho river",381
"pacific ocean",364
"san felipe creek",345
"sabine river",343
"devils river",304
"guadalupe river",278
"sarapiqui river drainage",274
"río caroni",264
"village creek",257
"tambopata river",241
"mar de cortés",235
"bering sea",194
"nueces river",192
"sulphur river",188
"frio river",187
"pecos river",183
"pedernales river drainage",183
"chukchi sea",168
"san jacinto river",149
"naked creek",147
"red river",144
"oueme river",136
"atlantic ocean",128
"río palmar",123
"north pacific ocean",115
"rio grande",112
"navasota river",109
"independence creek",106
"elm creek",100
"landa lake",100
"lake nokoue",99
"moehlman's slough",96
"san marcos river",92
"carter creek",89
"coral sea",89
"río portuguesa, río orinoco",89
"siegert's oxbow",82
"sabinal river",79
"little brazos river",78
"colville river",72
"galveston bay",70
"indian ocean",68
"golfo de panamá",65
"peach creek",65
"dolan creek",61
"fessenden spring",61
"comal springs",60
"medina river",57
"beaufort sea",56
"ballinger municipal lake",54
"south pacific ocean",54
"san bernard river",53
"big sandy creek",50
"pinto creek",50
"christmas bay",49
"rocky creek",49
"o. h. ivie reservoir",48
"lagoon toho-todougba",47
"lago pacoval",46
"salado creek",44
"canal do papucu",43
"sabine lake",43
"san antonio river",43
"pearl river",42
"campo mauari",41
"llano river",41
"pecan bayou",39
"west pacific ocean",39
"campo do papucu",38
"red river drainage",38
"coles creek",37
"lago joão antônio",37
"campo simão",36
"lago das lontras",36
"ouachita river",36
"spring creek",36
"lago pixuna",35
"cahaba river",34
"campo toco",34
"lago suburbio",34
"lago simão",33
"baixa grande",32
"coleto creek",32
"gibbons creek",32
"purchased at fish market",32
"rio san francisco",32
"campo do munguba",31
"campo joão antônio",31
"lago redondo",31
"mud creek",31
"pin oak creek",31
"campo pacoval",30
"campo paranazinho",30
"illinois river",30
"sheldon reservoir",30
"tangipahoa river drainage",30
"campo da rosinha",29
"campo pixuna",29
"campo redondo",29
"catfish creek drainage",29
"lago cipó",29
"lago do papucu",29
"río papaloapan drainage",29
"alamito creek",28
"arkansas river drainage",28
"south atlantic ocean",28
"tres chimbadas lake",28
"bee creek",27
"cahaba river drainage",27
"canal igarapé do frasqueira",27
"río javita",27
"buffalo river",26
"canal do arapapá",26
"choptank river",26
"duck creek",26
"lee creek",26
"manavalakurichy",26
"red oak creek",26
"st. john's river",26
"tangipahoa river",26
"clear creek",25
"indian river lagoon",25
"james river",25
"lake conroe",25
"lake moonen",25
"pond creek",25
"río pilon",25
"white river",25
"canal da maria",24
"chocolate bayou",24
"lago mauari",24
"mediterranean sea",24
"canal do igarapezinho",23
"canal pixuna",23
"lago preto",23
"tasman sea",23
"canal do lago preto",22
"canal do meio",22
"canal saracura",22
"lampasas river",22
"lick creek",22
"northwest atlantic ocean",22
"nueces river drainage",22
"pea river",22
"wickson creek",22
"cypress bayou",21
