"dwc.preparations","freq"
"fluid - 1",18021
"Fluid - 2",7705
"Fluid - 3",4497
"Fluid - 4",3087
"Fluid - 5",2558
"Fluid - 6",1897
"Fluid - 7",1571
"Fluid - 8",1238
"Fluid - 9",1095
"Fluid - 10",1074
"Fluid - 11",812
"Fluid - 12",789
"Fluid - 13",652
"Fluid - 15",553
"Fluid - 14",548
"Fluid - 16",510
"Fluid - 17",492
"Fluid - 18",436
"Fluid - 19",392
"Fluid - 20",370
"Fluid - 21",345
"Fluid - 22",333
"Fluid - 23",296
"Fluid - 25",292
"Fluid - 24",273
"Fluid - 30",239
"Fluid - 26",235
"Fluid - 29",224
"Fluid - 101",218
"Fluid - 27",212
"Fluid - 28",202
"Dry skeleton - 1",200
"Fluid - 31",174
"Fluid - 33",168
"Fluid - 36",165
"Fluid - 32",161
"Fluid - 34",152
"Fluid - 39",150
"Fluid - 35",145
"Fluid - 37",144
"Fluid - 38",143
"Fluid - 40",131
"Fluid - 41",119
"Fluid - 42",119
"Fluid - 43",112
"Fluid - 44",105
"Fluid - 45",104
"Fluid - 47",101
"Fluid - 48",101
"fluid - 1 | tissue - 1",93
"Fluid - 46",93
"Fluid - 52",90
"Fluid - 49",84
"Fluid - 50",83
"Fluid - 51",81
"Fluid - 61",80
"Fluid - 55",78
"Fluid - 57",74
"Fluid - 60",74
"C&S skeleton - 1",72
"Fluid - 53",72
"Fluid - 56",72
"Fluid - 64",71
"Fluid - 54",69
"Fluid - 58",67
"Fluid - 59",62
"Fluid - 65",62
"",60
"Fluid - 62",59
"Fluid - 63",56
"Fluid - 66",54
"Fluid - 71",54
"Fluid - 68",52
"Fluid - 73",52
"Fluid - 74",51
"Fluid - 75",50
"Fluid - 70",47
"Fluid - 67",45
"Fluid - 69",44
"Fluid - 78",44
"Fluid - 76",42
"Fluid - 87",41
"Fluid - 79",40
"Fluid - 77",39
"Fluid - 82",38
"Fluid - 86",38
"Fluid - 93",38
"Fluid - 72",37
"Fluid - 97",37
"Fluid - 88",35
"Fluid - 90",35
"Fluid - 92",33
"Fluid - 100",32
"Fluid - 83",32
"Fluid - 91",32
"Fluid - 80",31
"Fluid - 84",31
"Fluid - 85",31
"Fluid - 89",31
"Fluid - 105",30
"Fluid - 102",28
"Fluid - 103",28
"Fluid - 81",28
"Fluid - 123",27
"C&S skeleton - 2",26
"Fluid - 113",25
"Fluid - 96",25
