"Family","Count"
"Cyprinidae",12903
"Centrarchidae",10609
"Poeciliidae",6552
"Percidae",3055
"Fundulidae",2363
"Ictaluridae",2332
"Cichlidae",2205
"Characidae",1574
"Sciaenidae",1400
"Clupeidae",1367
"Atherinopsidae",1235
"Catostomidae",1150
"Cyprinodontidae",863
"Carangidae",727
"Gobiidae",653
"Mugilidae",575
"Paralichthyidae",503
"Engraulidae",502
"Syngnathidae",385
"Gerreidae",346
"Sparidae",340
"Lepisosteidae",333
"Eleotridae",320
"Aphredoderidae",305
"Serranidae",304
"Triglidae",252
"Loricariidae",244
"Esocidae",222
"Tetraodontidae",221
"Lutjanidae",215
"Haemulidae",207
"Batrachoididae",178
"Achiridae",177
"Synodontidae",167
"Heptapteridae",159
"Polynemidae",157
"Blenniidae",142
"Elassomatidae",136
"Labrisomidae",136
"Belonidae",132
"Cynoglossidae",127
"Ariidae",117
"Elopidae",115
"Ophidiidae",107
"Stromateidae",106
"Mochokidae",103
"Ophichthidae",103
"Mormyridae",102
"Scorpaenidae",99
"Monacanthidae",98
"Ogcocephalidae",90
"Moronidae",87
"Erythrinidae",83
"Pomacentridae",82
"Callichthyidae",80
"Centropomidae",77
"Ephippidae",77
"Curimatidae",75
"Petromyzontidae",72
"Uranoscopidae",70
"Sphyraenidae",66
"Antennariidae",64
"Trichiuridae",64
"Salmonidae",53
"Diodontidae",52
"Aplocheilidae",51
"Gadidae",51
"Labridae",51
"Mullidae",51
"Lebiasinidae",50
"Muraenidae",46
"Clariidae",45
"Clinidae",45
"Gymnotidae",44
"Hemiramphidae",43
"Bothidae",42
"Dasyatidae",42
"Scombridae",42
"Synbranchidae",42
"Alestiidae",40
"Serrasalmidae",40
"Anabantidae",39
"Atherinidae",39
"Gobiesocidae",38
"Rajidae",38
"Anguillidae",37
"Sternopygidae",37
"Balistidae",36
"Auchenipteridae",35
"Echeneidae",35
"Exocoetidae",34
"Hypopomidae",30
"Narcinidae",30
"Trichomycteridae",30
"Amiidae",29
"Aspredinidae",29
"Carcharhinidae",29
"Pseudopimelodidae",28
"Schilbeidae",28
"Anostomidae",27
"Congridae",26
"Macrouridae",26
"Nettastomatidae",26
"Pimelodidae",26
"Chaetodontidae",25
"Ostraciidae",25
"Citharinidae",24
"Pomatomidae",23
"Pomacanthidae",22
"Scaridae",22
"Mastacembelidae",19
"Lobotidae",18
"Apogonidae",17
"Apteronotidae",17
"Gasteropelecidae",17
"Priacanthidae",17
"Sphyrnidae",17
"Rachycentridae",16
"Alestidae",15
"Doradidae",14
"Cottidae",13
"Malacanthidae",13
"Percophidae",13
"Bagridae",11
"Gasterosteidae",11
"Hepsetidae",11
"Megalopidae",11
"Acestrorhynchidae",10
"Coryphaenidae",10
"Etmopteridae",10
"Chaenopsidae",9
"Chlorophthalmidae",9
"Gymnuridae",9
"Hiodontidae",9
"Rhinobatidae",9
"Stomiidae",9
"Triakidae",9
"Anablepidae",8
"Dactylopteridae",8
"Gonostomatidae",8
"Goodeidae",8
"Kyphosidae",8
"Bregmacerotidae",7
"Holocentridae",7
"Moringuidae",7
"Albulidae",6
"Fistulariidae",6
"Merlucciidae",6
"Poecilopsettidae",6
"Rhinopteridae",6
"Synaphobranchidae",6
"Opistognathidae",5
"Polymixiidae",5
"Rhamphichthyidae",5
"Sternoptychidae",5
"Acropomatidae",4
"Amblyopsidae",4
"Amphiliidae",4
"Ipnopidae",4
"Lophiidae",4
"Moridae",4
"Nomeidae",4
"Scyliorhinidae",4
"Umbridae",4
"Zeidae",4
"Acanthuridae",3
"Argentinidae",3
"Bythitidae",3
"Callionymidae",3
"Cheimarrhichthyidae",3
"Chimaeridae",3
"Cobitidae",3
"Cynodontidae",3
"Dactyloscopidae",3
"Epigonidae",3
"Halosauridae",3
"Latidae",3
"Myliobatidae",3
"Neoscopelidae",3
"Osteoglossidae",3
"Phosichthyidae",3
"Pleuronectidae",3
"Polypteridae",3
"Squalidae",3
"Squatinidae",3
"Torpedinidae",3
"Alepocephalidae",2
"Bathyclupeidae",2
"Branchiostomatidae",2
"Centrolophidae",2
"Cetopsidae",2
"Chlopsidae",2
"Dalatiidae",2
"Electrophoridae",2
"Galaxiidae",2
"Gempylidae",2
"Hemiodontidae",2
"Hexanchidae",2
"Lacantuniidae",2
"Lepidosirenidae",2
"Myctophidae",2
"Myxinidae",2
"Notopteridae",2
"Osphronemidae",2
"Potamotrygonidae",2
"Siluridae",2
"Trachichthyidae",2
"Tripterygiidae",2
"Acipenseridae",1
"Adrianichthyidae",1
"Anacanthobatidae",1
"Anarhichadidae",1
"Anoplopomatidae",1
"Ateleopodidae",1
"Bathymasteridae",1
"Branchiostomidae",1
"Caproidae",1
"Centriscidae",1
"Centrophoridae",1
"Chanidae",1
"Chaunacidae",1
"Colocongridae",1
"Ctenoluciidae",1
"Ginglymostomatidae",1
"Grammicolepididae",1
"Helostomatidae",1
"Lotidae",1
"Melamphaidae",1
"Melanonidae",1
"Microdesmidae",1
"Molidae",1
"Nandidae",1
"Nemichthyidae",1
"Osmeridae",1
"Pangasiidae",1
"Paralepididae",1
"Parazenidae",1
"Parodontidae",1
"Pempheridae",1
"Polycentridae",1
"Polyodontidae",1
"Pristidae",1
"Pristigasteridae",1
"Profundulidae",1
"Retropinnidae",1
"Sebastidae",1
"Stichaeidae",1
"Triacanthodidae",1
"Unplaced",1
"Urolophidae",1
