"dwc.scientificName","freq"
"Gambusia affinis",3135
"Cyprinella lutrensis",2089
"Lepomis megalotis",2050
"Cyprinella venusta",1639
"Lepomis macrochirus",1637
"Micropterus salmoides",1355
"Pimephales vigilax",1337
"Lepomis cyanellus",1262
"Gambusia heterochir",830
"Herichthys cyanoguttatus",811
"Poecilia latipinna",787
"Lepomis gulosus",781
"Ictalurus punctatus",767
"Astyanax mexicanus",756
"Campostoma anomalum",749
"Menidia beryllina",710
"Fundulus notatus",692
"Dorosoma cepedianum",651
"Lepomis auritus",578
"Notropis amabilis",528
"Ameiurus natalis",491
"Cyprinodon variegatus",490
"Etheostoma spectabile",459
"Lepomis microlophus",446
"Notropis volucellus",442
"Carpiodes carpio",400
"Lythrurus fumeus",384
"Micropterus punctulatus",373
"Notemigonus crysoleucas",369
"Lepomis miniatus",360
"Opsopoeodus emiliae",357
"Fundulus grandis",352
"Percina sciera",351
"Etheostoma lepidum",344
"Etheostoma gracile",322
"Micropterus treculii",316
"Poecilia formosa",309
"Etheostoma chlorosoma",308
"Mugil cephalus",308
"Gambusia geiseri",292
"Aphredoderus sayanus",290
"Dorosoma petenense",281
"Labidesthes sicculus",276
"Pomoxis annularis",272
"Anchoa mitchilli",271
"Gambusia affinis x heterochir",269
"Notropis braytoni",263
"Leiostomus xanthurus",255
"Notropis stramineus",253
"Lepomis humilis",252
"Cyprinus carpio",250
"Lagodon rhomboides",244
"Herichthys minckleyi",240
"Moxostoma congestum",238
"Fundulus olivaceus",236
"Mugil curema",229
"Ameiurus melas",228
"Fundulus zebrinus",224
"Macrhybopsis aestivalis",222
"Notropis texanus",217
"Cyprinella proserpina",203
"Lythrurus umbratilis",201
"Notropis atrocaudalis",198
"Trachinotus carolinus",191
"Pimephales promelas",190
"Lucania parva",187
"Noturus gyrinus",184
"Notropis buchanani",183
"Menticirrhus littoralis",181
"Pylodictis olivaris",181
"Dionda episcopa",175
"Dionda nigrotaeniata",164
"Lepomis",152
"Esox americanus",150
"Lepisosteus oculatus",150
"Polydactylus octonemus",150
"Minytrema melanops",149
"Percina caprodes",149
"Hybognathus placitus",147
"Anchoa hepsetus",146
"Pomoxis nigromaculatus",146
"Brevoortia patronus",144
"Menidia peninsulae",140
"Noturus nocturnus",140
"Syngnathus scovelli",138
"Citharichthys spilopterus",136
"Harengula jaguana",136
"Elassoma zonatum",135
"Gobiosoma bosc",134
"Percina carbonaria",132
"Lepisosteus osseus",130
"Sphoeroides parvus",130
"Synodus foetens",127
"Micropogon undulatus",123
"Lucania",119
"Hybognathus nuchalis",116
"Ictalurus furcatus",116
"Lepomis symmetricus",112
"Ctenogobius boleosoma",111
"Elops saurus",110
"Lepomis punctatus",110
"Fundulus chrysotus",104
"Macrhybopsis marconis",103
"Dionda argentosa",102
"Dormitator maculatus",102
"Fundulus similis",102
"Bairdiella chrysoura",101
"Percina macrolepida",101
"Micropogonias undulatus",100
"Opsanus beta",100
"Strongylura marina",98
"Etheostoma grahami",97
"Cynoscion nebulosus",96
"Cyprinodon rubrofluviatilis",96
"Lepomis marginatus",96
"Symphurus plagiusa",95
"Chloroscombrus chrysurus",94
"Eucinostomus argenteus",94
"Orthopristis chrysoptera",94
"Notropis jemezanus",93
"Syngnathus louisianae",92
"Cyprinodon pecosensis x variegatus",91
"Ammocrypta vivax",90
"Dionda serena",90
"Paralichthys lethostigma",90
"Notropis shumardi",89
"Oreochromis aureus",88
"Ictiobus bubalus",86
"Caranx hippos",84
"Ariopsis felis",83
"Notropis oxyrhynchus",83
"Achirus lineatus",82
"Membras martinica",82
"Gobiosoma robustum",81
"Ambloplites rupestris",79
"Aplodinotus grunniens",79
"Astyanax fasciatus",79
"Etheostoma proeliare",79
"Fundulus kansae",78
"Chaetodipterus faber",77
"Cynoscion arenarius",76
"Gambusia marshi",74
"Notropis atherinoides",74
"Macrhybopsis hyostoma",73
"Percina caprodes carbonaria",73
