"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"C&S Skeleton - 1","tnhc","ichthyology","25028","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","23623","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25592","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25568","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","26395","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25582","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","29635","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28802","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","23632","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25029","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28805","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","22921","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25600","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","22918","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28804","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28178","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25602","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","22924","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25556","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25030","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28169","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25585","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25571","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25565","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28177","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28175","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","26394","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28176","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25589","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25557","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28174","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","22919","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","29636","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","23624","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25590","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25563","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25558","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25583","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28173","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","23970","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","23631","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","20121","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","23629","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25586","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","28801","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","2709","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25598","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","26397","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","23630","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","22923","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","26400","C&S","","",NA,NA,NA,3
"C&S Skeleton - 1","tnhc","ichthyology","25601","C&S","","",NA,NA,NA,3
