"Family","Count"
"cyprinidae",72872
"centrarchidae",29584
"percidae",25447
"catostomidae",9127
"ictaluridae",8217
"fundulidae",8033
"poeciliidae",6567
"clupeidae",5240
"atherinidae",4846
"sciaenidae",3720
"achiridae",1549
"gobiidae",1502
"esocidae",1297
"engraulididae",1259
"aphredoderidae",1104
"cottidae",1065
"paralichthyidae",1059
"mugilidae",1021
"lepisosteidae",936
"elassomatidae",930
"carangidae",911
"moronidae",879
"sparidae",765
"syngnathidae",688
"cichlidae",643
"cyprinodontidae",608
"characidae",575
"petromyzontidae",573
"triglidae",497
"anguillidae",489
"ariidae",467
"belonidae",446
"eleotridae",442
"tetraodontidae",397
"gerreidae",385
"serranidae",369
"synodontidae",328
"cobitidae",304
"batrachoididae",296
"lutjanidae",275
"haemulidae",274
"cynoglossidae",262
"goodeidae",201
"ophichthidae",201
"acipenseridae",197
"scorpaenidae",188
"stromateidae",187
"blenniidae",167
"salmonidae",167
"monacanthidae",163
"exocoetidae",154
"leiognathidae",153
"ogcocephalidae",151
"ephippidae",142
"macrouridae",139
"phycidae",134
"hiodontidae",128
"ophidiidae",123
"dasyatidae",117
"elopidae",116
"gobiesocidae",116
"polynemidae",115
"diodontidae",108
"scombridae",108
"trichiuridae",102
"pomacentridae",101
"hemiramphidae",100
"percophidae",98
"labridae",94
"ambassidae",84
"lophiidae",77
"carcharhinidae",76
"scaridae",76
"antennariidae",75
"sphyraenidae",75
"uranoscopidae",74
"chauliodontidae",72
"heptapteridae",71
"mullidae",70
"echeneididae",67
"bothidae",66
"myctophidae",66
"moridae",63
"apogonidae",62
"amphiliidae",60
"muraenidae",60
"rajidae",60
"merlucciidae",59
"balistidae",58
"stomiidae",55
"chlorophthalmidae",54
"coryphaenidae",47
"centropomidae",44
"ostraciidae",43
"holocentridae",41
"pleuronectidae",41
"gasterosteidae",40
"squalidae",40
"congridae",39
"mochokidae",39
"pomatomidae",38
"loricariidae",37
"pseudomugilidae",37
"chaetodontidae",35
"labrisomidae",34
"chaunacidae",33
"umbridae",33
"callionymidae",32
"acropomatidae",31
"nomeidae",30
"acanthuridae",29
"photichthyidae",28
"scyliorhinidae",27
"polymixiidae",26
"sillaginidae",26
"drepanidae",25
"polyodontidae",25
"embiotocidae",24
"alestiidae",23
"amblyopsidae",23
"alepocephalidae",22
"argentinidae",22
"malacanthidae",22
"melanotaeniidae",21
"nettastomatidae",21
"gymnuridae",20
"pomacanthidae",20
"toxotidae",20
"trachichthyidae",20
"gadidae",19
"gempylidae",19
"pholidae",19
"priacanthidae",18
"stichaeidae",18
"centrolophidae",17
"osmeridae",17
"chimaeridae",16
"rachycentridae",16
"sternoptychidae",16
"lebiasinidae",15
"kyphosidae",14
"synbranchidae",14
"agonidae",13
"distichodontidae",13
"epigonidae",13
"soleidae",13
"triacanthidae",13
"zeniontidae",13
"kuhliidae",12
"narcinidae",12
"albulidae",11
"caproidae",11
"clinidae",11
"cyttidae",11
"gonostomatidae",11
"myliobatidae",11
"anablepidae",10
"curimatidae",10
"pimelodidae",10
"platycephalidae",10
"synaphobranchidae",10
"bythitidae",9
"clariidae",9
"grammicolepididae",9
"neoscopelidae",9
"percopsidae",9
"teraponidae",9
"triakidae",9
"liparidae",8
"nothobranchiidae",8
"rivulidae",8
"squatinidae",8
"trichomycteridae",8
"zoarcidae",8
"chaenopsidae",7
"cirrhitidae",7
"gymnotidae",7
"triacanthodidae",7
"ariommatidae",6
"branchiostomatidae",6
"dactyloscopidae",6
"erythrinidae",6
"megalopidae",6
"microdesmidae",6
"parazenidae",6
"zeidae",6
"acanthobatididae",5
"aulopidae",5
"bregmacerotidae",5
"emmelichthyidae",5
"halosauridae",5
"hexagrammidae",5
"macrorhamphosidae",5
"mastacembelidae",5
"mormyridae",5
"profundulidae",5
"urolophidae",5
"ateleopodidae",4
"caracanthidae",4
"doradidae",4
"fistulariidae",4
"melanostomiidae",4
"moringuidae",4
"pristidae",4
"pseudochromidae",4
"psychrolutidae",4
"triportheidae",4
"alepisauridae",3
"anabantidae",3
"anostomidae",3
"astroblepidae",3
"aulostomidae",3
"carapidae",3
"claroteidae",3
"cyclopteridae",3
"dalatiidae",3
"ginglymostomatidae",3
"hexanchidae",3
"malacosteidae",3
"percichthyidae",3
"plotosidae",3
"retropinnidae",3
"scomberesocidae",3
"serrasalmidae",3
"siganidae",3
"siluridae",3
"sternopygidae",3
"ammodytidae",2
"aphyonidae",2
"astronesthidae",2
"atherinopsidae",2
"auchenipteridae",2
"aulorhynchidae",2
"balitoridae",2
"bathylagidae",2
"bramidae",2
"callichthyidae",2
"chlopsidae",2
"creediidae",2
"draconettidae",2
"gasteropelecidae",2
"himantolophidae",2
"idiacanthidae",2
"istiophoridae",2
"lepidosirenidae",2
"molidae",2
"muraenesocidae",2
"myxinidae",2
"opistognathidae",2
"paralepididae",2
"parodontidae",2
"prochilodontidae",2
"schilbeidae",2
"symphysanodontidae",2
"anoplogastridae",1
"apteronotidae",1
"aspredinidae",1
"chanidae",1
"channidae",1
"cheilodactylidae",1
"chiasmodontidae",1
"crenuchidae",1
"dactylopteridae",1
"diretmidae",1
"echinorhinidae",1
"galaxiidae",1
"gibberichthyidae",1
"gyrinocheilidae",1
"howellidae",1
"hypopomidae",1
"iguanodectidae",1
"linophrynidae",1
"mobulidae",1
"monocentrididae",1
"mugiloididae",1
"notacanthidae",1
"notopteridae",1
"pempheridae",1
"plesiopidae",1
"rhinobatidae",1
"stephanoberycidae",1
"tetrabrachiidae",1
"torpedinidae",1
"trachinidae",1
"trachipteridae",1
"trichodontidae",1
"tripterygiidae",1
