"dwc.scientificName","freq"
"Lepomis megalotis",4700
"Lepomis macrochirus",4644
"Pimephales vigilax",4577
"Notropis venustus",4271
"Notropis texanus",4200
"Notropis atherinoides",4142
"Gambusia affinis",4071
"Hybognathus nuchalis",3598
"Fundulus olivaceus",3393
"Notropis longirostris",3327
"Notropis volucellus",3166
"Labidesthes sicculus",2672
"Ammocrypta beani",2604
"Micropterus punctulatus",2460
"Ictalurus punctatus",2394
"Percina sciera",2354
"Macrhybopsis storeriana",2310
"Micropterus salmoides",2150
"Opsopoeodus emiliae",2069
"Dorosoma petenense",1977
"Macrhybopsis aestivalis",1950
"Lepomis cyanellus",1857
"Percina nigrofasciata",1834
"Cyprinella lutrensis",1801
"Hybopsis winchelli",1739
"Lepomis gulosus",1687
"Dorosoma cepedianum",1500
"Carpiodes velifer",1414
"Pimephales notatus",1395
"Etheostoma stigmaeum",1346
"Campostoma anomalum",1336
"Hypentelium nigricans",1331
"Ammocrypta vivax",1287
"Notemigonus crysoleucas",1280
"Etheostoma swaini",1226
"Cyprinella venusta",1207
"Lepomis microlophus",1141
"Lepomis megalotis megalotis",1093
"Aphredoderus sayanus",1072
"Lythrurus roseipinnis",1067
"Notropis venustus cercostigma",1057
"Pimephales vigilax perspicuus",1032
"Etheostoma chlorosoma",1011
"Percina vigil",1006
"Pomoxis annularis",1005
"Luxilus chrysocephalus",963
"Noturus leptacanthus",955
"Notropis edwardraneyi",952
"Gambusia affinis affinis",907
"Notropis shumardi",907
"Ericymba buccata",906
"Fundulus notatus",897
"Lepomis punctatus",896
"Semotilus atromaculatus",869
"Menidia beryllina",868
"Notropis candidus",848
"Etheostoma flabellare",822
"Pomoxis nigromaculatus",818
"Elassoma zonatum",816
"Ambloplites ariommus",809
"Moxostoma poecilurum",787
"Aplodinotus grunniens",786
"Anchoa mitchilli",780
"Mugil cephalus",763
"Ameiurus natalis",742
"Trinectes maculatus",741
"Micropterus punctulatus punctulatus",729
"Carpiodes carpio",707
"Menidia audens",707
"Notropis potteri",706
"Lepomis humilis",702
"Leiostomus xanthurus",674
"Notropis venustus venustus",671
"Minytrema melanops",648
"Brevoortia patronus",637
"Lepomis megalotis breviceps",634
"Etheostoma lynceum",628
"Etheostoma proeliare",628
"Lythrurus umbratilis",619
"Lepomis marginatus",616
"Notropis sabinae",610
"Esox americanus",604
