"Continent","Count"
NA,2699
NA,3
NA,1
"ARG",1
"AUS",38
"AUT",5
"BHS",10
"BLZ",4
"BMU",37
"BRA",7
"GUY",5
NA,20
"CAN",54
NA,2
"CYM",1
"CHL",5
"CHN",2
"COL",101
NA,1
"COM",30
"CRI",1212
"CUB",99
"CUW",9
"ECU",7
"SLV",20
"GUF",9
"GTM",5
"GIN",376
"GUY",1
"HND",23
"HUN",1
"IDN",1305
"ITA",2
"JAM",4
"JPN",300
"KEN",45
"LBR",2
"MEX",2010
"NLD",2
"NZL",2
"NIC",86
"NIC",7
"NGA",1
"PAN",67
"PER",166
"PHL",1
"GIN",3
"ROU",62
"SAU",28
"SEN",3
"SYC",101
"SLE",3
"SOM",4
"ESP",1
"LKA",1
"SDN",1
"SUR",20
"TZA",4
"THA",9
"TCA",55
"UGA",1
"USA",194735
"VEN",23
NA,1
NA,1
"YUG",1
"YUG",1
