"dwc.preparations","freq"
"70% EtOH - 1",25450
"70% EtOH - 2",12484
"70% EtOH - 3",7895
"70% EtOH - 4",5906
"70% EtOH - 5",4633
"70% EtOH - 6",3568
"70% EtOH - 7",2849
"70% EtOH - 8",2368
"70% EtOH - 9",1957
"70% EtOH - 10",1874
"70% EtOH - 11",1437
"70% EtOH - 12",1411
"none - 1",1150
"70% EtOH - 13",1130
"70% EtOH - 14",1007
"70% EtOH - 15",951
"70% EtOH - 16",840
"70% EtOH - 17",762
"70% EtOH - 18",682
"70% EtOH - 20",658
"70% EtOH - 19",557
"70% EtOH - 21",548
"70% EtOH - 24",470
"70% EtOH - 23",460
"70% EtOH - 22",456
"70% EtOH - 25",404
"70% EtOH - 26",398
"70% EtOH - 27",343
"70% EtOH - 30",316
"70% EtOH - 28",301
"70% EtOH - 29",292
"70% EtOH - 31",246
"70% EtOH - 34",244
"70% EtOH - 33",229
"70% EtOH - 32",206
"70% EtOH - 36",198
"70% EtOH - 35",193
"70% EtOH - 38",192
"70% EtOH - 37",181
"70% EtOH - 39",177
"95% EtOH (spec) - 1",177
"70% EtOH - 40",173
"70% EtOH - 41",140
"70% EtOH - 42",139
"70% EtOH - 45",135
"70% EtOH - 44",134
"70% EtOH - 47",131
"70% EtOH - 43",129
"70% EtOH - 46",126
"70% EtOH - 50",117
"95% EtOH (spec) - 2",115
"70% EtOH - 51",109
"70% EtOH - 49",103
"70% EtOH - 48",100
"70% EtOH - 55",93
"70% EtOH - 52",91
"70% EtOH - 54",80
"70% EtOH - 53",79
"70% EtOH - 56",78
"70% EtOH - 57",78
"70% EtOH - 62",72
"frozen (spec) - 1",71
"70% EtOH - 67",70
"70% EtOH - 61",67
"70% EtOH - 58",66
"70% EtOH - 64",65
"70% EtOH - 59",63
"70% EtOH - 60",60
"70% EtOH - 65",57
"70% EtOH - 63",54
"70% EtOH - 69",54
"70% EtOH - 75",54
"95% EtOH (spec) - 3",54
"70% EtOH - 66",53
"70% EtOH - 68",51
"70% EtOH - 73",50
"70% EtOH - 72",47
"70% EtOH - 78",47
"70% EtOH - 71",44
"70% EtOH - 77",42
"70% EtOH - 90",42
"95% EtOH (tiss) - 1",42
"70% EtOH - 70",41
"70% EtOH - 100",40
"70% EtOH - 84",40
"70% EtOH - 1; 95% EtOH (tiss) - 1",39
"70% EtOH - 83",39
"70% EtOH - 76",38
"70% EtOH - 80",37
"70% EtOH - 97",36
"70% EtOH - 79",35
"95% EtOH (tiss) - 1; 70% EtOH - 1",35
"70% EtOH - 81",34
"70% EtOH - 82",33
"70% EtOH - 86",32
"70% EtOH - 87",32
"70% EtOH - 101",29
"70% EtOH - 108",28
"70% EtOH - 74",28
"70% EtOH - 98",28
"frozen (spec) - 2",28
"95% EtOH (spec) - 5",27
"70% EtOH - 107",26
"70% EtOH - 88",26
"70% EtOH - 85",25
"70% EtOH - 91",25
"70% EtOH - 92",24
"70% EtOH - 113",23
"70% EtOH - 93",23
"70% alcohol",22
"70% EtOH - 103",22
"70% EtOH - 99",22
"70% EtOH - 129",21
"70% EtOH - 96",21
"95% EtOH (spec) - 4",21
"70% EtOH - 116",20
"70% EtOH - 118",20
"70% EtOH - 89",20
"70% EtOH - 104",19
"70% EtOH - 94",19
"70% EtOH - 105",18
"70% EtOH - 106",18
"70% EtOH - 115",18
"70% EtOH - 117",18
"70% EtOH - 102",17
"70% EtOH - 110",17
"70% EtOH - 114",17
"70% EtOH - 121",17
"70% EtOH - 95",17
"70% EtOH - 119",16
"70% EtOH - 120",16
"70% EtOH - 137",16
"70% EtOH - 2; 95% EtOH (tiss) - 2",16
"70% EtOH - 0",15
"70% EtOH - 109",15
"70% EtOH - 112",15
"70% EtOH - 136",15
"70% EtOH - 141",15
"70% EtOH - 1; 95% EtOH (spec) - 2",14
"70% EtOH - 126",14
"70% EtOH - 128",14
"70% EtOH - 130",14
"70% EtOH - 138",14
"95% EtOH (tiss) - 2",14
"70% EtOH - 122",13
"70% EtOH - 123",13
"70% EtOH - 142",13
"95% EtOH (tiss) - 2; 70% EtOH - 2",13
"95% EtOH (tiss) - 3",13
"70% EtOH - 111",12
"70% EtOH - 135",12
"70% EtOH - 144",12
"70% EtOH - 148",12
"70% EtOH - 151",12
"70% EtOH - 169",12
"70% EtOH - 172",12
"70% EtOH - 2; C&S - 1",12
"95% EtOH (spec) - 8",12
"70% EtOH - 131",11
