"Family","Count"
"Cyprinidae",31306
"Percidae",18536
"Centrarchidae",12312
"Catostomidae",5269
"Ictaluridae",3640
"Fundulidae",3505
"Cottidae",2293
"Poeciliidae",1955
"Esocidae",961
"Atherinopsidae",840
"Sciaenidae",737
"Petromyzontidae",726
"Aphredoderidae",665
"Clupeidae",626
"Elassomatidae",553
"Paralichthyidae",449
"Triglidae",425
"Acipenseridae",399
"Serranidae",331
"Carangidae",329
"Branchiostomidae",284
"Synodontidae",284
"Sparidae",252
"Engraulidae",251
"Gobiidae",237
"Lepisosteidae",229
"Syngnathidae",221
"Cichlidae",198
"Anguillidae",192
"Tetraodontidae",182
"Achiridae",178
"Ophidiidae",167
"Mugilidae",146
"Monacanthidae",144
"Ogcocephalidae",138
"Salmonidae",131
"Scorpaenidae",128
"Lutjanidae",113
"Cyprinodontidae",109
"Cynoglossidae",108
"Moronidae",96
"Ariidae",92
"Stromateidae",91
"Ophichthidae",90
"Haemulidae",89
"Gerreidae",86
"Belonidae",85
"Amiidae",80
"Batrachoididae",77
"Blenniidae",73
"Gadidae",70
"Rajidae",65
"Gasterosteidae",60
"Antennariidae",59
"Ephippidae",54
"Labridae",54
"Characidae",52
"Uranoscopidae",52
"Muraenidae",51
"Congridae",50
"Amblyopsidae",49
"Mullidae",49
"Polyodontidae",46
"Balistidae",43
"Eleotridae",42
"Umbridae",42
"Hiodontidae",41
"Pomacentridae",40
"Dasyatidae",38
"Diodontidae",37
"Macrouridae",37
"Scombridae",37
"Bothidae",35
"Loricariidae",32
"Priacanthidae",31
"Trichiuridae",29
"Apogonidae",28
"Gobiesocidae",28
"Doradidae",27
"Chaetodontidae",26
"Sphyraenidae",26
"Echeneidae",24
"Merlucciidae",24
"Ostraciidae",23
"Carcharhinidae",22
"Chlorophthalmidae",22
"Cobitidae",22
"Heptapteridae",22
"Elopidae",21
"Moridae",21
"Stichaeidae",21
"Auchenipteridae",20
"Nettastomatidae",20
"Exocoetidae",19
"Triacanthodidae",19
"Percophidae",18
"Polynemidae",18
"Acropomatidae",17
"Stomiidae",17
"Hemiramphidae",16
"Scyliorhinidae",16
"Clinidae",15
"Pomatomidae",15
"Sternoptychidae",15
"Caproidae",14
"Coryphaenidae",14
"Lophiidae",14
"Scaridae",14
"Percopsidae",13
"Pholidae",13
"Pleuronectidae",13
"Gempylidae",12
"Narcinidae",12
"Callionymidae",11
"Etmopteridae",11
"Bregmacerotidae",10
"Chimaeridae",10
"Myctophidae",10
"Polymixiidae",10
"Embiotocidae",9
"Holocentridae",9
"Ipnopidae",9
"Lobotidae",9
"Osmeridae",9
"Rachycentridae",9
"Sphyrnidae",9
"Grammicolepididae",8
"Malacanthidae",8
"Pomacanthidae",8
"Squalidae",8
"Zeidae",8
"Anostomidae",7
"Argentinidae",7
"Atherinidae",7
"Epigonidae",7
"Labrisomidae",7
"Carapidae",6
"Diretmidae",6
"Macroramphosidae",6
"Parazenidae",6
"Scophthalmidae",6
"Squatinidae",6
"Synbranchidae",6
"Triakidae",6
"Acanthobatididae",5
"Balitoridae",5
"Branchiostomatidae",5
"Chaunacidae",5
"Gasteropelecidae",5
"Hexagrammidae",5
"Microdesmidae",5
"Pseudopimelodidae",5
"Sebastidae",5
"Trachichthyidae",5
"Zenionidae",5
"Chaenopsidae",4
"Clariidae",4
"Gymnuridae",4
"Halosauridae",4
"Lebiasinidae",4
"Megalopidae",4
"Acanthuridae",3
"Centrophoridae",3
"Centropomidae",3
"Erythrinidae",3
"Fistulariidae",3
"Goodeidae",3
"Myliobatidae",3
"Nomeidae",3
"Phosichthyidae",3
"Pimelodidae",3
"Profundulidae",3
"Rhinobatidae",3
"Albulidae",2
"Aplocheilidae",2
"Ariommatidae",2
"Berycidae",2
"Centrolophidae",2
"Channidae",2
"Cyclopteridae",2
"Dactylopteridae",2
"Dactyloscopidae",2
"Hypopomidae",2
"Istiophoridae",2
"Mastacembelidae",2
"Mochokidae",2
"Myxinidae",2
"Poecilopsettidae",2
"Pristidae",2
"Serrasalmidae",2
"Urolophidae",2
"Acestrorhynchidae",1
"Ammodytidae",1
"Anacanthobatidae",1
"Aspredinidae",1
"Bagridae",1
"Bramidae",1
"Callichthyidae",1
"Chanidae",1
"Diceratiidae",1
"Galaxiidae",1
"Geotriidae",1
"Gonostomatidae",1
"Grammatidae",1
"Gyrinocheilidae",1
"Hemitripteridae",1
"Heteropneustidae",1
"Inermiidae",1
"Kyphosidae",1
"Lepidosirenidae",1
"Liparidae",1
"Mobulidae",1
"Mordaciidae",1
"Moringuidae",1
"Neoscopelidae",1
"Normanichthyidae",1
"Notosudidae",1
"Odontaspididae",1
"Osphronemidae",1
"Pempheridae",1
"Phycidae",1
"Polycentridae",1
"Psilorhynchidae",1
"Psychrolutidae",1
"Rhamphichthyidae",1
"Rhinochimaeridae",1
"Rhinopteridae",1
"Siluridae",1
"Somniosidae",1
"Stephanoberycidae",1
"Synaphobranchidae",1
"Torpedinidae",1
"Trachinidae",1
"Trachipteridae",1
"Trichomycteridae",1
"Tripterygiidae",1
"Zaproridae",1
