"dwc.scientificName","freq"
"Lepomis macrochirus",2189
"Lepomis megalotis",2120
"Percina nigrofasciata",2047
"Fundulus olivaceus",2014
"Luxilus chrysocephalus",1986
"Gambusia affinis",1735
"Cyprinella venusta",1698
"Campostoma oligolepis",1600
"Semotilus atromaculatus",1559
"Cottus carolinae",1488
"Lepomis cyanellus",1439
"Etheostoma stigmaeum",1423
"Pimephales notatus",1143
"Lythrurus bellus",1140
"Notropis texanus",1103
"Micropterus salmoides",1098
"Hypentelium etowanum",1069
"Noturus leptacanthus",1031
"Campostoma anomalum",940
"Nocomis leptocephalus",926
"Notropis baileyi",899
"Cyprinella callistia",848
"Micropterus punctulatus",847
"Pimephales vigilax",675
"Aphredoderus sayanus",665
"Hypentelium nigricans",659
"Notropis stilbius",593
"Esox americanus",589
"Etheostoma swaini",588
"Labidesthes sicculus",578
"Etheostoma caeruleum",565
"Notropis volucellus",562
"Notemigonus crysoleucas",524
"Etheostoma",519
"Micropterus coosae",509
"Pteronotropis hypselopterus",486
"Hybopsis ammophilus",474
"Etheostoma duryi",472
"Lythrurus fasciolaris",469
"Percina caprodes",469
"Moxostoma poecilurum",463
"Etheostoma flabellare",456
"Noturus funebris",455
"Etheostoma nigrum",445
"Moxostoma duquesnei",437
"Ambloplites ariommus",432
"Lepomis auritus",431
"Etheostoma blennioides",426
"Elassoma zonatum",421
"Etheostoma whipplei",420
"Lepomis microlophus",419
"Moxostoma erythrurum",416
"Clinostomus funduloides",403
"Cyprinidae",401
"Etheostoma rupestre",399
"Rhinichthys atratulus",398
"Ameiurus natalis",394
"Ictalurus punctatus",393
"Erimyzon oblongus",391
"Minytrema melanops",390
"Notropis atherinoides",370
"Chaenobryttus gulosus",367
"Etheostoma rufilineatum",366
"Esox niger",356
"Etheostoma simoterum",349
"Cyprinella trichroistia",347
"Fundulus catenatus",337
"Cyprinella galactura",336
"Noturus gyrinus",336
"Notropis telescopus",326
"Etheostoma edwini",323
"Notropis asperifrons",320
"Percina palmaris",316
"Percina sciera",314
"Hybopsis winchelli",313
"Ichthyomyzon gagei",312
"Opsopoeodus emiliae",311
"Percina kathae",311
"Lepomis miniatus",309
"Etheostoma jordani",303
"Cyprinella spiloptera",291
"Cottus",284
"Lepomis gulosus",281
"Etheostoma colorosum",280
"Phenacobius catostomus",278
"Hybopsis amblops",277
"Notropis xaenocephalus",270
"Hybognathus nuchalis",261
"Etheostoma zonale",260
"Etheostoma coosae",249
"Notropis",248
"Percina smithvanizi",246
"Percina vigil",241
"Notropis uranoscopus",238
"Pteronotropis signipinnis",232
"Carpiodes velifer",226
"Notropis leuciodus",224
"Dorosoma cepedianum",223
"Lepomis marginatus",223
"Etheostoma nigripinne",219
"Nocomis micropogon",219
"Hemitremia flammea",217
"Ambloplites rupestris",213
"Etheostoma artesiae",213
"Macrhybopsis storeriana",213
"Notropis amplamala",208
"Cyprinella gibbsi",203
"Catostomus commersoni",202
"Cyprinella whipplei",202
"Notropis chrosomus",202
"Percina maculata",197
"Luxilus coccogenis",195
"Anguilla rostrata",192
"Notropis ammophilus",192
"Notropis edwardraneyi",192
"Lampetra aepyptera",185
"Erimyzon tenuis",183
"Etheostoma lachneri",182
"Etheostoma tallapoosae",178
"Etheostoma proeliare",172
"Phoxinus erythrogaster",171
"Dorosoma petenense",170
"Micropterus dolomieu",170
"Erimyzon sucetta",169
"Cottus bairdi",168
"Etheostoma parvipinne",168
"Pomoxis nigromaculatus",166
"Menidia beryllina",163
"Lythrurus lirus",162
"Macrhybopsis",160
"Rhinichthys cataractae",158
"Scaphirhynchus albus",158
"Etheostoma chuckwachatte",155
"Etheostoma beanii",154
"Pomoxis annularis",149
"Etheostoma chlorosomum",146
"Etheostoma tuscumbia",146
"Hybopsis longirostris",146
"Aplodinotus grunniens",144
"Fundulus notti",144
"Notropis boops",142
"Percina shumardi",141
"Hybopsis lineapunctata",140
"Lepomis punctatus x L. miniatus",138
"Lagodon rhomboides",137
"Leiostomus xanthurus",136
"Percina evides",136
"Ameiurus melas",135
"Etheostoma spectabile",134
"Etheostoma corona",132
"Branchiostoma virginiae",130
"Fundulus notatus",129
"Lythrurus roseipinnis",129
"Synodus foetens",129
"Lepomis punctatus",128
"Pylodictis olivaris",126
"Trinectes maculatus",123
"Anchoa mitchilli",122
"Notropis micropteryx",122
"Lepisosteus oculatus",116
"Notropis longirostris",116
"Centrarchus macropterus",115
"Etheostoma okaloosae",110
"Etheostoma jessiae",105
"Macrhybopsis aestivalis",105
"Etheostoma meridianum",101
"Mugil cephalus",101
"Sphoeroides parvus",100
"Luxilus zonistius",99
"Notropis harperi",99
"Percina",99
"Hybopsis",97
"Lepisosteus osseus",97
