"Collector","Count"
"17",1
"25",1
"112",18
"173",28
"311",1
"456",1
"465",3
"648",1
"695",2
"1962",1
"1963",1
"1964",11
"1966",49
"1967",113
"1968",7
"1974",49
"1976",1
"1979",2
"1986",51
"2000",82
"2004",2
"b.r",14284
"williams",10746
"m",10657
"kuhajda",10634
"h.t",9793
"boschung",9433
"j.d",8819
"m.f",8807
"mettee",8794
"pierson",8579
"r.l",7025
"t.s",6138
"jandebeur",6040
"j",5997
"o'neil",5892
"mayden",5809
"p.e",5638
"d.a",5434
"r.d",5048
"caldwell",4819
"howell",4668
"s",4495
"neely",4434
"h",4386
"lab",4056
"w.moore",4052
"wall",3703
"w.m",3681
"s.l",3607
"powers",3529
"a.m",3249
"al",3247
"et",3229
"simons",3192
"harima",3166
"r",3130
"d",3089
"krotzer",2876
"d.l",2869
"c",2749
"layman",2699
"s.r",2698
"hall",2531
"beckham",2416
"j.c",2409
"nieland",2338
"e",2330
"e.c",2310
"l",2291
"r.m",2240
"wood",2101
"smith",2078
"mundy",1953
"jones",1943
"p.r",1930
"class",1892
"a.f",1878
"kennedy",1875
"t.b",1873
"hemphill",1863
"k",1786
"and",1620
"b",1618
"e.b",1553
"j.s",1546
"lang",1527
"n.j",1521
"tucker",1444
"tyberghein",1431
"p",1336
"crittenden",1305
"r.a",1305
"wenthe",1296
"thompson",1284
"t",1275
"george",1201
"a.l",1184
"j.g",1147
"armstrong",1056
"c.e",1053
"l.e",1043
"g",1022
"stephenson",1018
"jr",1017
"kasprzak",997
"matson",995
"r.h",968
"f",962
"r.e",946
"menhinick",935
"cooper",933
"crews",928
"e.f",925
"l.b",918
"a",903
"dycus",901
"j.l",893
"w",872
"harris",861
"altman",856
"r.s",818
"wagers",816
"m.a",805
"e.j",774
"freeman",770
"c.a",767
"b.j",734
"c.c",701
"curren",697
"blanco",693
"bauer",679
"b.h",671
"m.g",664
"bennett",660
"j.h",658
"chermock",646
"p.m",642
"wolfe",633
"b.l",629
"roe",628
"k.j",627
"puleo",627
"duckett",621
"stiles",620
"j.m",615
"fluker",612
"n",584
"field",565
"chapman",557
"etnier",556
"burton",540
"t.h",517
"black",507
"johnson",507
"may",506
"shipp",505
"barclay",500
"lehn",476
"walker",459
"m.t",458
"ferguson",455
"c.r",444
"g.l",415
"boshung",411
"hopiak",411
"bouchard",401
"zoology",387
"engman",368
"mccleve",358
"weaver",350
"r.w",345
"carroll",342
"weems",339
"rubenstein",338
"price",337
"s.c",335
"iii",333
"waggoner",333
"c.l",328
"mccullough",328
"david",323
"hamilton",318
"j.r",313
"paessun",313
"d.m",311
"v",310
"j.a",309
"m.m",307
"clark",305
"woods",294
"cl",285
"dinkins",285
"herring",276
"hollis",276
"k.d",274
"lee",272
"serb",271
"g.c",269
"n.m",269
"vintson",263
"bryant",260
"k.e",256
"lochamy",253
"marine",250
"k.a",249
"brown",248
"bell",245
"lumpkin",241
"l.m",240
"richard",239
"ichthyology",238
"dyer",235
"knott",235
"atkinson",234
"kriel",231
"t.d",229
"douglas",225
"t.m",225
"thomas",224
"james",220
"clelland",219
"f.l",219
"frazer",217
"of",217
"turner",213
"biology",211
"richey",210
"wm",210
"a.e",209
"lay",206
"limnology",203
"rees",202
"gill",198
"unknown",198
"palmer",196
"valentine",196
"bagley",192
"schultz",192
"b.d",191
"bice",191
"aaron",186
"b.s",186
"shaw",185
"u.t",185
"werner",185
"m.c",183
"j.b",182
"mp",181
"cardwell",178
"crowder",178
"knight",178
"seehorn",178
"ecology",177
"burkhead",176
"collins",176
"dept",175
"rojas",173
"hanley",170
"strick",170
"charles",169
"t.a",168
"n.g",167
"swanner",166
"hillis",165
"hubbard",164
"j.f",164
"strange",164
"christmas",163
"j.y",163
"nester",162
"dean",161
"faunas",161
"schaller",160
"mallory",158
"party",156
"m.j",155
"swiney",155
"ratajik",154
"underwood",154
"kathy",152
"burke",151
"lovelock",151
"paul",150
"beets",147
"d.r",146
"morris",146
"f.h",145
"harsson",145
"sr",145
"m.l",144
"tatum",144
"brewer",143
"r.t",143
"regional",142
"c.m",141
"parrish",141
"usfws",139
"bodson",136
"jandbeur",135
"lankford",134
"tomelleri",134
"nelson",132
"salnikov",132
"v.b",132
"boronow",130
"cathy",130
"mike",129
"c.b",128
"elly",126
"fall",125
"garcia",124
"dasch",122
"zoo",122
"peterson",120
"b.a",119
"fant",119
"gibson",119
"r.l.mayden",119
"robert",119
"cau",118
"patterson",117
"phillips",117
"boyce",116
"anderson",115
"davenport",115
"justin",115
"w.d",115
"m.pierson",113
"h.c",112
"littrell",112
"r.j",112
"from",111
"sk",111
"w.h",111
"dispennette",110
"jan",110
"kerr",109
"haney",108
"icthyology",108
"univ",107
"beshera",106
"l.a",106
"macrander",106
"momot",106
"scott",106
"loesch",105
"r.c",105
"van",105
"hughes",104
"kebede",104
"parker",104
"ryon",104
"starnes",104
"terrill",104
"brice",103
"f.a",103
"h.h",103
"mattee",103
"metee",103
"rawls",101
"weens",100
"butler",99
"o'neal",99
"b.r.kuhajda",98
"crane",98
"dollar",98
"vertebrate",98
"biol",97
"john",97
"nutting",97
"miles",95
"paessum",94
"suttkus",94
"king",93
"w.c",93
"limn",92
"fish",91
"khudamrongsawat",91
"saylor",90
"w.b",90
"t.s.jandebeur",89
"zool",89
"aquatic",88
"fisheries",88
"j.t",88
"shoemaker",88
"tva",88
"h.d",87
"k.s",86
"mills",86
"rogers",86
"v.p",86
"davidson",85
"sandel",85
"vert",85
"lyons",84
"s.k",84
"roberts",83
"barnhart",82
"hornsby",82
"biebel",81
"stephens",81
"conservation",80
"ely",80
"burr",79
"jenkins",78
"samford",78
"wolf",78
"b.c",77
"burt",76
"corn",76
"brunson",75
"j.e",75
"lazzara",75
"mullins",75
"r.b",75
"whitt",75
"bobby",74
"vanta",74
"p.a",73
"lindsey",72
"livingston",72
"s.j",72
"b.m",71
"g.h",71
"overstreet",71
"j.p",70
"wilson",70
"gates",68
"gregory",68
"sonny",68
"d.p",67
"j.w",67
"s.a",67
"alabama",66
"cannon",66
"e.f.menhinick",66
"e.l",66
"littrel",66
"swindall",66
"ward",66
"a.t",65
"begle",65
"cleveland",65
"delozier",65
"ec",65
"o.d.chermock",65
"schroeder",65
"wehrle",65
"bertram",64
"klough",64
"m.w",64
"roy",64
"trimble",64
"william",64
"hart",63
"jimmy",63
"b.g",62
"college",62
"edwards",62
"eldridge",62
"f.g",62
"hale",62
"hylton",62
"rasco",62
"rounsefell",62
"a.v",61
"armbruster",61
"clas",61
"dr",61
"gadsden",61
"olson",61
"simmons",61
"limno",60
"porter",60
"taylor",60
"w.s",60
"c.g",59
"lightcap",59
"w.l",59
"blanton",58
"carol",58
"grace",58
"rencher",58
"ross",58
"sloan",58
"bealding",57
"brandon",57
"carr",57
"coffee",57
"family",57
"haines",57
"k.v",57
"bryan",56
"clarke",56
"mcclay",56
"tommy",56
"ware",56
"woolcott",56
"colvard",55
"f.s",55
"franklin",55
"mcginty",55
"ut",55
"watson",55
"wildlife",55
"dickinson",54
"fincher",54
"mccraw",54
"millett",54
"d.l.nieland",53
"ellison",53
"game",53
"gd",53
"hutton",53
"k.h.bernett",53
"k.n",53
"leftwich",53
"wager",53
"ammons",52
"cashner",52
"d.s",52
"kc",52
"personnel",52
"pike",52
"pody",52
"wife",52
"stalcup",51
"state",51
"w.t",51
"fishes",50
"holman",50
"jh",50
"o'bannon",50
"co",49
"haynes",49
"langford",49
"louton",49
"miss",49
"morgan",49
"e.p",48
"groot",48
"l.s",48
"mg",48
"ms",48
"bridges",47
"chandler",47
"fg",47
"heath",47
"hebeisen",47
"honey",47
"l.p",47
"manasco",47
"wells",47
"adachi",46
"balma",46
"carson",46
"francoeur",46
"g.a.c",46
"legrande",46
"s.n",46
"fred",45
"malcolm",45
"w.e",45
"walsh",45
"c.t",44
"hector",44
"preston",44
"reg",44
"bio",43
"branson",43
"dh",43
"jolly",43
"o'kelley",43
"pat",43
"s.e",43
"c.k",42
"comm",42
"dale",42
"m.r",42
"mississippi",42
"vessel",42
"boschung's",41
"br",41
"cameron",41
"ceas",41
"duncan",41
"ed",41
"gift",41
"gritzmacher",41
"jane",41
"page",41
"sims",41
"taxonomy",41
"young",41
"banarescu",40
"becham",40
"duke",40
"given",40
"hopping",40
"searcy",40
"bowers",39
"carvill",39
"e.j.mccullough",39
"h.l",39
"k.l",39
"odum",39
"rosenblatt",39
"tuggle",39
"andrews",38
"barnhardt",38
"collier",38
"d.g",38
"doc",38
"ireland",38
"j.turner",38
"lancaster",38
"timmons",38
"tyberhein",38
"g.k",37
"m.clelland",37
