"Country","Count"
"united states",141059
"mexico",3569
"canada",1335
"venezuela",150
"ethiopia",107
"colombia",95
"belize",84
"turkmenistan",78
"italy",63
"guatemala",60
"romania",60
"united kingdom",55
"costa rica",53
"new zealand",38
"mxico",34
"japan",27
"germany",25
"india",19
"kenya",19
"panama",19
"puerto rico",19
"brazil",18
"peru",18
"ecuador",15
"france",15
"tanzania",13
"czech republic",12
"nicaragua",11
"south africa",10
"spain",7
"china",6
"russia",6
"saudi arabia",6
"tunisia",6
"australia",5
"belgium",5
"bolivia",5
"sweden",5
"argentina",4
"morocco",4
"philippines",4
"uzbekistan",4
"bahamas",3
"honduras",3
"united arab emirates",3
"iran",2
"sierra leone",2
"slovakia",2
"south korea",2
"sri lanka",2
"taiwan",2
"trinidad and tobago",2
"zambia",2
"austria",1
"cuba",1
"egypt",1
"el salvador",1
"finland",1
"french guiana",1
"grande comore",1
"greece",1
"jamaica",1
"malaysia",1
"mauritania",1
"nepal",1
"norfolk island",1
"poland",1
"senegal",1
"suriname",1
"trinidad",1
"trinidad & tobago",1
"uganda",1
