"Family","Count"
"cyprinidae",31306
"percidae",18536
"carabidae",18439
"centrarchidae",12312
"curculionidae",11886
"acrididae",11170
"tenebrionidae",8942
"formicidae",7853
"scarabaeidae",6916
"catostomidae",5269
"ictaluridae",3640
"fundulidae",3505
"cottidae",2293
"poeciliidae",1955
"rhinotermitidae",1242
"oedemeridae",1101
"nitidulidae",1046
"esocidae",961
"tettigoniidae",887
"atherinopsidae",840
"kalotermitidae",807
"sciaenidae",737
"petromyzontidae",726
"aphredoderidae",665
"silphidae",653
"dryophthoridae",629
"clupeidae",626
"elassomatidae",553
"brentidae",450
"paralichthyidae",449
"rhynchitidae",440
"triglidae",425
"acipenseridae",399
"gryllidae",376
"zopheridae",346
"serranidae",331
"carangidae",329
"romaleidae",315
"ephydridae",291
"termitidae",285
"branchiostomidae",284
"synodontidae",284
"sparidae",252
"engraulidae",251
"gobiidae",237
"lepisosteidae",229
"syngnathidae",221
"oecanthidae",213
"staphylinidae",199
"cichlidae",198
"anguillidae",192
"tetraodontidae",182
"achiridae",178
"trigonidiidae",172
"termopsidae",169
"ophidiidae",167
"rhaphidophoridae",160
"erirhinidae",150
"mugilidae",146
"monacanthidae",144
"ogcocephalidae",138
"salmonidae",131
"scorpaenidae",128
"cerambycidae",126
"lutjanidae",113
"cyprinodontidae",109
"cynoglossidae",108
"moronidae",96
"ariidae",92
"stromateidae",91
"ophichthidae",90
"haemulidae",89
"gerreidae",86
"mogoplistidae",86
"belonidae",85
"tridactylidae",85
"amiidae",80
"batrachoididae",77
"anthribidae",73
"blenniidae",73
"gadidae",70
"attelabidae",68
"rajidae",65
"gasterosteidae",60
"antennariidae",59
"rhysodidae",58
"ephippidae",54
"eumastacidae",54
"labridae",54
"stenopelmatidae",53
"characidae",52
"uranoscopidae",52
"muraenidae",51
"congridae",50
"amblyopsidae",49
"gryllotalpidae",49
"mullidae",49
"polyodontidae",46
"cryptophagidae",45
"balistidae",43
"eleotridae",42
"umbridae",42
"hiodontidae",41
"pomacentridae",40
"myrmecophilidae",39
"dasyatidae",38
"diodontidae",37
"macrouridae",37
"scombridae",37
"bothidae",35
"chrysomelidae:bruchinae",34
"leiodidae",34
"loricariidae",32
"priacanthidae",31
"trichiuridae",29
"apogonidae",28
"chrysomelidae",28
"gobiesocidae",28
"doradidae",27
"trachypachidae",27
"chaetodontidae",26
"sphyraenidae",26
"corylophidae",25
"echeneidae",24
"merlucciidae",24
"ostraciidae",23
"carcharhinidae",22
"chlorophthalmidae",22
"cobitidae",22
"heptapteridae",22
"elopidae",21
"moridae",21
"stichaeidae",21
"auchenipteridae",20
"nettastomatidae",20
"exocoetidae",19
"triacanthodidae",19
"percophidae",18
"polynemidae",18
"acropomatidae",17
"nilionidae",17
"prostomidae",17
"stomiidae",17
"hemiramphidae",16
"scyliorhinidae",16
"brachypteridae",15
"clinidae",15
"pomatomidae",15
"pyrgomorphidae",15
"sternoptychidae",15
"caproidae",14
"coryphaenidae",14
"lophiidae",14
"melyrridae",14
"scaridae",14
"percopsidae",13
"pholidae",13
"pleuronectidae",13
"gempylidae",12
"narcinidae",12
"pyrochroidae",12
"callionymidae",11
"etmopteridae",11
"histeridae",11
"ithyceridae",11
"stenotrachelidae",11
"synchroidae",11
"bregmacerotidae",10
"chimaeridae",10
"elateridae",10
"myctophidae",10
"polymixiidae",10
"prophalangopsidae",10
"embiotocidae",9
"holocentridae",9
"ipnopidae",9
"lobotidae",9
"osmeridae",9
"rachycentridae",9
"sphyrnidae",9
"buprestidae",8
"grammicolepididae",8
"malacanthidae",8
"pomacanthidae",8
"squalidae",8
"zeidae",8
"anostomidae",7
"argentinidae",7
"atherinidae",7
"epigonidae",7
"labrisomidae",7
"ptiliidae",7
"salpingidae",7
"bothrideridae",6
"carapidae",6
"diretmidae",6
"endomychidae",6
"latridiidae",6
"macroramphosidae",6
"parazenidae",6
"scophthalmidae",6
"squatinidae",6
"synbranchidae",6
"triakidae",6
"acanthobatididae",5
"balitoridae",5
"branchiostomatidae",5
"chaunacidae",5
"gasteropelecidae",5
"hexagrammidae",5
"microdesmidae",5
"pseudopimelodidae",5
"raymondionymidae",5
"sebastidae",5
"trachichthyidae",5
"zenionidae",5
"chaenopsidae",4
"clariidae",4
"gymnuridae",4
"halosauridae",4
"lebiasinidae",4
"megalopidae",4
"podoscirtidae",4
"ptinidae",4
