"Family","Count"
"Cottidae",2063
"Salmonidae",1335
"Stichaeidae",664
"Pleuronectidae",627
"Gadidae",555
"Zoarcidae",520
"Agonidae",517
"Cyclopteridae",472
"Scorpaenidae",366
"Osmeridae",267
"Hexagrammidae",192
"Liparidae",167
"Gasterosteidae",162
"Esocidae",155
"Psychrolutidae",131
"Pholidae",123
"Petromyzontidae",117
"Bathymasteridae",115
"Myctophidae",112
"Ammodytidae",109
"Catostomidae",96
"Clupeidae",80
"Umbridae",76
"Sebastidae",70
"Bathylagidae",60
"Trichodontidae",46
"Cyprinidae",45
"Rajidae",41
"Anarhichadidae",35
"Zaproridae",32
"Hemitripteridae",29
"Anoplopomatidae",28
"Embiotocidae",26
"Aulorhynchidae",25
"Stomiidae",24
"Bothidae",17
"Cryptacanthodidae",14
"Macrouridae",14
"Ptilichthyidae",13
"Syngnathidae",13
"Gobiidae",12
"Percopsidae",12
"Scomberesocidae",11
"Icosteidae",10
"Chimaeridae",8
"Bramidae",7
"Gobiesocidae",7
"Myxinidae",5
"Pentacerotidae",5
"Scopelarchidae",5
"Alepisauridae",4
"Squalidae",4
"Sternoptychidae",4
"Clinidae",3
"Gonostomatidae",3
"Melamphaidae",3
"Moridae",3
"Acipenseridae",2
"Batrachoididae",2
"Blenniidae",2
"Carcharinidae",2
"Paralepididae",2
"Percidae",2
"Sciaenidae",2
"Scombridae",2
"Scytalinidae",2
"Sphyraenidae",2
"Trachipteridae",2
"Alopiidae",1
"Arhynchobatidae",1
"Atherinidae",1
"Carangidae",1
"Caristiidae",1
"Centrarchidae",1
"Ceratiidae",1
"Chlopsidae",1
"Cynoglossidae",1
"Gempylidae",1
"Kyphosidae",1
"Labridae",1
"Mysidae",1
"Nemichthyidae",1
"Notosudidae",1
"Nototheniidae",1
"Octopodidae",1
"Oedicerotidae",1
"Ommastrephidae",1
"Oneirodidae",1
"Opisthoproctidae",1
"Oreosomatidae",1
"Rhinobatidae",1
"Somnosidae",1
