"dwc.scientificName","freq"
"Oncorhynchus kisutch",190
"Boreogadus saida",189
"Esox lucius",170
"Gymnocanthus tricuspis",162
"Oncorhynchus tshawytscha",148
"Thymallus arcticus",145
"Lumpenus fabricii",136
"Triglops pingelii",134
"Myoxocephalus scorpius",125
"Aspidophoroides olrikii",123
"Prosopium cylindraceum",116
"Cottus cognatus",114
"Mallotus villosus",111
"Ammodytes hexapterus",109
"Pholis laeta",105
"Salvelinus malma",102
"Gadus chalcogrammus",98
"Anisarchus medius",96
"Catostomus catostomus",96
"Gasterosteus aculeatus",96
"Myoxocephalus polyacanthocephalus",96
"Hippoglossoides elassodon",89
"Oncorhynchus keta",87
"Sebastes ciliatus",87
"Coregonus sardinella",81
"Dasycottus setiger",79
"Eleginus gracilis",77
"Lota lota",77
"Oncorhynchus gorbuscha",77
"Dallia pectoralis",76
"Hexagrammos stelleri",74
"Limanda aspera",74
"Malacocottus zonurus",74
"Sebastes alutus",74
"Clupea pallasii",72
"Liparis tunicatus",72
"Podothecus accipenserinus",72
"Stenobrachius leucopsarus",72
"Stichaeus punctatus",71
"Artediellus scaber",67
"Hippoglossoides robustus",67
"Icelus spatula",65
"Sebastes aleutianus",64
"Lethenteron camtschaticum",63
"Lycodes palearis",61
"Pungitius pungitius",61
"Liparis gibbus",60
"Oncorhynchus nerka",60
"Lycodes polaris",59
"Bathyagonus alascanus",58
"Bathymaster signatus",58
"Hemilepidotus jordani",56
"Lumpenella longirostris",56
"Lumpenus sagitta",56
"Thaleichthys pacificus",56
"Anoplarchus purpurescens",55
"Gadus macrocephalus",54
"Lycodes brevipes",54
"Gymnocanthus galeatus",53
"Leptoclinus maculatus",52
"Cottus aleuticus",51
"Oligocottus maculosus",50
"Atheresthes stomias",49
"Eumicrotremus orbis",48
"Coregonus nasus",46
"Trichodon trichodon",46
"Coregonus pidschian",45
"Gymnelus hemifasciatus",45
"Icelinus borealis",45
"Leuroglossus schmidti",45
"Glyptocephalus zachirus",44
"Myoxocephalus quadricornis",44
"Nautichthys pribilovius",43
"Aspidophoroides monopterygius",42
"Hexagrammos decagrammus",42
"Lycodes mucosus",42
"Couesius plumbeus",41
"Artedius fenestralis",40
"Lycodapus sp.",40
"Hemitripterus bolini",39
"Icelus spiniger",39
"Salvelinus namaycush",39
"Hemilepidotus hemilepidotus",38
"Liparis fabricii",37
"Microstomus pacificus",36
"Sebastes variegatus",36
"Liparis sp.",35
"Pallasina barbata",35
"Prosopium coulterii",35
"Ronquilus jordani",35
"Oncorhynchus mykiss",34
"Clinocottus acuticeps",33
"Liparis dennyi",33
"Myoxocephalus jaok",33
"Bathyagonus infraspinatus",32
"Gymnocanthus pistilliger",32
"Zaprora silenus",32
"Hypomesus pretiosus",31
"Reinhardtius hippoglossoides",31
"Sebastes polyspinis",31
"Blepsias bilobus",30
"Leptocottus armatus",30
"Podothecus veternus",30
"Sebastes melanops",30
"Blepsias cirrhosus",29
"Myoxocephalus scorpioides",29
"Salvelinus alpinus",29
"Sebastes caurinus",29
"Theragra chalcogramma",29
"Hexagrammos octogrammus",28
"Limanda proboscidea",27
"Lycodes raridens",27
"Osmerus mordax",27
"Clinocottus embryum",26
"Nectoliparis pelagicus",26
"Sebastes flavidus",26
"Sebastes proriger",26
"Anoplopoma fimbria",25
"Aulorhynchus flavidus",25
"Lepidopsetta bilineata",25
"Paraliparis deani",25
"Psychrolutes paradoxus",25
"Microcottus sellaris",24
"Sebastes maliger",24
"Aptocyclus ventricosus",23
"Artedius lateralis",23
"Sarritor frenatus",23
"Artedius harringtoni",22
"Platichthys stellatus",22
"Psychrolutes sigalutes",22
"Enophrys diceraus",21
"Enophrys lucasi",21
"Isopsetta isolepis",21
"Parophrys vetulus",21
"Bathyagonus nigripinnis",20
"Hippoglossus stenolepis",20
"Liparis bristolense",20
"Lycodapus mandibularis",20
"Oncorhynchus clarkii",20
"Radulinus asprellus",20
"Sebastes entomelas",20
"Cymatogaster aggregata",19
"Microgadus proximus",19
"Nautichthys oculofasciatus",19
"Anarrhichthys ocellatus",18
"Eumesogrammus praecisus",18
"Lepidosetta bilineata",18
"Liparis callyodon",18
"Lycodes sagittarius",18
"Pleurogrammus monopterygius",18
"Enophrys bison",17
"Gymnelus viridis",17
"Liparis bathyarcticus",17
"Careproctus gilberti",16
"Careproctus rastrinus",16
"Hypomesus olidus",16
"Liparis pulchellus",16
"Lycodes seminudus",16
"Spirinchus thaleichthys",16
"Triglops macellus",16
"Anarhichas orientalis",15
"Coregonus clupeaformis",15
"Cottidae",15
"Eumicrotremus derjugini",15
"Lepidopsetta polyxystra",15
"Lumpenus maculatus",15
"Sebastes babcocki",15
"Citharichthys sordidus",14
"Cottus asper",14
"Entosphenus tridentatus",14
"Gymnelis viridis",14
"Icelus bicornis",14
"Liparis ingens",14
"Lycodes adolfi",14
"Myoxocephalus verrucosus",14
"Poroclinus rothrocki",14
"Anoplagonus inermis",13
"Artediellus pacificus",13
"Bathyraja interrupta",13
"Bothrocara pusillum",13
"Diaphus theta",13
"Myoxocephalus stelleri",13
"Occella dodecaedron",13
"Percopsis omiscomaycus",13
"Prosopium coulteri",13
"Ptilichthys goodei",13
"Sebastes sp.",13
"Sebastes zacentrus",13
"Trichocottus brashnikovi",13
"Cyclopteridae",12
"Hemilepidotus papilio",12
"Lampetra ayresii",12
"Liparis",12
"Liparis cyclostigma",12
"Psettichthys melanostictus",12
"Acantholumpenus mackayi",11
"Cololabis saira",11
"Coregonus sp.",11
"Hexagrammos lagocephalus",11
"Icosteus aenigmaticus",11
"Lycodes pacificus",11
"Oligocottus snyderi",11
"Rhamphocottus richardsonii",11
"Sebastes borealis",11
"Sebastes brevispinis",11
"Stichaeidae",11
"Tactostoma macropus",11
"Ulcina olrikii",11
"Chauliodus macouni",10
"Chirolophis decoratus",10
"Coregonus autumnalis",10
"Icelus sp.",10
"Lethotremus muticus",10
"Liparis cyclopus",10
"Liparis fucensis",10
"Lyconectes aleutensis",10
"Lyopsetta exilis",10
"Myoxocephalus sp.",10
"Pleuronectes quadrituberculatus",10
"Raja kincaidi",10
"Raja rhina",10
"Sebastolobus alascanus",10
"Sigmistes caulias",10
"Stenodus leucichthys",10
"Anoplarchus sp.",9
"Careproctus",9
"Careproctus furcellus",9
"Citharichthys stigmaeus",9
"Clinocottus globiceps",9
"Icelus uncinalis",9
"Ophiodon elongatus",9
"Sebastes crameri",9
"Triglops forficatus",9
"Triglops scepticus",9
"Bathymaster caeruleofasciatus",8
"Bothrocara molle",8
"Careproctus sp.",8
"Coregonus laurettae",8
"Gasterosteus aculeatus aculeatus",8
"Hydrolagus colliei",8
"Hypsagonus quadricornis",8
"Lampetra camtschatica",8
"Liparis bristolensis",8
"Liparis florae",8
"Lycodes",8
"Lycodes sp.",8
"Lycodes turneri",8
"Scorpaenichthys marmoratus",8
"Syngnathus leptorhynchus",8
"Bathymaster leurolepis",7
"Bathymasteridae",7
"Brachyistius frenatus",7
"Brama japonica",7
"Eumicrotremus phrynoides",7
"Lampetra",7
"Lampetra sp.",7
"Liparis liparis",7
"Liparis rutteri",7
"Lipariscus nanus",7
"Lycodes diapterus",7
"Merluccius productus",7
"Oligocottus rimensis",7
"Rajidae",7
"Rhamphocottus richardsoni",7
"Sebastes ruberrimus",7
"Triglops nybelini",7
"Agonidae",6
"Apodichthys flavidus",6
"Coregonus nelsoni",6
"Coryphopterus nicholsi",6
"Cryptacanthodes aleutensis",6
"Embassichthys bathybius",6
"Leptagonus frenatus",6
"Megalocottus platycephalus",6
"Oxylebius pictus",6
"Phytichthys chirus",6
"Pleuronectidae",6
"Raja binoculata",6
"Sebastes emphaeus",6
"Synchirus gilli",6
"Anoplarchus insignis",5
"Arctogadus glacialis",5
"Benthalbella dentata",5
"Careproctus ostentum",5
"Careproctus reinhardti cf.",5
"Chirolophis nugator",5
"Chirolophis snyderi",5
"Chitonotus pugetensis",5
"Eurymen gyrinus",5
"Gobiesox maeandricus",5
"Leptagonus decagonus",5
"Limanda sakhalinensis",5
"Liparis ochotensis",5
"Lycodapus grossidens",5
"Lycodes reticulatus",5
"Malacocottus kincaidi",5
"Myoxocephalus niger",5
"Nannobrachium regale",5
"Osmeridae",5
"Pholis fasciata",5
"Sebastes elongatus",5
"Sebastes helvomaculatus",5
"Sebastes mystinus",5
"Sebastes paucispinis",5
"Sebastes pinniger",5
"Sebastes variabilis",5
"Sebastes wilsoni",5
"Triglops beani",5
"Albatrossia pectoralis",4
"Alepisaurus ferox",4
"Artediellus sp.",4
"Aspidophoroides bartoni",4
"Chirolophis polyactocephalus",4
"Clinocottus recalvus",4
"Coryphaenoides acrolepis",4
"Cryptacanthodes giganteus",4
"Crystallichthys cyclospilus",4
"Eopsetta jordani",4
"Lampetra richardsoni",4
"Liparis greeni",4
"Liparis koefoedi",4
"Lycodes pallidus",4
"Malacocottus sp.",4
"Notropis cornutus",4
"Osmerus dentex",4
"Perciformes",4
"Pleuronectes glacialis",4
"Protomyctophum thompsoni",4
"Radulinus taylori",4
"Salvelinus anaktuvukensis",4
"Sardinops sagax",4
"Sebastes reedi",4
"Sebastolobus altivelis",4
"Stellerina xyosterna",4
"Tarletonbeania crenularis",4
"Triglops metopias",4
