"Family","Count"
"Gasterosteidae",2255
"Cyprinidae",1913
"Salmonidae",882
"Catostomidae",790
"Cottidae",745
"Percidae",453
"Cichlidae",217
"Esocidae",178
"Hiodontidae",163
"Petromyzontidae",158
"Percopsidae",147
"Pleuronectidae",137
"Lotidae",124
"Squalidae",114
"Gobiidae",94
"Stichaeidae",89
"Scorpaenidae",83
"Centrarchidae",70
"Pomacentridae",64
"Clupeidae",58
"Pholidae",58
"Carangidae",57
"Acanthuridae",52
"Serranidae",49
"Umbridae",49
"Gadidae",48
"Apogonidae",44
"Hexagrammidae",44
"Poeciliidae",43
"Clinidae",42
"Embiotocidae",40
"Labridae",40
"Osmeridae",40
"Syngnathidae",40
"Tetraodontidae",40
"Agonidae",33
"Cyclopteridae",32
"Blenniidae",31
"Chaetodontidae",31
"Ictaluridae",29
"Haemulidae",28
"Muraenidae",24
"Rajidae",24
"Batrachoididae",23
"Sciaenidae",23
"Gobiesocidae",22
"Psychrolutidae",22
"Leiognathidae",21
"Zoarcidae",21
"Characidae",20
"Cynoglossidae",19
"Cobitidae",18
"Holocentridae",18
"Polynemidae",18
"Scaridae",18
"Mullidae",17
"Ostraciidae",17
"Aulorhynchidae",16
"Engraulidae",15
"Paralichthyidae",15
"Theraponidae",15
"Ammodytidae",14
"Belonidae",14
"Bothidae",14
"Chimaeridae",14
"Engraulididae",14
"Muraenesocidae",14
"Dactyloscopidae",13
"Lepisosteidae",13
"Lutjanidae",13
"Synodontidae",13
"Exocoetidae",12
"Gerreidae",12
"Percophidae",12
"Cottocomephoridae",11
"Diodontidae",11
"Fundulidae",11
"Grammistidae",11
"Monacanthidae",11
"Myxinidae",11
"Balistidae",10
"Mugilidae",10
"Platycephalidae",10
"Sparidae",10
"Sphyraenidae",10
"Triglidae",10
"Acipenseridae",9
"Carcharhinidae",9
"Dalatiidae",9
"Limnichthyidae",9
"Moronidae",9
"Scombridae",9
"Synancejidae",9
"Uranoscopidae",9
"Antennariidae",8
"Myctophidae",8
"Ophidiidae",8
"Pristigasteridae",8
"Sillaginidae",8
"Atherinidae",7
"Cirrhitidae",7
"Echeneidae",7
"Osteoglossidae",7
"Polypteridae",7
"Anguillidae",6
"Ariidae",6
"Chanidae",6
"Cottunculidae",6
"Ephippidae",6
"Loricariidae",6
"Nemipteridae",6
"Percichthyidae",6
"Percophididae",6
"Triacanthidae",6
"Amiidae",5
"Callionymidae",5
"Centriscidae",5
"Cyprinodontidae",5
"Dactylopteridae",5
"Eleotridae",5
"Fistulariidae",5
"Galaxiidae",5
"Mastacembelidae",5
"Mugiloididae",5
"Ophichthidae",5
"Osphronemidae",5
"Priacanthidae",5
"Scatophagidae",5
"Trichodontidae",5
"Callichthyidae",4
"Dasyatidae",4
"Gasteropelecidae",4
"Kuhliidae",4
"Mochokidae",4
"Opisthognathidae",4
"Aulostomidae",3
"Chandidae",3
"Chirocentridae",3
"Gonostomatidae",3
"Grammidae",3
"Gyrinocheilidae",3
"Heterodontidae",3
"Lophiidae",3
"Megalopidae",3
"Melanotaeniidae",3
"Merlucciidae",3
"Mormyridae",3
"Notopteridae",3
"Pantodontidae",3
"Pegasidae",3
"Plecoglossidae",3
"Polyodontidae",3
"Protopteridae",3
"Scyliorhinidae",3
"Soleidae",3
"Synbranchidae",3
"Trichiuridae",3
"Tripterygiidae",3
"Anabantidae",2
"Anomalopidae",2
"Anoplopomatidae",2
"Aphredoderidae",2
"Bathymasteridae",2
"Branchiostomidae",2
"Chaudhuriidae",2
"Comephoridae",2
"Creediidae",2
"Doradidae",2
"Dysommidae",2
"Electrophoridae",2
"Elopidae",2
"Gymnuridae",2
"Macrouridae",2
"Malacanthidae",2
"Menidae",2
"Moringuidae",2
"Myliobatidae",2
"Narcinidae",2
"Nomeidae",2
"Ogcocephalidae",2
"Psettodidae",2
"Pseudochromidae",2
"Retropinnidae",2
"Siganidae",2
"Siluridae",2
"Stromateidae",2
"Toxotidae",2
"Trichonotidae",2
"Achiridae",1
"Amblyopsidae",1
"Anablepidae",1
"Anarhichadidae",1
"Anostomidae",1
"Argentinidae",1
"Arripididae",1
"Auchenipteridae",1
"Bagridae",1
"Balitoridae",1
"Bathylagidae",1
"Bythitidae",1
"Callorhynchidae",1
"Chauliodontidae",1
"Cheimarrhichthyidae",1
"Clariidae",1
"Coryphaenidae",1
"Elassomatidae",1
"Enoplosidae",1
"Ephippididae",1
"Ginglymostomatidae",1
"Goodeidae",1
"Helostomatidae",1
"Hypoptychidae",1
"Indostomidae",1
"Isonidae",1
"Istiophoridae",1
"Kyphosidae",1
"Lactariidae",1
"Latimeriidae",1
"Lebiasinidae",1
"Lepidogalaxiidae",1
"Leptoscopidae",1
"Malapteruridae",1
"Melamphaidae",1
"Melanostomiidae",1
"Microdesmidae",1
"Monodactylidae",1
"Nandidae",1
"Odontaspididae",1
"Ostraiontidae",1
"Plotosidae",1
"Pomadasyidae",1
"Pomatomidae",1
"Pristidae",1
"Pseudopimelodidae",1
"Rhinobatidae",1
"Rivulidae",1
"Salangidae",1
"Scomberesocidae",1
"Scopelarchidae",1
"Solidae",1
"Sphyrnidae",1
"Stegostomatidae",1
"Sternoptychidae",1
"Triakidae",1
"Trichomycteridae",1
"Xenocongridae",1
"Zeidae",1
