"Collector","Count"
"2",1
"6",2
"525",16
"2462",1
"j",8712
"d",6351
"r",4762
"soper",3932
"e",3880
"a",3308
"unknown",3287
"w",2740
"l",1820
"s",1799
"m",1665
"c",1606
"moore",1576
"lister",1469
"b",1256
"n",1141
"v",1131
"g",1087
"lewin",1087
"salt",1055
"nelson",998
"t",995
"h",947
"panter",923
"p",920
"boag",904
"roberts",731
"reimchen",686
"wayne",645
"nursall",634
"miller",528
"rooney",488
"k",470
"jones",461
"carbyn",406
"martell",404
"macdonald",400
"paetz",385
"and",372
"rowan",372
"environmental",347
"fuller",347
"ltd",338
"pearson",338
"walker",338
"services",333
"fish",316
"david",315
"tyson",315
"wildlife",315
"zuril",309
"tebby",302
"griffiths",278
"paterson",268
"wilk",268
"patriquin",267
"f",255
"o",237
"martynuik",222
"holmes",220
"murray",220
"petersen",219
"s.d",219
"sullivan",219
"norm",208
"stacey",207
"brusnyk",200
"al",183
"reist",181
"et",178
"skinner",174
"wells",157
"cyndi",155
"tefft",155
"das",154
"mrinal",154
"oeming",150
"nixon",149
"wendy",147
"hohn",135
"chernuka",120
"redfield",119
"scott",119
"university",118
"ball",115
"johnson",114
"schweitzer",107
"smith",107
"buchwald",106
"turner",103
"smiley",101
"cook",100
"james",99
"vie",93
"fillion",91
"dan",87
"lawrie",87
"moats",87
"luckhurst",85
"wishart",84
"duncan",81
"fisheries",81
"langer",81
"otto",81
"moodie",80
"carveth",78
"beatty",77
"harris",76
"john",76
"mennie",76
"glasgow",75
"inc",74
"inland",74
"trust",74
"kiceniuk",72
"muirhead",72
"butcher",70
"graham",70
"weckerle",70
"radford",69
"whitehead",68
"wolfe",68
"mobach",67
"scientific",67
"aleksiuk",65
"collins",65
"stelfox",65
"keith",64
"sbn",63
"taylor",62
"of",61
"ontario",58
"pendergast",58
"grant",57
"wolford",57
"van",55
"family",52
"forey",52
"ryder",52
"tong",52
"bailey",51
"dann",51
"company",50
"fisher",50
"pickering",50
"dickerman",49
"gallimore",48
"gary",48
"schowalter",48
