"Country","Count"
"canada",26056
"united states",1402
"australia",547
"barbados",327
"mexico",312
"united kingdom",178
"japan",103
"ireland",73
"netherlands antilles",52
"bermuda",39
"new zealand",38
"taiwan",30
"argentina",29
"colombia",29
"ecuador",29
"ukraine",25
"philippines",23
"romania",22
"venezuela",21
"russia",20
"italy",18
"singapore",14
"brazil",13
"thailand",13
"finland",12
"china",11
"trinidad and tobago",11
"germany",10
"zimbabwe",10
"costa rica",9
"panama",8
"indonesia",7
"sweden",7
"uganda",7
"guatemala",6
"india",6
"norway",6
"slovakia",6
"isle of man",5
"denmark",4
"ghana",4
"kenya",4
"myanmar",4
"poland",4
"south africa",4
"suriname",4
"peru",3
"chile",2
"guyana",2
"iran",2
"netherlands",2
"spain",2
"tanzania",2
"bahamas",1
"bolivia",1
"cameroon",1
"congo",1
"czech republic",1
"french polynesia",1
"israel",1
"jamaica",1
"madagascar",1
"malaysia",1
"morocco",1
"portugal",1
"saint vincent and the grenadines",1
