"Family","Count"
"cricetidae",2753
"gasterosteidae",2253
"fringillidae",2210
"cyprinidae",1907
"muridae",1682
"soricidae",1580
"sciuridae",1526
"ranidae",1211
"bufonidae",904
"salmonidae",875
"phasianidae",868
"catostomidae",784
"cottidae",739
"anatidae",596
"geomyidae",571
"ambystomatidae",530
"hylidae",497
"scolopacidae",487
"colubridae",475
"percidae",452
"dipodidae",375
"mustelidae",367
"canidae",351
"muscicapidae",271
"strigidae",262
"corvidae",261
"picidae",256
"laridae",248
"accipitridae",244
"vespertilionidae",229
"tyrannidae",222
"cichlidae",215
"trochilidae",184
"esocidae",178
"plethodontidae",172
"hiodontidae",163
"petromyzontidae",158
"percopsidae",147
"bombycillidae",137
"pleuronectidae",136
"felidae",130
"falconidae",129
"bovidae",126
"lotidae",123
"salamandridae",122
"scaphiopodidae",119
"ursidae",115
"squalidae",114
"paridae",111
"cervidae",109
"hirundinidae",104
"leporidae",104
"elapidae",102
"parulidae",101
"vireonidae",100
"podicipedidae",95
"gobiidae",93
"stichaeidae",89
"ochotonidae",86
"alaudidae",84
"scorpaenidae",82
"charadriidae",80
"passeridae",80
"certhiidae",74
"centrarchidae",70
"phrynosomatidae",68
"pomacentridae",63
"sturnidae",63
"clupeidae",58
"pholidae",58
"odontophoridae",56
"rallidae",56
"carangidae",55
"regulidae",55
"viperidae",53
"acanthuridae",51
"serranidae",49
"umbridae",49
"ardeidae",48
"gadidae",48
"apogonidae",44
"heteromyidae",44
"hexagrammidae",44
"poeciliidae",43
"clinidae",41
"embiotocidae",40
"labridae",40
"osmeridae",40
"syngnathidae",40
"tetraodontidae",40
"gaviidae",38
"caprimulgidae",36
"castoridae",35
"agonidae",32
"cyclopteridae",32
"emberizidae",32
"blenniidae",31
"chaetodontidae",31
"sittidae",31
"columbidae",29
"scincidae",29
"haemulidae",28
"laniidae",28
"ictaluridae",27
"psittacidae",27
"hynobiidae",25
"emydidae",24
"muraenidae",24
"rajidae",24
"batrachoididae",23
"sciaenidae",23
"turdidae",23
"gekkonidae",22
"gobiesocidae",22
"pelecanidae",22
"psychrolutidae",22
"leiognathidae",21
"zoarcidae",21
"balistidae",20
"characidae",20
"talpidae",20
"cynoglossidae",19
"procyonidae",19
"cebidae",18
"cobitidae",18
"holocentridae",18
"polynemidae",18
"scaridae",18
"mephitidae",17
"mullidae",17
"aulorhynchidae",16
"gruidae",16
"ostraciidae",16
"alcedinidae",15
"engraulidae",15
"otariidae",15
"paralichthyidae",15
"phalacrocoracidae",15
"polychrotidae",15
"theraponidae",15
"ammodytidae",14
"anguidae",14
"belonidae",14
"bothidae",14
"chimaeridae",14
"cinclidae",14
"engraulididae",14
"erinaceidae",14
"lacertidae",14
"muraenesocidae",14
"phocidae",14
"dactyloscopidae",13
"lepisosteidae",13
"lutjanidae",13
"macropodidae",13
"suidae",13
"synodontidae",13
"didelphidae",12
"erethizontidae",12
"exocoetidae",12
"gerreidae",12
"percophidae",12
"antilocapridae",11
"cercopithecidae",11
"cottocomephoridae",11
"diodontidae",11
"fundulidae",11
"iguanidae",11
"myxinidae",11
"boidae",10
"elephantidae",10
"grammistidae",10
"hominidae",10
"platycephalidae",10
"sphyraenidae",10
"triglidae",10
"acipenseridae",9
"carcharhinidae",9
"dalatiidae",9
"dicamptodontidae",9
"hylobatidae",9
"limnichthyidae",9
"mugilidae",9
"procellariidae",9
"synancejidae",9
"tayassuidae",9
"uranoscopidae",9
"antennariidae",8
"myctophidae",8
"ophidiidae",8
"pristigasteridae",8
"sillaginidae",8
"atherinidae",7
"camelidae",7
"chinchillidae",7
"cirrhitidae",7
"coccyzidae",7
"echeneidae",7
"microhylidae",7
"moronidae",7
"osteoglossidae",7
"pipidae",7
"polypteridae",7
"proteidae",7
"pythonidae",7
"scombridae",7
"spheniscidae",7
"threskiornithidae",7
"varanidae",7
"alligatoridae",6
"anguillidae",6
"aplodontiidae",6
"ariidae",6
"casuariidae",6
"chanidae",6
"cottunculidae",6
"ephippidae",6
"loricariidae",6
"nemipteridae",6
"percichthyidae",6
"percophididae",6
"phyllostomidae",6
"pteropodidae",6
"sparidae",6
"triacanthidae",6
"amiidae",5
"bradypodidae",5
"callionymidae",5
"caviidae",5
"centriscidae",5
"cyprinodontidae",5
"dactylopteridae",5
"dasypodidae",5
"eleotridae",5
"equidae",5
"fistulariidae",5
"galaxiidae",5
"manidae",5
"mastacembelidae",5
"monodontidae",5
"mugiloididae",5
"myocastoridae",5
"odobenidae",5
"ophichthidae",5
"physeteridae",5
"priacanthidae",5
"rheidae",5
"rhyacotritonidae",5
"scatophagidae",5
"struthionidae",5
"trichodontidae",5
"tytonidae",5
"belontiidae",4
"callichthyidae",4
"cheloniidae",4
"crocodylidae",4
"crotaphytidae",4
"dasyatidae",4
"dasyproctidae",4
"eleutherodactylidae",4
"furnariidae",4
"gasteropelecidae",4
"kuhliidae",4
"lorisidae",4
"mochokidae",4
"myrmecophagidae",4
"opisthognathidae",4
"phalangeridae",4
"phoenicopteridae",4
"rostratulidae",4
"teiidae",4
"aegithalidae",3
"amphiumidae",3
"apodidae",3
"ascaphidae",3
"aulostomidae",3
