"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"alcohol","university of alberta museums","uamz","a3708","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3712","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3697","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3700","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3681","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3717","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3670","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3698","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3719","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3729","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3725","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3685","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3721","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3669","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3723","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3671","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3688","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3718","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3690","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3684","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3738","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3658","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3736","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3678","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3667","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3710","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3699","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3735","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3696","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3660","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3716","EtOH","","",NA,NA,NA,47
"alcohol","university of alberta museums","uamz","a3677","EtOH","","",NA,NA,NA,47
