"Waterbody","Count"
"north saskatchewan river",270
"cold lake",216
"columbia river",202
"pakowki lake",170
"milk river",164
"friday harbor",147
"astotin lake",137
"red deer river",126
"gulf of carpentaria",110
"hay river",105
"peace river",100
"lower kananaskis lake",87
"upper pierre greys lake",85
"pembina river",79
"gorge creek",73
"wakomao lake",69
"whitemud creek",69
"athabasca river",66
"lac sainte anne",66
"upper kananaskis lake",66
"muskeg creek",64
"hasse lake",62
"tyrrell lake",60
"barrier lake",58
"medicine river",58
"lodge creek",55
"pierre greys lake #4",55
"kananaskis river",54
"lesser slave lake",51
"redwater river",50
"sass river",49
"abraham lake",48
"bare creek",47
"beaufort sea",47
"winefred river",45
"slave river",44
"great slave lake",43
"ells river",42
"lac la biche",41
"sturgeon river",39
"wapiti river",38
"steepbank river",36
"halifax bay",35
"south saskatchewan river",35
"albatross bay",34
"buffalo lake",34
"square lake",34
"mara lake",32
"barkley sound",31
"muir lake",31
"north milk river",30
"wabamun lake",30
"muskeg river",28
"kelp bay",27
"simonette river",27
"kearl lake",26
"little buffalo river",26
"shunda lake",26
"clearwater river",25
"richardson lake",25
"cottage lake",24
"ghostpine creek",24
"medley river",24
"pigeon lake",24
"pothole creek",24
"sandy lake",24
"beaverhill lake",23
"pinto creek",22
"quirk creek",22
"salt river",22
"spring lake",22
"victor lake",22
"boulton creek",21
"castle harbour",21
"cottonwood creek",21
"house river",21
"summit lake (undet.)",21
"christina river",20
"horse river",20
"smoky river",20
"beaver lake",19
"jackpine creek",19
"oldman river",19
"muriel lake",18
"pine lake",18
"rock lake",18
"corbett creek",17
"gardiner lakes",17
"gregoire river",17
"hines creek",17
"mamawi lake",17
"souris river",17
"beaver creek",16
"coyote creek",16
"hangingstone river",16
"prairie creek",16
"baptiste lake",15
"beauvais lake",15
"firebag river",15
"goldeye lake",15
"kootenay river",15
"lake newell",15
"mackay river",15
"obed lake",15
"calling lake",14
"christmas creek",14
"cutbank river",14
"elk creek",14
"hazard bay",14
"kehiwin lake",14
"musreau lake",14
"pine creek",14
"beaver river",13
"bow river",13
"buster creek",13
"gulf of mexico",13
"halfmoon lake",13
"lost river",13
"mcleod lake (undet.)",13
"poplar creek",13
"stony creek",13
"big spring creek",12
"moraine bay",12
"pass creek",12
"star lake",12
"brazeau river",11
"buck lake",11
"carson creek",11
"cooking lake",11
"deep bay",11
"false bay",11
"kilini creek",11
"marie lake",11
"mink lake",11
"mitchell bay",11
"sheep river",11
"swan creek",11
"the grand forks",11
"wandering river",11
"amisk lake",10
"andrew lake",10
"bridge lakes",10
"dillberry lake",10
"dover river",10
"lake ada",10
"namur lake",10
"robertson creek",10
"st. mary river",10
"assiniboine river",9
"barrow lake",9
"battle creek",9
"hastings lake",9
"high hill river",9
"hotchkiss river",9
"jack fish lake",9
"little smoky river",9
"mulberry fork",9
"oldman creek",9
"payne lake",9
"shuswap lake",9
"snail lake",9
"swan river",9
"tay river",9
"twin lakes",9
"wolf creek",9
"big point channel",8
"brazeau reservoir",8
"cadotte river",8
"chambers creek",8
"cockscomb lake",8
"donau river",8
"economy creek",8
"fairydell creek",8
"gros ventre creek",8
"hubbles lake",8
"johnnys lake",8
"mcivor river",8
"milk river ridge reservoir",8
"nass river",8
"rocky creek",8
