"dwc.preparations","freq"
"whole organism (ethanol)",3139
"whole organism (alcohol)",195
"",136
"whole organism (dry)",16
"egg",6
"body parts (dry)",5
"body parts (ethanol)",5
"scale (dry)",5
"whole organism (ethanol); whole organism (ethanol)",5
"whole organism (isopropanol)",5
"whole organism",4
"body parts (ethanol); whole organism (ethanol)",3
"skull",3
"skull (dry)",3
"egg case; whole organism (ethanol)",2
"jaws (dry); whole organism (ethanol)",2
"other",2
"skin (dry); skeleton (dry)",2
"skull (dry); skull (dry) sample",2
"whole organism (ethanol); egg",2
"35 mm slide",1
"egg case",1
"jaws (dry)",1
"skeletal element(s) (dry); whole organism (ethanol)",1
"skeleton (dry)",1
