"Family","Count"
"cyprinidae",986
"",465
"salmonidae",357
"catostomidae",203
"centrarchidae",189
"fundulidae",126
"percidae",120
"cichlidae",73
"characidae",70
"ictaluridae",67
"bagridae",55
"chanidae",46
"pristolepididae",34
"cottidae",32
"atherinopsidae",25
"clariidae",24
"clupeidae",23
"gasterosteidae",23
"poeciliidae",21
"siluridae",20
"scorpaenidae",18
"anostomidae",16
"esocidae",16
"gobiidae",16
"sciaenidae",15
"blenniidae",14
"labridae",14
"lepisosteidae",13
"lebiasinidae",12
"belonidae",11
"petromyzontidae",11
"syngnathidae",11
"umbridae",11
"acipenseridae",10
"amiidae",10
"serrasalmidae",10
"chaetodontidae",9
"agonidae",8
"ariidae",8
"curimatidae",8
"cyprinodontidae",8
"iguanodectidae",8
"pleuronectidae",8
"synbranchidae",8
"erythrinidae",7
"mormyridae",7
"pholidae",7
"acestrorhynchidae",6
"aspredinidae",6
"stichaeidae",6
"tetraodontidae",6
"triportheidae",6
"anablepidae",5
"callichthyidae",5
"haemulidae",5
"holocentridae",5
"mugilidae",5
"osphronemidae",5
"pomacanthidae",5
"pristidae",5
"scaridae",5
"serranidae",5
"anguillidae",4
"bryconidae",4
"crenuchidae",4
"engraulidae",4
"hemiramphidae",4
"hemitripteridae",4
"mochokidae",4
"polypteridae",4
"schilbeidae",4
"sternopygidae",4
"acanthuridae",3
"alestidae",3
"carangidae",3
"curculionidae",3
"embiotocidae",3
"liparidae",3
"lottiidae",3
"percopsidae",3
"potamotrygonidae",3
"psychrolutidae",3
"scombridae",3
"sebastidae",3
"squalidae",3
"trichiuridae",3
"zoarcidae",3
"achiridae",2
"adrianichthyidae",2
"ammodytidae",2
"apogonidae",2
"apteronotidae",2
"atherinidae",2
"auchenipteridae",2
"balistidae",2
"batrachoididae",2
"centrophoridae",2
"chiasmodontidae",2
"chilodontidae",2
"chimaeridae",2
"cirrhitidae",2
"clinidae",2
"cyclopteridae",2
"dactylopteridae",2
"dasyatidae",2
"elassomatidae",2
"ephippidae",2
"etmopteridae",2
"fistulariidae",2
"gadidae",2
"gasteropelecidae",2
"gyalectaceae",2
"gymnotidae",2
"gymnuridae",2
"hemiodontidae",2
"heptapteridae",2
"hypopomidae",2
"kuhliidae",2
"latiidae",2
"loricariidae",2
"mastacembelidae",2
"menidae",2
"monacanthidae",2
"moronidae",2
"muraenidae",2
"ophidiidae",2
"ostraciidae",2
"parodontidae",2
"pimelodidae",2
"pinguipedidae",2
"polycentridae",2
"polyodontidae",2
"pomacentridae",2
"pristigasteridae",2
"prochilodontidae",2
"rhamphichthyidae",2
"rhamphocottidae",2
"sparidae",2
"sphyrnidae",2
"tripterygiidae",2
"amblyopsidae",1
"aphredoderidae",1
"arhynchobatidae",1
"bathymasteridae",1
"carcharhinidae",1
"centropomidae",1
"chaenopsidae",1
"dalatiidae",1
"lepidosirenidae",1
"noctuidae",1
"ophichthidae",1
"osmeridae",1
"pantodontidae",1
"psettodidae",1
"rajidae",1
"rhinobatidae",1
"scyliorhinidae",1
"soleidae",1
"sternoptychidae",1
"stomiidae",1
"synodontidae",1
"torpedinidae",1
"triakidae",1
