"dwc.scientificName","freq"
"Oncorhynchus clarkii",117
"Semotilus atromaculatus",79
"fish",78
"Rhinichthys cataractae",74
"Fundulus zebrinus",66
"Catostomus commersonii",62
"Campostoma anomalum",61
"Oncorhynchus clarkii utah",56
"Pimephales promelas",53
"Oncorhynchus clarkii pleuriticus",50
"Luxilus cornutus",47
"Etheostoma nigrum",46
"Catostomus commersonii sucklii",45
"Catostomus catostomus griseus",36
"Notropis dorsalis piptolepis",35
"Lepomis cyanellus",34
"Pristolepis fasciata",34
"Hemibagrus nemurus",32
"Channa striata",30
"Notropis stramineus",30
"Fundulus sciadicus",29
"Cyprinella lutrensis",28
"Lepomis megalotis",28
"Osteochilus vittatus",28
"Hampala dispar",26
"Micropterus salmoides",26
"Hybognathus hankinsoni",24
"Ameiurus melas",22
"Clarias batrachus",22
"Rhinichthys cataractae dulcis",22
"Salvelinus fontinalis",22
"Gila robusta",21
"Phenacobius mirabilis",20
"Puntioplites proctozystron",20
"Cyprinus carpio",19
"Barbonymus altus",18
"Etheostoma exile",18
"Micropterus dolomieu",18
"Notropis dorsalis",18
"Ompok bimaculatus",18
"Puntius brevis",18
"Cyprinidae",17
"Lepomis macrochirus",17
"Perca flavescens",17
"Catostomus latipinnis",16
"Channa micropeltes",16
"Cyclocheilichthys mekongensis",16
"Gila pandora",16
"Gambusia affinis",15
"Ictalurus punctatus",15
"Lepomis gibbosus",15
"Notropis scylla",15
"Ptychocheilus lucius",15
"Rhinichthys osculus",15
"Richardsonius balteatus",15
"Xyrauchen texanus",15
"Oncorhynchus kisutch",14
"Labeo chrysophekadion",12
"Notemigonus crysoleucas",12
"Catostomus discobolus",11
"Culaea inconstans",11
"Esox lucius",11
"Oncorhynchus mykiss",11
"Rutilus symmetricus",11
"Salmonidae",11
"Umbra limi",11
"Dorosoma cepedianum",10
"Gila cypha",10
"Hampala macrolepidota",10
"Mystus rhegma",10
"Oncorhynchus clarkii x Oncorhynchus mykiss",10
"Pomoxis nigromaculatus",10
"Semotilus atromaculatus atromaculatus",10
"Systomus orphoides",10
"Amia calva",9
"Catostomus platyrhynchus",9
"Cyprinella venusta",9
"Etheostoma iowae",9
"Labidesthes sicculus",9
"Ptychocheilus grandis",9
"Xenentodon cancila",9
"Ambloplites rupestris",8
"Chrosomus eos",8
"Couesius plumbeus",8
"Cyclocheilichthys repasson",8
"Diplesion blennioides",8
"Gila",8
"Mystus cavasius",8
"Notropis hudsonius",8
"Oligocottus maculosus",8
"Oncorhynchus clarkii stomias",8
"Pimephales vigilax",8
"Salmo trutta",8
"Catostomus catostomus",7
"Catostomus occidentalis",7
"Cottus gulosus",7
"Istiblennius zebra",7
"Richardsonius egregius",7
"Astyanax mexicanus",6
"Cichlasoma bimaculatum",6
"Coregonus artedi",6
"Dionda episcopa",6
"Etheostoma caeruleum",6
"Fundulus kansae",6
"Fundulus notatus",6
"Hemigrammus cylindricus",6
"Lavinia exilicauda",6
"Lepisosteus osseus",6
"Luxilus cornutus frontalis",6
"Mastacembelus armatus favus",6
"Menidia beryllina",6
"Monopterus albus",6
"Notropis maculatus",6
"Osteochilus prosemion",6
"Pomoxis sparoides",6
"Teleostei",6
"Carassius auratus",5
"Cottus punctulatus",5
"Dorosoma petenense",5
"Etheostoma nigrum mesaeum",5
"Gasterosteus aculeatus aculeatus",5
"Gila bicolor",5
"Lepomis auritus",5
"Lepomis pallidus",5
"Moxostoma congestum",5
"Notropis amabilis",5
"Notropis atherinoides",5
"Noturus gyrinus",5
"Noturus nocturnus",5
"Oncorhynchus clarkii pleuriticus ?",5
"Oncorhynchus mykiss gairdnerii",5
"Oreochromis mossambicus",5
"Scaphirhynchus platorynchus",5
"Acestrorhynchus falcatus",4
"Anguilla rostrata",4
"Aplodinotus grunniens",4
"Barbus",4
"Bathygobius fuscus",4
"Carpiodes carpio",4
"Chaetodon miliaris",4
"Crenuchus spilurus",4
"Curimatopsis macrolepis",4
"Cyprinodon salinus salinus",4
"Entosphenus tridentatus",4
"Etheostoma spectabile",4
"Etheostoma spectabile pulchellum",4
"Fundulus",4
"Fundulus notti",4
"Gasterosteus aculeatus microcephalus x Gasterosteus aculeatus aculeatus",4
"Haplochromis",4
"Hemigrammus orthus",4
"Hybognathus placitus",4
"Hybopsis alta",4
"Iguanodectes spilurus",4
"Labiobarbus lineatus",4
"Leporinus fasciatus",4
"Leporinus nigrotaeniatus",4
"Margariscus margarita",4
"Moenkhausia grandisquamis",4
"Mylopharodon conocephalus",4
"Nannostomus marginatus",4
"Notropis blennius",4
"Odontoscion dentex",4
"Oncorhynchus clarkii alvordensis",4
"Oncorhynchus clarkii virginalis",4
"Osteochilus melanopleura",4
"Paracheilognathus rhombeum",4
"Phenacogaster megalostictus",4
"Pholis ornata",4
"Pimephales notatus",4
"Poecilobrycon ocellatus",4
"Poecilurichthys polylepis",4
"Pomoxis annularis",4
"Pseudanthias bicolor",4
"Ptychocheilus umpquae",4
"Salvelinus alpinus",4
"Sander vitreus vitreus",4
"Scorpaena plumieri",4
"Serranochromis macrocephalus",4
"Taenianotus triacanthus",4
"Tetragonopterus argentatus",4
"Thymallus arcticus",4
"Trichopodus trichopterus",4
"Triportheus rotundatus",4
"Ameiurus nebulosus",3
"Bagrus docmak",3
"Carpiodes velifer",3
"Catostomus plebeius",3
"Charax gibbosus",3
"Clevelandia ios",3
"Cyprinodon rubrofluviatilis",3
"Etheostoma chlorosomum",3
"Etheostoma flabellare",3
"Fundulus heteroclitus",3
"Gobiidae",3
"Hemichromis fasciatus",3
"Hemiramphidae",3
"Herichthys cyanoguttatus",3
"Hippocampus hudsonius",3
"Hoplias malabaricus",3
"Hysterocarpus traskii",3
"Ictaluridae",3
"Lepisosteus",3
"Lepomis humilis",3
"Lepomis microlophus",3
"Lepomis punctatus",3
"Lepomis sp.",3
"Lythrurus umbratilis",3
"Minytrema melanops",3
"Nocomis biguttatus",3
"Notropis",3
"Notropis cayuga",3
"Notropis texanus",3
"Notropis volucellus",3
"Oreochromis mortimeri",3
"Percina caprodes",3
"Percopsis omiscomaycus",3
"Platygobio gracilis",3
"Ptychocheilus oregonensis",3
"Pungitius pungitius",3
"Serranochromis robustus",3
"Siluriformes",3
"Sphoeroides spengleri",3
"Sternopygus macrurus",3
"Stolephorus guianensis",3
"Syngnathus fuscus",3
"Thalassoma duperrey",3
"Tilapia rendalli rendalli",3
"Acanthocharax microlepis",2
"Acestrorhynchus microlepis",2
"Acipenser medirostris",2
