"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"skeleton (dry)","ucm","fish specimens","7605","Skeleton","","",NA,NA,NA,12
"whole organism (alcohol)","ucm","fish specimens","7677","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7802","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7722","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7715","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7541","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7673","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7756","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7810","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7749","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7747","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7710","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7694","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7688","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7683","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7517","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7659","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7639","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7704","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7644","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7805","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7808","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7641","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7745","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7792","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7727","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7552","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7758","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7681","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7640","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7696","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7733","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7793","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7797","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7791","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7725","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7544","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7655","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7516","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7555","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7524","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7650","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7794","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7759","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7674","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7678","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7693","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7754","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7684","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7698","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7527","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7530","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7515","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7538","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7719","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7523","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7711","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7712","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7525","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7548","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7545","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7653","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7529","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7689","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7716","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7731","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7743","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7519","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7514","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7534","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7697","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7539","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7741","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7803","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7692","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7796","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7766","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7676","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7705","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7730","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7680","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7800","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7753","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7638","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7700","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7734","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7662","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7645","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7556","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7695","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7648","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7807","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7729","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7740","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7649","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7668","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7518","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7531","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7671","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7675","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7701","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7550","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7738","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7664","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7804","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7553","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7687","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7726","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7721","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7663","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7661","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7761","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7795","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7724","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7691","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7728","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7522","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7762","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7699","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7543","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7658","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7744","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7667","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7713","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7764","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7706","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7760","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7746","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7763","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7708","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7647","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7751","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7660","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7690","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7526","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7533","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7709","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7806","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7551","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7723","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7679","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","ucm","fish specimens","7669","EtOH","","",NA,NA,NA,68
