"Family","Count"
"equidae",16306
"cricetidae",16108
"neoplagiaulacidae",7441
"geomyidae",7376
"canidae",6776
"sciuridae",6751
"camelidae",6207
"leporidae",5250
"antilocapridae",3437
"macropodidae",2901
"heteromyidae",2824
"felidae",2636
"bataguridae",2574
"didelphidae",2494
"hyopsodontidae",2246
"rhinocerotidae",2103
"bovidae",1968
"muridae",1960
"omomyidae",1891
"ambystomatidae",1861
"merycoidodontidae",1857
"trionychidae",1811
"microsyopidae",1801
"kannemeyeriidae",1782
"kinosternidae",1731
"ochotonidae",1645
"nyctitheriidae",1628
"pediomyidae",1596
"ischyromyidae",1511
"purgatoriidae",1467
"arctocyonidae",1402
"accipitridae",1369
"testudinidae",1260
"iguanidae",1116
"cervidae",1104
"emydidae",1071
"anguidae",1048
"diprotodontidae",1034
"zapodidae",1019
"soricidae",995
"cimolodontidae",897
"lepisosteidae",896
"alligatoridae",887
"crocodylidae",887
"eucosmodontidae",866
"amiidae",844
"coryphodontidae",841
"platysternidae",838
"aplodontidae",826
"adapisoricidae",805
"mustelidae",802
"cyprinidae",798
"castoridae",787
"phytosauridae",787
"ursidae",786
"eomyidae",751
"stagonolepididae",750
"adapidae",732
"dermatemydidae",729
"palaeoryctidae",710
"dormaaliidae",691
"chelydridae",665
"baenidae",653
"hypertragulidae",653
"gomphotheriidae",590
"meniscotheriidae",558
"sphenacodontidae",536
"periptychidae",532
"dromaeosauridae",519
"erinaceidae",507
"mylagaulidae",479
"phenacodontidae",475
"cimolestidae",467
"leptictidae",449
"phasianidae",445
"otariidae",441
"anatidae",427
"gypsonictopidae",423
"desmostylidae",414
"proscalopidae",407
"tayassuidae",406
"plesiadapidae",405
"aetosauridae",399
"champsosauridae",393
"colubridae",390
"scapherpetontidae",387
"brontotheriidae",382
"cimolomyidae",371
"talpidae",371
"dasyuridae",367
"stagodontidae",361
"paromomyidae",358
"teratornithidae",354
"alphadontidae",350
"elephantidae",349
"teiidae",346
"lamnidae",344
"myledaphidae",344
"miacidae",311
"planetochelyidae",308
"sciuravidae",298
"falconidae",286
"adocidae",276
"capitosauridae",272
"boidae",271
"salmonidae",270
"isectolophidae",269
"presbyornithidae",267
"mylodontidae",262
"cercopithecidae",261
"hyaenodontidae",260
"pleurosternidae",254
"megatheriidae",253
"apatemyidae",248
"mammutidae",248
"hadrosauridae",247
"amphilemuridae",225
"diacodexidae",224
"catostomidae",221
"batrachosauroididae",219
"anthracotheriidae",217
"cainotheriidae",217
"pantolestidae",216
"dichobunidae",214
"cylindrodontidae",213
"protoceratidae",204
"xantusiidae",200
"bufonidae",199
"geoemydidae",198
"ceratodontidae",195
"peradectidae",193
"dromomerycidae",188
"leptolepidae",184
"ceratopsidae",180
"captorhinidae",179
"macroscelididae",178
"peramelidae",174
"taeniolabididae",174
"palaeotheriidae",173
"varanidae",172
"charadriidae",171
"asterolepidae",170
"myliobatidae",169
"palaeomerycidae",169
"trimerorhachidae",168
"agriochoeridae",165
"corvidae",165
"helaletidae",163
"geolabididae",161
"phalangeridae",161
"rauisuchidae",161
"shastasauridae",160
"plethodontidae",156
"vulturidae",156
"alcidae",155
"chelidae",155
"dromornithidae",155
"procyonidae",152
"keraterpetontidae",146
"sciaenidae",146
"metoposauridae",145
"spheniscidae",145
"dicynodontidae",144
"acipenseridae",140
"megalonychidae",136
"amphicyonidae",135
"odobenidae",135
"amynodontidae",133
"cetotheriidae",129
"tyrannosauridae",129
"carettochelyidae",124
"vombatidae",121
"carcharhinidae",120
"mosasauridae",115
"tytonidae",114
"sirenidae",112
"leptomerycidae",110
"chalicotheriidae",108
"hybodontidae",108
"esthonychidae",107
"pseudocheiridae",107
"ptyctodontidae",106
"borhyaenidae",104
"delphinidae",104
"nanhsiungchelyidae",102
"physeteridae",101
"megachasmidae",100
"interatheriidae",99
"rajidae",99
"ciconiidae",98
"dugongidae",97
"gruidae",97
"podicipedidae",97
"viperidae",96
"morganucodontidae",94
"suidae",93
"scorpaenidae",91
"odontaspididae",90
"ranidae",90
"vespertilionidae",89
"hominidae",88
"apheliscidae",86
"paramyidae",85
"triisodontidae",85
"glasbiidae",84
"allosauridae",82
"dinornithidae",82
"rhytidosteidae",81
"hexanchidae",80
"odontophoridae",79
"dasyproctidae",78
"gasterosteidae",78
"hyracodontidae",78
"agamidae",77
"brachyopidae",75
"eryopidae",75
"emeidae",74
"lysorophidae",74
"ictaluridae",72
"strigidae",70
"thalattosauridae",70
"oxyclaenidae",69
"squalidae",69
