"Continent","Count"
"usa",243488
"aus",7503
"zaf",3294
"fra",2553
"col",1339
"ata",541
"ita",467
"deu",464
"mex",462
"mmr",431
"ken",376
"egy",343
"png",322
"arg",315
"mwi",309
"gbr",271
"chn",269
"bra",159
"nzl",159
"slv",158
"can",155
"grc",153
"pak",110
"bel",107
"mng",105
"eth",94
"che",92
"per",57
"idn",55
"bol",43
"cub",42
"tza",30
"tha",29
"nor",24
"npl",23
"mlt",18
"ecu",17
"nam",16
"ind",13
"pol",13
"jpn",12
"cze",11
"esp",11
"pri",10
"twn",10
"uzb",10
"mdg",9
"dza",8
"irn",8
"pan",7
"lso",5
"uga",5
"ven",5
"lbn",4
"zwe",4
"grl",3
"rus",3
"isr",2
"mus",2
"nld",2
"afg",1
"aut",1
"blz",1
"gib",1
"gtm",1
"mar",1
"tto",1
"tur",1
"ury",1
"vir",1
"zmb",1
