"Collector","Count"
"1",134
"2",1
"3",77
"4",21
"5",1
"7",1
"10",1
"11",6
"13",1
"24",263
"36",6
"101",4
"107",1
"114",1
"125",17
"126",9
"127",235
"137",2
"151",3
"254",3
"302",1
"971",26
"1059",1
"1904",1
"1913",6
"1918",7
"1922",263
"1953",21
"1974",1
"1975",1
"1976",1
"1977",1
"1978",334
"1979",1
"1980",1
"1981",1
"1982",1
"1983",1
"1984",1
"1985",1
"1986",1
"1987",1
"1988",1
"1989",1
"1990",1
"1991",1
"1992",1
"7130",1
"14553",1
"28799",2
"68295",1
"party",34827
"u.c.party",28948
"uc",18035
"hutchison",14231
"j.h",14011
"hadly",8548
"e.a",8517
"sternberg",7596
"savage",7572
"ucmp",7516
"stirton",7279
"d.e",6979
"furlong",6576
"r.a",6061
"l",5475
"j.a",5385
"barnosky",5173
"a.d",5163
"sinclair",5062
"w.a",4844
"clemens",4826
"lillegraven",4696
"kent",4633
"j.m",4270
"c",4256
"mckenna",4210
"rensberger",4083
"camp",3960
"j",3891
"m.c",3870
"r",3662
"woodburne",3641
"munthe",3580
"c.l",3463
"k",3329
"m.o",3271
"wolff",2914
"tedford",2896
"d.p",2882
"m",2838
"peabody",2829
"whistler",2804
"f.e",2787
"alf",2745
"r.m",2708
"r.g",2687
"r.h",2686
"james",2487
"estes",2176
"strait",2134
"p.a",1952
"alexander",1891
"s.p",1822
"blois",1819
"jessica",1815
"d.l",1804
"wilson",1796
"allison",1782
"stegner",1769
"lofgren",1749
"waters",1711
"g.t",1685
"e.h",1589
"lindsay",1546
"williams",1546
"b",1505
"c.t",1501
"b.t",1433
"d",1359
"s.g",1313
"e.l",1294
"welles",1289
"k.a",1284
"richey",1279
"holroyd",1256
"wagner",1232
"field",1220
"a",1164
"russell",1157
"m.b",1128
"r.w",1127
"goodwin",1125
"h.m",1119
"barnes",1116
"lawler",1088
"rich",1060
"g.p",1025
"g",988
"u.c",979
"e",977
"mawby",962
"webb",951
"marr",926
"a.m",918
"crew",914
"maxson",899
"wells",881
"w",864
"sloan",832
"s",821
"gregory",763
"daily",761
"w.r",754
"garrison",747
"holman",736
"p",733
"l.g",721
"d.a",716
"hanson",709
"vanderhoof",676
"boessenecker",674
"olson",653
"novacek",648
"kellogg",647
"west",646
"royo",644
"s.d",635
"c.b",624
"t",613
"bown",584
"j.d",578
"j.t",556
"phillips",555
"m.t",542
"wpa",542
"greenwald",540
"j.r",517
"j.p",511
"class",510
"e.c",509
"goeriz",508
"t.m",500
"h.f",495
"zullo",489
"bishop",487
"al",479
"et",479
"welton",479
"marcus",472
"stock",455
"l.f",446
"t.a",445
"u.c.paleo",441
"firby",436
"frick",435
"b.j",434
"miller",434
"stidham",432
"fields",426
"n",425
"jenkins",417
"gustafson",411
"macdonald",402
"l.j",399
"gordon",398
"j.c",385
"f.f",384
"archibald",383
"e.b",380
"h",379
"bryant",372
"r.c",372
"r.b",363
"gp",360
"h.j",354
"garbani",349
"f",331
"davis",330
"geer",322
"suthard",317
"amnh",314
"cosgriff",314
"clark",306
"jefferson",306
"burmester",304
"morgan",300
"gauthier",296
"m.j",291
"swisher",286
"mcgrew",285
"plane",285
"fay",281
"l.p",279
"long",279
"quinn",279
"t.s",274
"kelly",273
"smith",265
"downs",263
"gianella",263
"merriam",258
"albright",257
"l.b",257
"campbell",249
"j.w",244
"naidu",241
"guruswami",240
"buwalda",233
"cress",232
"hall",231
"a.c",221
"j.e",221
"chaney",219
"hesse",218
"jarocki",217
"reynolds",214
"p.o",208
"m.e",205
"rose",205
"l.h",203
"poe",200
"j.r.macdonald",199
"d.s",192
"w.j",192
"sloane",191
"reed",189
"hakel",188
"and",187
"garcia",178
"hitz",178
"potter",178
"e.t",175
"k.t",173
"louis",171
"perry",170
"lander",168
"stewart",164
"lawson",162
