"Country","Count"
"united states",242080
"australia",7503
"south africa",3294
"france",2553
"colombia",1339
"antarctica",541
"italy",467
"germany",464
"mexico",461
"myanmar",431
"kenya",376
"egypt",343
"papua new guinea",322
"argentina",315
"malawi",309
"united kingdom",271
"china",269
"brazil",159
"new zealand",159
"el salvador",158
"canada",155
"greece",153
"pakistan",110
"belgium",107
"mongolia",105
"ethiopia",94
"switzerland",92
"peru",57
"indonesia",55
"bolivia",43
"cuba",42
"tanzania",30
"thailand",29
"norway",24
"nepal",23
"malta",18
"ecuador",17
"namibia",16
"india",13
"poland",13
"japan",12
"czech republic",11
"spain",11
"puerto rico",10
"taiwan",10
"uzbekistan",10
"madagascar",9
"algeria",8
"iran",8
"panama",7
"lesotho",5
"uganda",5
"venezuela",5
"lebanon",4
"zimbabwe",4
"greenland",3
"russian federation",3
"israel",2
"mauritius",2
"netherlands",2
"afghanistan",1
"austria",1
"belize",1
"gibraltar",1
"guatemala",1
"morocco",1
"trinidad and tobago",1
"turkey",1
"uruguay",1
"virgin islands, u.s.",1
"zambia",1
