"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"partial skeleton","ucmp","v","158409","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","323574","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158432","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158425","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","203497","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158428","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","137463","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","203317","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158429","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","175274","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158427","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","137464","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158412","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","213028","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","154435","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","203656","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158431","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","165902","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","165884","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158410","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","165964","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","203600","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","140416","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","150150","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","174724","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158430","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","137278","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","203606","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","311790","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","203607","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158413","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158426","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","151764","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158401","Skeleton","","",NA,NA,NA,3
"partial skeleton","ucmp","v","158414","Skeleton","","",NA,NA,NA,3
