"dwc.preparations","freq"
"EtOH - 1",48399
"IsOH - 1",36538
"EtOH - 2",18150
"IsOH - 2",12876
"EtOH - 3",10533
"EtOH - 4",7122
"IsOH - 3",6927
"EtOH - 5",5500
"IsOH - 4",4364
"EtOH - 6",4103
"skeleton - 1",3801
"IsOH - 5",3301
"EtOH - 7",3289
"EtOH - 8",2635
"IsOH - 6",2356
"",2329
"EtOH - 10",2212
"EtOH - 9",2196
"IsOH - 7",1804
"EtOH - 11",1572
"EtOH - 12",1494
"IsOH - 8",1435
"EtOH - 13",1280
"IsOH - 9",1194
"EtOH - 14",1173
"IsOH - 10",1136
"EtOH - 15",1125
"EtOH - 16",914
"IsOH - 11",842
"EtOH - 17",822
"EtOH - 20",785
"EtOH - 18",750
"IsOH - 12",749
"EtOH - 30",728
"EtOH - 19",643
"IsOH - 13",582
"IsOH - 14",551
"EtOH - 21",532
"EtOH - 25",531
"IsOH - 15",520
"EtOH - 22",510
"EtOH - 24",452
"EtOH - 23",450
"IsOH - 16",443
"EtOH - 26",395
"EtOH - 27",368
"IsOH - 17",366
"IsOH - 18",363
"EtOH - 28",344
"IsOH - 20",339
"IsOH - 19",335
"EtOH - 29",323
"EtOH - 32",289
"EtOH - 31",286
"C&S - 1",281
"IsOH - 21",281
"EtOH - 33",280
"EtOH - 35",272
"EtOH - 1; tissue - 1; tissue - 1",261
"skeleton - 2",259
"EtOH - 50",258
"EtOH - 36",256
"tissue - 1; EtOH - 1; tissue - 1",256
"tissue - 1; tissue - 1; EtOH - 1",245
"EtOH - 34",241
"IsOH - 22",238
"IsOH - 24",225
"IsOH - 30",225
"EtOH - 40",222
"EtOH - 39",212
"EtOH - 37",207
"EtOH - 1; tissue - 1",205
"IsOH - 23",205
"tissue - 1; tissue - 1; EtOH - 2",197
"EtOH - 38",191
"IsOH - 25",189
"tissue - 1; tissue - 1; tissue - 1; tissue - 1more than 4 prep types",184
"IsOH - 26",177
"tissue - 1; tissue - 1; tissue - 1; tissue - 3more than 4 prep types",171
"EtOH - 41",168
"EtOH - 44",167
"EtOH - 42",165
"EtOH - 43",163
"IsOH - 27",163
"IsOH - 29",151
"EtOH - 46",150
"tissue - 1; EtOH - 1",147
"EtOH - 100",141
"EtOH - 49",140
"IsOH - 28",138
"tissue - 1; tissue - 1; EtOH - 3",136
"EtOH - 48",133
"IsOH - 34",132
"EtOH - 45",131
"IsOH - 31",127
"IsOH - 35",124
"EtOH - 52",117
"EtOH - 60",117
"IsOH - 33",117
"tissue - 1; tissue - 1; EtOH - 2; tissue - 2more than 4 prep types",117
"EtOH - 53",116
"IsOH - -1",114
"tissue - 1; tissue - 1; tissue - 2; EtOH - 2more than 4 prep types",113
"IsOH - 36",112
"EtOH - 51",111
"EtOH - 47",110
"IsOH - 32",110
"skeleton - 3",108
"IsOH - 37",102
"EtOH - 54",101
"EtOH - 59",98
"tissue - 1; tissue - 1; tissue - 2; EtOH - 3more than 4 prep types",97
"IsOH - 39",96
"EtOH - 55",94
"EtOH - 58",93
"EtOH - 63",92
"IsOH - 40",92
"IsOH - 38",89
"EtOH - 1; photo - 1",88
"tissue - 1; tissue - 1; EtOH - 4",87
"EtOH - 57",86
"EtOH - 56",83
"EtOH - 62",81
"IsOH - 41",81
"EtOH - 61",80
"EtOH - 64",78
"EtOH - 75",78
"IsOH - 50",76
"photo - 1; EtOH - 1",76
"EtOH - 1; EtOH - 1",70
"IsOH - 42",70
"EtOH - 69",68
"EtOH - 71",68
"IsOH - 47",67
"tissue - 1; tissue - 1; tissue - 2; EtOH - 4more than 4 prep types",67
"EtOH - 65",65
"EtOH - 70",65
"EtOH - 74",64
"IsOH - 46",64
"tissue - 1; EtOH - 2",64
"EtOH - 67",62
