"Family","Count"
"cyprinidae",21730
"centrarchidae",16003
"percidae",9102
"cyprinodontidae",9085
"poeciliidae",7485
"gobiidae",6048
"serranidae",5768
"sciaenidae",5675
"ictaluridae",4705
"carangidae",4572
"atherinidae",4030
"catostomidae",3902
"clupeidae",3837
"paralichthyidae",3542
"triglidae",3084
"haemulidae",3026
"lutjanidae",2843
"pomacentridae",2798
"characidae",2791
"ophidiidae",2721
"gerreidae",2664
"labridae",2585
"labrisomidae",2577
"monacanthidae",2528
"cichlidae",2502
"syngnathidae",2469
"sparidae",2462
"scorpaenidae",2439
"apogonidae",2298
"engraulidae",2265
"scaridae",2171
"myctophidae",2130
"tetraodontidae",2102
"synodontidae",2078
"macrouridae",1802
"achiridae",1699
"mugilidae",1651
"elassomatidae",1516
"ogcocephalidae",1451
"esocidae",1355
"blenniidae",1304
"muraenidae",1300
"belonidae",1290
"aphredoderidae",1264
"holocentridae",1139
"bothidae",1131
"batrachoididae",1068
"ophichthidae",1047
"cynoglossidae",1028
"chlorophthalmidae",1001
"exocoetidae",931
"carcharhinidae",897
"sternoptychidae",871
"cottidae",836
"acanthuridae",758
"congridae",739
"eleotridae",738
"diodontidae",737
"pomacanthidae",728
"chaetodontidae",724
"rajidae",699
"antennariidae",682
"ariidae",681
"loricariidae",678
"gonostomatidae",648
"hemiramphidae",620
"synaphobranchidae",613
"petromyzontidae",593
"halosauridae",583
"ostraciidae",581
"sphyraenidae",568
"balistidae",567
"scombridae",562
"lepisosteidae",560
"chaenopsidae",552
"anguillidae",526
"mullidae",498
"phycidae",490
"gobiesocidae",469
"moridae",459
"tripterygiidae",457
"pimelodidae",429
"alepocephalidae",428
"curimatidae",428
"centropomidae",422
"bythitidae",413
"opistognathidae",404
"priacanthidae",377
"dactyloscopidae",369
"phosichthyidae",366
"acropomatidae",350
"echeneididae",342
"uranoscopidae",335
"stromateidae",334
"percophidae",329
"callionymidae",325
"pleuronectidae",324
"ephippididae",323
"salmonidae",299
"merlucciidae",295
"chaunacidae",294
"elopidae",291
"etmopteridae",285
"chlopsidae",280
"cobitidae",279
"callichthyidae",278
"scyliorhinidae",277
"hypopomidae",267
"dasyatidae",266
"sphyrnidae",264
"grammatidae",257
"nemacheilidae",255
"melamphaidae",244
"clariidae",235
"coryphaenidae",235
"moringuidae",235
"caproidae",214
"trichiuridae",213
"gempylidae",202
"belontiidae",200
"kyphosidae",196
"triakidae",192
"melanostomiidae",189
"nemichthyidae",184
"nettastomatidae",183
"lebiasinidae",180
"polynemidae",180
"gymnotidae",176
"moronidae",171
"nomeidae",171
"pomatomidae",171
"bagridae",168
"balitoridae",167
"lophiidae",167
"amiidae",162
"bregmacerotidae",161
"squalidae",159
"branchiostomidae",157
"chauliodontidae",155
"sternopygidae",155
"erythrinidae",152
"narcinidae",151
"malacanthidae",149
"mastacembelidae",149
"polymixiidae",148
"argentinidae",146
"doradidae",144
"acipenseridae",142
"carapidae",142
"synbranchidae",140
"channidae",133
"auchenipteridae",129
"umbridae",126
"aplocheilidae",125
"zeidae",125
"aulostomidae",123
"anostomidae",122
"sisoridae",122
"epigonidae",116
"macrurocyttidae",116
"arhynchobatidae",112
"albulidae",111
"fistulariidae",111
"trichomycteridae",109
"megalopidae",101
"dactylopteridae",100
"istiophoridae",98
"neoscopelidae",96
"apteronotidae",94
"stephanoberycidae",94
"gasterosteidae",93
"paralepididae",93
"cirrhitidae",92
"ariommatidae",91
"malacosteidae",91
"centriscidae",87
"lobotidae",87
"microdesmidae",87
"astronesthidae",86
"stomiidae",83
"ambassidae",82
"bramidae",82
"siluridae",81
"triacanthodidae",81
"chiasmodontidae",76
"amphiliidae",73
"soleidae",72
"nandidae",71
"urotrygonidae",71
"zoarcidae",69
"notacanthidae",68
"pempherididae",68
"trachichthyidae",68
"grammicolepididae",67
"gymnuridae",67
"rhinobatidae",67
"melanocetidae",65
"myliobatidae",64
"scophthalmidae",64
"centrophoridae",59
"rhamphichthyidae",59
"evermannellidae",58
"hexanchidae",58
"chimaeridae",57
"odontaspididae",57
"aphyonidae",55
"bathylagidae",55
"botiidae",55
"gasteropelecidae",55
"scopelarchidae",54
"cyclopteridae",51
"mochokidae",51
"lamnidae",50
"anoplogastridae",49
"myxinidae",48
"mormyridae",47
"platytroctidae",47
"ginglymostomatidae",46
"hemiodontidae",46
"oneirodidae",45
"xiphiidae",45
"eurypharyngidae",44
"prochilodontidae",44
"aspredinidae",41
"anabantidae",40
"gadidae",40
"hiodontidae",40
"lotidae",40
"notopteridae",39
"amblycipitidae",38
"rachycentridae",38
"platycephalidae",37
"ceratiidae",36
"serrivomeridae",36
"ageneiosidae",33
"embiotocidae",33
"nototheniidae",33
"osmeridae",33
"somniosidae",33
"opisthoproctidae",32
"torpedinidae",32
"citharidae",30
"trachipteridae",30
"centrolophidae",29
"omosudidae",29
"squatinidae",29
"stichaeidae",29
"stylephoridae",29
"diceratiidae",28
"lepidosirenidae",28
"linophrynidae",28
"kuhliidae",26
"bathyclupeidae",25
"cetomimidae",25
"alepisauridae",24
"amblyopsidae",24
"ateleopodidae",24
"hexagrammidae",24
"osteoglossidae",24
"diretmidae",23
"microstomatidae",23
"thaumatichthyidae",23
"agonidae",22
"alopiidae",22
"derichthyidae",21
"goodeidae",21
"pangasiidae",21
"pseudochromidae",21
"anacanthobatididae",20
"aulopidae",19
"dalatiidae",19
"melanonidae",19
"symphysanodontidae",19
"alestiidae",18
"colocongridae",18
"idiacanthidae",18
"inermiidae",18
"pholididae",18
"adrianichthyidae",17
"cynodontidae",17
"giganturidae",17
"pristidae",17
"teraponidae",17
"chilodontidae",16
"notosudidae",16
"akysidae",15
"ammodytidae",15
"himantolophidae",15
"leiognathidae",15
"molidae",15
"centracanthidae",14
"draconettidae",14
"parazenidae",14
"regalecidae",14
"rondeletiidae",14
"clinidae",13
"osphronemidae",13
"percopsidae",13
"scombrolabracidae",13
"trachinidae",13
"caristiidae",12
"cetopsidae",11
"ctenoluciidae",11
"schilbeidae",11
"sillaginidae",11
"heterenchelyidae",10
"polyodontidae",10
"potamotrygonidae",10
"cheilodactylidae",9
"gibberichthyidae",9
"pinguipedidae",9
"scomberesocidae",9
"scombropidae",9
"toxotidae",9
"channichthyidae",8
"gigantactinidae",8
"helogeneidae",8
"melanotaeniidae",8
"polypteridae",8
"psychrolutidae",8
"scatophagidae",8
"urolophidae",8
"emmelichthyidae",7
"helostomatidae",7
"lophotidae",7
"malapteruridae",7
"plesiopidae",7
"anablepidae",6
"anoplopomatidae",6
"astroblepidae",6
"drepanidae",6
"harpagiferidae",6
"hypophthalmidae",6
"rhinochimaeridae",6
"siganidae",6
"bathydraconidae",5
"bathymasteridae",5
"cepolidae",5
"chanidae",5
"galaxiidae",5
"kneriidae",5
"muraenesocidae",5
"nemipteridae",5
"oxynotidae",5
"plotosidae",5
"polyprionidae",5
"zanclidae",5
"auchenoglanidae",4
"berycidae",4
"caracanthidae",4
"cetorhinidae",4
"echinorhinidae",4
"hemiscylliidae",4
"heterodontidae",4
"lethrinidae",4
"muraenolepididae",4
"pristiophoridae",4
"pseudocarchariidae",4
"anarhichadidae",3
"caesionidae",3
"chaudhuriidae",3
"chirocentridae",3
"citharinidae",3
"cyematidae",3
"gyrinocheilidae",3
"heteropneustidae",3
"oreosomatidae",3
"psilorhynchidae",3
"xenisthmidae",3
"acanthoclinidae",2
"achiropsettidae",2
