"dwc.scientificName","freq"
"Gambusia holbrooki",3443
"Lepomis macrochirus",2597
"",2371
"Lepomis punctatus",1997
"Micropterus salmoides",1959
"Lepomis gulosus",1789
"Percina nigrofasciata",1732
"Labidesthes sicculus",1622
"Poecilia latipinna",1441
"Aphredoderus sayanus",1275
"Anchoa mitchilli",1259
"Lepomis auritus",1213
"Notemigonus crysoleucas",1153
"Heterandria formosa",1151
"Lagodon rhomboides",1104
"Notropis texanus",1090
"Noturus leptacanthus",1064
"Trinectes maculatus",1043
"Esox americanus",1014
"Lepomis microlophus",983
"Lucania goodei",963
"Notropis petersoni",956
"Cyprinella venusta",952
"Stephanolepis hispidus",943
"Leiostomus xanthurus",903
"Lepomis marginatus",891
"Ameiurus natalis",879
"Etheostoma fusiforme",856
"Fundulus chrysotus",843
"Menidia beryllina",805
"Mugil cephalus",805
"Erimyzon sucetta",787
"Pteronotropis hypselopterus",771
"Lucania parva",759
"Cyprinodon variegatus",749
"Eucinostomus gula",743
"Bairdiella chrysoura",729
"Elassoma evergladei",720
"Enneacanthus gloriosus",707
"Eucinostomus argenteus",702
"Semotilus atromaculatus",680
"Syngnathus scovelli",668
"Synodus foetens",651
"Campostoma anomalum",627
"Lepomis megalotis",627
"Etheostoma edwini",621
"Fundulus olivaceus",602
"Lutjanus synagris",581
"Syacium papillosum",577
"Lepomis cyanellus",569
"Noturus gyrinus",558
"Monacanthus ciliatus",554
"Pimephales notatus",554
"Jordanella floridae",553
"Lutjanus griseus",551
"Notropis longirostris",540
"Fundulus grandis",539
"Mugil curema",534
"Micropogonias undulatus",518
"Harengula jaguana",508
"Nocomis leptocephalus",507
"Diplectrum formosum",504
"Menidia menidia",500
"Orthopristis chrysoptera",499
"Anguilla rostrata",495
"Fundulus seminolis",464
"Ichthyomyzon gagei",464
"Fundulus similis",449
"Thalassoma bifasciatum",449
"Haemulon plumieri",446
"Chloroscombrus chrysurus",442
"Elassoma zonatum",437
"Pteronotropis signipinnis",435
"Microgobius gulosus",423
"Halichoeres bivittatus",421
"Symphurus plagiusa",418
"Haemulon aurolineatum",417
"Chilomycterus schoepfii",414
"Achirus lineatus",401
"Anchoa hepsetus",401
"Arius felis",401
"Apogon maculatus",400
"Centrarchus macropterus",400
"Pomoxis nigromaculatus",393
"Cynoscion nebulosus",391
"Sphoeroides spengleri",389
"Hypentelium nigricans",388
"Opisthonema oglinum",387
"Dorosoma cepedianum",383
"Ictalurus punctatus",381
"Scorpaena brasiliensis",379
"Abudefduf saxatilis",378
"Luxilus chrysocephalus",378
"Caranx hippos",370
"Fundulus escambiae",370
"Notropis harperi",368
"Fundulus confluentus",366
"Minytrema melanops",364
"Oligoplites saurus",357
"Syngnathus louisianae",357
"Opsopoeodus emiliae",356
"Acanthostracion quadricornis",355
"Floridichthys carpio",349
"Catostomus commersoni",348
"Bothus ocellatus",344
"Stegastes variabilis",342
"Trachinotus carolinus",342
"Menticirrhus americanus",341
"Sphoeroides nephelus",338
"Histrio histrio",335
"Sphyraena barracuda",334
"Micropterus punctulatus",332
"Membras martinica",331
"Dorosoma petenense",330
"Canthigaster rostrata",329
"Notropis maculatus",326
"Esox niger",322
"Decapterus punctatus",321
"Etheostoma olmstedi",321
"Fundulus majalis",319
"Citharichthys spilopterus",314
"Gobiosoma robustum",314
"Gambusia affinis",311
"Chaetodipterus faber",309
