"Continent","Count"
"usa",158064
"col",5844
"ven",3709
"pan",3520
"per",2457
"tha",2270
"mex",2263
"idn",1588
"cym",1459
"pri",1145
"bra",1143
"cri",1080
"bol",1069
"hnd",1044
"jam",995
"cub",747
"blz",674
"hti",652
"nic",646
"sur",634
"dom",628
"guf",609
"nga",609
"tto",537
"gha",469
"gtm",463
"mhl",427
"ecu",366
"lbr",349
"can",335
"stp",315
"gab",313
"guy",307
"bgd",250
"uga",250
"mys",240
"tza",237
"gnq",222
"brb",221
"fji",211
"bmu",176
"ago",168
"twn",161
"png",129
"esp",116
"ita",89
"deu",85
"pyf",71
"ind",66
"nzl",66
"jpn",63
"lka",56
"cog",55
"plw",54
"cpv",52
"isr",52
"mwi",49
"ben",48
"kir",48
"sle",47
"aus",44
"phl",42
"chl",41
"cod",34
"ncl",34
"kor",33
"arg",31
"chn",31
"kwt",31
"slv",28
"hkg",27
"fra",25
"aut",23
"sen",23
"pak",21
"asm",20
"lbn",18
"ury",18
"gum",17
"zaf",17
"tgo",16
"dma",15
"dji",14
"qat",14
"mmr",12
"gbr",11
"mar",11
"vnm",11
"bhs",10
"gnb",10
"isl",9
"sgp",9
"nam",8
"sau",8
"dnk",7
"dza",7
"gin",6
"grc",6
"vut",6
"zmb",5
"ken",4
"prt",4
"cmr",3
"hrv",3
"mdg",3
"moz",3
"som",3
"tur",3
"abw",2
"com",2
"grd",2
"irl",2
"omn",2
"ata",1
"btn",1
"egy",1
"esh",1
"mkd",1
"mlt",1
"mus",1
"rou",1
"rwa",1
"slb",1
"swe",1
"syc",1
"tun",1
"wsm",1
"yem",1
