"Collector","Count"
"1",5
"2",17
"5",2
"6",1
"7",1
"8",13
"9",1
"11",1
"12",1
"15",1
"16",1
"18",8
"19",30
"20",1
"21",1
"23",1
"28",3
"32",3
"43",1
"47",1
"59",1
"60",12
"62",68
"63",1
"64",2
"70",1
"71",1
"72",1
"74",1
"99",9
"101",1
"105",3
"111",1
"127",1
"207",8
"261",5
"301",1
"308",1
"312",2
"351",6
"435",1
"440",1
"441",12
"445",5
"495",2
"504",1
"543",5
"581",2
"612",3
"624",1
"626",1
"630",3
"645",1
"650",1
"651",11
"701",1
"1959",1
"2011",2
"2014",238
"2015",93
"6102",6
"6256",1
"6703",3
"6903",1
"6908",1
"20596",2
"22404",2
"22407",2
"22413",1
"22415",1
"22417",1
"22419",1
"22428",2
"22431",3
"22433",1
"22441",1
"22443",1
"22444",1
"22446",1
"22451",2
"22453",1
"22454",1
"r",49103
"al",44717
"et",44480
"v",38046
"gilbert",13572
"burgess",11368
"george",11133
"j",10826
"stephen",10640
"carter",10471
"w",10332
"c",9861
"john",9323
"m",9261
"robert",9047
"james",8957
"yerger",8879
"william",8763
"david",8422
"oregon",8241
"pillsbury",8137
"class",7300
"personnel",6920
"walsh",6462
"a",6228
"robins",5701
"starck",5329
"snelson",5271
"williams",4863
"smith",4790
"page",4706
"lawrence",4682
"bay",4524
"silver",4524
"t",4408
"gerda",4072
"bortone",3953
"vaniz",3931
"donald",3857
"k",3771
"us",3532
"franklin",3505
"howard",3504
"randall",3396
"christensen",3223
"jelks",3217
"h",3213
"ralph",3177
"fisheries",3150
"bellows",3118
"d",3113
"noel",3042
"of",3030
"hastings",2996
"burkhead",2980
"g",2923
"commercial",2836
"associates",2816
"e",2810
"b",2775
"luiz",2754
"rocha",2752
"s",2751
"bureau",2701
"lewis",2632
"idnr",2597
"ichthyology",2562
"f",2457
"swift",2413
"p",2343
"camm",2332
"thomson",2321
"l",2273
"phillip",2228
"heemstra",2196
"miller",2189
"caldwell",2174
"tate",2141
"matthew",2134
"fred",2124
"zachary",2123
"ii",2044
"martin",2033
"snyder",1982
"kilby",1977
"staiger",1943
"leo",1891
"nico",1891
"taphorn",1890
"war",1868
"thompson",1691
"heins",1638
"suncoaster",1602
"edward",1582
"tursiops",1553
"n",1524
"turtora",1495
"johnson",1494
"albert",1460
"philip",1439
"frederick",1425
"ross",1403
"durbin",1392
"tyler",1387
"ff",1372
"gary",1357
"mclane",1342
"henry",1295
"steve",1273
"marine",1237
"wing",1224
"barkuloo",1223
"usbcf",1216
"richard",1180
"menhinick",1177
"feddern",1175
"biological",1163
"thomas",1162
"hill",1136
"dennis",1130
"ray",1122
"doug",1104
"rivas",1059
"luis",1058
"cochran",1054
"beecher",1053
"desylva",1038
"heck",1038
"atwood",1017
"dickinson",1014
"berry",1006
"reid",1001
"stowe",996
"crampton",968
"loftus",968
"franz",966
"katechis",954
"herod",952
"knight",951
"unknown",950
"walter",931
"continental",922
"shelf",922
"university",910
"inc",902
"hester",900
"hensley",876
"combat",855
"davis",845
"zoology",829
"hellier",828
"tangjitjaroen",805
"weerapongse",805
"bass",795
"colin",783
"tabb",782
"usgs",779
"survey",774
"vertebrate",770
"travis",765
"furman",762
"greg",756
"jr",756
"herbert",753
"courtenay",750
"geronimo",746
"boschung",743
"kuehne",743
"patrick",742
"dannie",705
"pfeiffer",700
"boyd",699
"lathrop",693
"science",688
"brim",687
"national",686
"box",684
"elizabeth",684
"environmental",682
"gilmore",676
"ea",670
"technology",667
"kushlan",659
"crew",658
"lopez",658
"pierce",647
"barbour",645
"analysis",643
"haney",643
"planning",643
"arnold",642
"leonard",637
"juan",636
"allison",624
"gerwig",613
"giovannoli",600
"coles",595
"vincent",595
"shipp",594
"lattimore",591
"iii",590
"alan",587
"fish",586
"rohde",584
"hadiaty",577
"renny",577
"dooley",576
"misty",576
"jones",574
"norden",574
"lee",571
"hartig",561
"quinn",559
"i",557
"joshua",557
"manning",556
"crittenden",547
"chapman",546
"mcdonald",543
"couch",535
"fraser",523
"havird",520
"blalock",515
"joseph",514
"correa",511
"jon",511
"relyea",510
"seaman",509
"birdsong",508
"sandra",508
"marshall",502
"obrien",502
"paulson",502
"steven",498
"joe",496
"herrema",494
"z",491
"iwamoto",486
"tomio",486
"ruessler",482
"and",480
"bunn",472
"weaver",469
"wildlife",467
"limnology",466
"victor",466
"spieler",463
"baker",462
"larry",455
"randal",455
"service",454
"dial",452
"tom",450
"byrd",445
"edwin",438
"singer",438
"lab",437
"frank",425
"mcdaniel",422
"durant",421
"belcher",420
"ben",416
"chess",408
"jordan",405
"devaney",402
"kenneth",402
"gray",401
"charles",399
"springer",397
"anderson",391
"kelso",380
"matter",380
"curry",378
"army",376
"corps",376
"engineers",376
"mark",376
"kerry",375
"macpherson",375
"fgfwfc",374
