"Collector","Count"
"1",7
"2",146
"3",186
"4",154
"5",317
"6",274
"7",892
"204",5
"205",1
"607",1
"crew",80766
"florida",61120
"al",43048
"et",43000
"museum",40175
"state",39964
"s",34752
"nat",19000
"hist",18999
"mus",18998
"a",18506
"fossil",17509
"bay",17328
"club",17320
"tampa",17320
"d",16099
"e",15468
"david",15316
"john",14056
"steven",12411
"c",12166
"emslie",12143
"gary",11849
"morgan",11788
"charles",11541
"robert",10832
"jr",10812
"r",10787
"woods",9974
"waldrop",9852
"h",9578
"richard",9399
"webb",8615
"hulbert",7903
"j",7760
"pierce",7122
"brodkorb",7116
"ray",6924
"clayton",6725
"dan",6535
"walter",6347
"auffenberg",6334
"cordier",6303
"poyer",5582
"art",5577
"g",5411
"suzanne",5391
"allen",4976
"w",4829
"k",4437
"strait",4408
"kent",4344
"ainslie",4343
"frank",4201
"carter",4142
"m",3978
"i",3956
"garcia",3729
"f",3674
"jonathan",3605
"jim",3527
"brooks",3507
"steadman",3387
"jeremiah",3329
"clifford",3325
"bloch",3307
"t",3292
"william",3235
"kelly",3206
"howard",3107
"ranson",3023
"arpp",3010
"rick",2995
"b",2933
"stephen",2885
"goggin",2751
"michael",2718
"eric",2699
"mark",2651
"toomey",2620
"l",2596
"ann",2585
"steve",2585
"pratt",2569
"james",2536
"jesse",2471
"renz",2406
"robertson",2396
"roger",2373
"thomas",2367
"martin",2349
"portell",2332
"barbara",2316
"jason",2235
"hutchens",2194
"norman",2186
"carr",2182
"patton",2160
"beck",2141
"tessman",2116
"joshua",2092
"dickinson",2082
"bourque",2042
"rand",2007
"jean",1981
"team",1976
"klein",1974
"marcano",1937
"eugenio",1933
"aldo",1913
"rincon",1913
"converse",1851
"kendrew",1824
"simons",1796
"larry",1791
"erika",1736
"paul",1677
"searle",1527
"siena",1524
"lee",1444
"bader",1386
"p",1316
"morse",1311
"aaron",1267
"armistead",1262
"bruce",1255
"lawrence",1222
"roberts",1188
"hutchison",1163
"sue",1140
"alan",1132
"univ",1115
"matt",1114
"holman",1110
"dig",1106
"express",1106
"pony",1106
"flora",1094
"wright",1083
"class",1082
"camp",1056
"collins",1055
"mason",1048
"franz",1038
"field",1035
"paleontology",1033
"vertebrate",1033
"daniel",1022
"society",1016
"mary",1009
"kendrick",1008
"bob",1003
"co",1000
"meers",1000
"paleo",1000
"soc",1000
"macfadden",971
"gipson",961
"and",957
"reed",957
"bill",952
"elizabeth",950
"carol",949
"weaver",943
"paleontological",942
"flowers",941
"harwood",941
"hirschfeld",941
"jerome",941
"conner",926
"brian",925
"catalina",925
"bryant",923
"joe",916
"wayne",901
"lewis",890
"noel",885
"ober",879
"pimiento",854
"crissinger",826
"terry",826
"n",816
"donald",810
"chris",809
"suzan",802
"ron",794
"dunbar",786
"shrader",768
"deja",763
"munn",763
"brinnen",761
"pire",758
"romo",751
"helen",740
"veronica",728
"doug",707
"rado",702
"boyer",695
"george",694
"chandler",686
"yaun",683
"mitchell",678
"russell",669
"mccarty",662
"chester",660
"cindy",658
"jeffery",655
"clair",637
"st",637
"hunt",630
"mcdugald",630
"moore",616
"king",615
"benjamin",604
"waller",602
"margaret",593
"alex",591
"hope",583
"keegan",560
"lynch",556
"archaeology",544
"dade",544
"metro",544
"sellari",527
"karen",519
"hastings",518
"whiddon",517
"smith",511
"morris",503
"frazier",494
"marcia",487
"ahern",476
"harter",474
"langworthy",471
"taylor",458
"mike",456
"amanda",455
"austin",442
"derk",442
"kuyper",442
"scott",442
"tarnuzzer",440
"killingsworth",438
"ligon",438
"davis",435
"hendy",435
"sarah",435
"jerry",432
"phil",431
"lockner",424
"don",420
"andreas",419
"aulsbrook",419
"chandra",419
"kerner",419
"whisler",413
"danielle",409
"joseph",398
"o",389
"patricia",386
"audrey",383
"parent",380
"sara",380
"waite",379
"jessica",372
"kenneth",372
"pendergraft",372
"wood",370
"sheila",367
"keeler",366
"miller",364
"dawn",356
"goodheart",351
"ward",350
"gibson",348
"heslep",346
"judy",346
"warren",346
"will",334
"means",330
"jane",329
"stallings",326
"danny",322
"susan",319
"dean",314
"jewel",310
"pozefsky",310
"britt",309
"cale",309
"mueller",306
"guy",305
"tabitha",304
"ross",303
"prokopi",299
"stephanie",298
"kirby",297
"kristen",297
"secord",297
"college",296
"gregory",296
"peter",296
"o'sullivan",294
"jay",293
"justin",291
"corbin",287
"jeff",287
"poucher",287
"sallie",287
"filyaw",285
"v",285
"bender",281
"dykes",281
"sean",280
"eckerd",279
