"Country","Count"
"united states",288130
"haiti",15957
"panama",8108
"bolivia",2909
"bahamas",2705
"dominican republic",2485
"british west indies",1896
"jamaica",1574
"antigua and barbuda",1175
"turks and caicos islands",916
"barbados",231
"honduras",230
"fiji",211
"chile",81
"trinidad and tobago",61
"morocco",57
"grenada",36
"saint kitts and nevis",28
"united kingdom",28
"peru",25
"el salvador",20
"mexico",19
"antarctica",16
"france",15
"germany",7
"netherlands",4
"vanuatu",3
"belize",1
"brazil",1
"china",1
"egypt",1
"guatamala",1
"lebanon",1
"poland",1
"tonga",1
