"Family","Count"
"equidae",60571
"emydidae",14333
"camelidae",14184
"cricetidae",13210
"testudinidae",8750
"leporidae",8360
"carcharhinidae",8042
"capromyidae",7216
"phalacrocoracidae",6517
"alligatoridae",6462
"heteromyidae",4915
"canidae",4600
"tayassuidae",4487
"rhinocerotidae",4478
"nesophontidae",4350
"cervidae",4086
"kinosternidae",4049
"lamnidae",3864
"pampatheriidae",3691
"lepisosteidae",3446
"tapiridae",2948
"phasianidae",2777
"megalonychidae",2728
"vespertilionidae",2516
"columbidae",2237
"phyllostomidae",2169
"dasypodidae",2146
"centrarchidae",2067
"anatidae",1900
"echimyidae",1887
"mylodontidae",1878
"moschidae",1750
"felidae",1656
"soricidae",1608
"centropomidae",1555
"sciuridae",1487
"phenacodontidae",1484
"antilocapridae",1461
"trionychidae",1381
"geomyidae",1347
"myliobatidae",1250
"ictaluridae",1229
"dasyatidae",1219
"glyptodontidae",1168
"talpidae",1159
"amiidae",1151
"megatheriidae",1151
"hemigaleidae",1067
"amphilemuridae",987
"ursidae",939
"bovidae",879
"neoplagiaulacidae",878
"chelydridae",864
"nyctitheriidae",861
"bufonidae",827
"diodontidae",794
"cheloniidae",788
"muridae",780
"rallidae",776
"microsyopidae",772
"sciaenidae",767
"nimravidae",755
"ranidae",751
"mugilidae",750
"natricidae",748
"colubridae",739
"didelphidae",734
"gomphotheriidae",727
"mammutidae",707
"amphicyonidae",693
"castoridae",644
"pristidae",643
"elephantidae",639
"rhinopteridae",639
"merycoidodontidae",621
"peradectidae",611
"gelocidae",602
"crocodylidae",583
"mustelidae",531
"podicipedidae",526
"dromomerycidae",515
"procyonidae",508
"trichechidae",504
"apheliscidae",501
"odontaspididae",482
"mormoopidae",480
"mephitidae",470
"viperidae",458
"hyopsodontidae",456
"protoceratidae",453
"scolopacidae",443
"dugongidae",402
"hydrochoeridae",390
"leptomerycidae",384
"natalidae",384
"dichobunidae",380
"esocidae",376
"sphyraenidae",359
"accipitridae",321
"alcidae",310
"iguanidae",310
"solenodontidae",305
"triglidae",297
"strigidae",296
"arctocyonidae",291
"polychridae",290
"balaenopteridae",288
"herpetotheriidae",283
"coryphodontidae",276
"leptodactylidae",254
"vulturidae",250
"adapidae",247
"sphyrnidae",247
"geoemydidae",243
"interatheriidae",242
"viverravidae",230
"haemulidae",221
"omomyidae",216
"mesotheriidae",208
"ischyromyidae",207
"xenodontidae",206
"dasyproctidae",200
"physeteridae",198
"gobiidae",196
"paramyidae",188
"anguidae",184
"boidae",179
"elapidae",179
"ardeidae",177
"cylindrodontidae",173
"molossidae",169
"archaeohyracidae",168
"sirenidae",167
"eomyidae",163
"fringillidae",161
"schizodelphidae",161
"scincidae",158
"synodontidae",156
"hyaenodontidae",155
"brontotheriidae",154
"clupeidae",151
"phocidae",151
"emberizidae",148
"tropiduridae",137
"hegetotheriidae",135
"hypertragulidae",134
"picidae",129
"falconidae",126
"anhingidae",125
