"dwc.preparations","freq"
"EtOH - 1",53803
"EtOH",34218
"EtOH - 2",20635
"EtOH - 3",12262
"EtOH - 4",8442
"EtOH - 5",6561
"EtOH - 6",5013
"EtOH - 7",3888
"EtOH - 8",3376
"EtOH - 10",2778
"EtOH - 9",2685
"EtOH - 11",2160
"EtOH - 12",1879
"skeleton - 1",1699
"EtOH - 13",1568
"EtOH - 14",1438
"EtOH - 15",1420
"",1217
"EtOH - 16",1204
"EtOH - 17",1075
"EtOH - 20",973
"EtOH - 18",962
"EtOH - 19",927
"EtOH - 21",800
"EtOH - 22",742
"EtOH - 23",704
"EtOH - 24",672
"EtOH - 25",652
"EtOH - 26",545
"EtOH - 27",515
"EtOH - 28",509
"EtOH - 30",504
"EtOH - 29",462
"EtOH - 33",435
"EtOH - 31",418
"skeleton - 2",407
"EtOH - 32",370
"EtOH - 35",360
"EtOH - 37",355
"EtOH - 38",345
"EtOH - 34",343
"EtOH - 36",305
"EtOH - 39",288
"EtOH - 40",287
"EtOH - 41",279
"EtOH - 42",268
"EtOH - 43",247
"EtOH - 44",235
"EtOH - 50",232
"EtOH - 47",229
"EtOH - 46",218
"EtOH - 45",211
"EtOH - 48",203
"EtOH - 49",202
"EtOH - 51",197
"C&S - 1",194
"EtOH - 54",188
"skeleton - 3",188
"EtOH - 52",183
"EtOH | Cleared & Stained",182
"EtOH - 53",170
"EtOH - 60",167
"EtOH - 61",160
"EtOH - 55",159
"EtOH - 59",154
"EtOH - 56",153
"EtOH - 62",153
"EtOH - 58",148
"EtOH - 57",142
"EtOH - 68",139
"EtOH - 63",137
"EtOH - 66",129
"EtOH - 67",124
"EtOH - 64",123
"EtOH - 69",120
"EtOH - 70",114
"skeleton - 4",110
"EtOH - 72",109
"EtOH - 65",105
"EtOH - 71",104
"EtOH - 73",102
"EtOH - 75",96
"EtOH - 78",94
"EtOH - 81",94
"EtOH - 2; C&S - 1",92
"EtOH - 76",92
"EtOH - 79",91
"EtOH - 83",91
"EtOH - 74",88
"EtOH - 80",88
"EtOH - 86",86
"EtOH - 1; skeleton - 1",84
"EtOH - 90",84
"EtOH - 100",83
"EtOH - 77",83
"EtOH - 84",83
"EtOH - 85",82
"C&S - 2",80
"EtOH - 91",79
"EtOH - 93",78
"EtOH - 82",77
"EtOH - 92",76
"EtOH - 98",76
"EtOH - 88",74
"EtOH - 1; C&S - 1",72
"EtOH - 3; C&S - 1",70
"EtOH - 89",69
"EtOH - 103",68
"skeleton - 5",67
"EtOH - 94",66
"EtOH - 96",66
"EtOH - 101",60
"EtOH - 102",60
"EtOH - 107",60
"EtOH - 109",60
"EtOH - 4; C&S - 1",60
"EtOH - 104",58
"EtOH - 87",56
"EtOH - 112",55
"EtOH - 99",55
"EtOH - 106",54
"EtOH - 2; skeleton - 1",54
"EtOH - 5; C&S - 1",53
"EtOH - 95",53
"EtOH - 108",52
"EtOH - 116",50
"EtOH - 105",49
"EtOH - 97",49
"skeleton - 6",49
"EtOH - 117",48
"EtOH - 114",47
"EtOH - 113",46
"EtOH - 6; C&S - 1",46
"EtOH - 110",45
"EtOH - 115",43
"EtOH - 133",42
"EtOH - 121",41
"EtOH - 124",41
"EtOH - 127",41
"EtOH - 8; C&S - 1",41
"EtOH - 120",39
"EtOH - 122",39
"EtOH - 130",38
"skeleton - 7",38
"EtOH - 118",37
"EtOH - 134",37
"EtOH - 136",37
"EtOH - 9; C&S - 1",37
"EtOH - 123",36
"EtOH - 119",35
"EtOH - 135",35
"EtOH - 132",34
"EtOH - 141",34
"EtOH - 142",34
"EtOH - 125",33
"EtOH - 128",32
"EtOH - 137",32
"EtOH - 140",32
"EtOH | Skeleton",32
"EtOH - 152",31
"EtOH - 4; C&S - 2",31
"EtOH - 126",30
"EtOH - 147",30
"EtOH - 111",29
"EtOH - 131",29
"EtOH - 143",29
"EtOH - 200",29
"EtOH - 7; C&S - 1",29
"EtOH - 129",28
"EtOH - 145",28
"EtOH - 164",28
"EtOH - 3; C&S - 2",28
"skeleton - 8",28
"EtOH - 11; C&S - 1",27
"EtOH - 146",27
"EtOH - 10; C&S - 1",26
"EtOH - 6; C&S - 2",26
"EtOH - 144",25
"EtOH - 150",25
"EtOH - 153",25
"EtOH - 157",25
"EtOH - 160",25
"EtOH - 165",25
"EtOH - 175",25
"EtOH - 170",24
"EtOH - 7; skeleton - 1",24
"EtOH - 10; C&S - 2",23
"EtOH - 148",23
"EtOH - 149",23
"EtOH - 162",23
"EtOH - 201",23
"EtOH - 1; skeleton - 2",22
"EtOH - 138",22
"EtOH - 178",22
"EtOH - 188",22
"EtOH - 191",22
"EtOH - 4; skeleton - 1",22
"skeleton - 10",22
"EtOH - 151",21
"EtOH - 156",21
"EtOH - 159",21
"EtOH - 198",21
"EtOH - 2; C&S - 2",21
"EtOH - 5; skeleton - 1",21
"C&S - 3",20
