"Family","Count"
"cyprinidae",56290
"centrarchidae",16725
"percidae",16717
"catostomidae",11075
"salmonidae",10512
"poeciliidae",6185
"cottidae",5595
"ictaluridae",5135
"cichlidae",4952
"fundulidae",3844
"",3327
"characidae",3092
"atherinopsidae",2221
"gobiidae",2053
"clupeidae",1738
"esocidae",1716
"gasterosteidae",1522
"carangidae",1166
"umbridae",1119
"sciaenidae",1095
"petromyzontidae",1006
"goodeidae",952
"cyprinodontidae",932
"eleotridae",814
"serranidae",799
"mugilidae",751
"heptapteridae",739
"bagridae",734
"pleuronectidae",731
"syngnathidae",727
"engraulidae",702
"tetraodontidae",695
"loricariidae",621
"labridae",618
"sebastidae",542
"gerreidae",512
"lepisosteidae",512
"paralichthyidae",469
"pomacentridae",467
"lutjanidae",460
"belonidae",442
"embiotocidae",441
"stichaeidae",430
"haemulidae",419
"siluridae",419
"sparidae",417
"pangasiidae",409
"pholidae",374
"sisoridae",372
"hexagrammidae",361
"blenniidae",349
"aphredoderidae",342
"cobitidae",341
"mastacembelidae",337
"triglidae",335
"serrasalmidae",327
"myctophidae",326
"ariidae",323
"monacanthidae",322
"apogonidae",320
"leiognathidae",306
"nemacheilidae",301
"curimatidae",294
"osphronemidae",284
"scaridae",284
"cynoglossidae",279
"moronidae",278
"ambassidae",272
"synodontidae",272
"osmeridae",262
"anguillidae",261
"labrisomidae",253
"percopsidae",249
"botiidae",246
"chaetodontidae",244
"lotidae",236
"anostomidae",230
"scorpaenidae",226
"cynolebiidae",225
"achiridae",220
"callichthyidae",219
"hemiramphidae",217
"atherinidae",211
"scombridae",207
"mullidae",205
"soleidae",205
"acanthuridae",200
"synbranchidae",195
"clinidae",189
"crenuchidae",189
"muraenidae",188
"batrachoididae",183
"clariidae",183
"nemipteridae",180
"elassomatidae",177
"platycephalidae",177
"channidae",172
"callionymidae",171
"erythrinidae",168
"sphyraenidae",168
"ophichthidae",167
"bryconidae",163
"kyphosidae",163
"acipenseridae",161
"gadidae",161
"lebiasinidae",158
"holocentridae",153
"polynemidae",153
"trichomycteridae",152
"bothidae",151
"amiidae",150
"liparidae",147
"profundulidae",139
"rajidae",138
"ostraciidae",136
"hiodontidae",132
"balitoridae",130
"sternopygidae",126
"pimelodidae",121
"siganidae",121
"centropomidae",115
"pomacanthidae",113
"gobiesocidae",111
"sillaginidae",108
"triakidae",106
"agonidae",104
"gymnotidae",101
"dasyatidae",100
"balistidae",95
"priacanthidae",91
"pristolepididae",91
"diodontidae",89
"congridae",87
"synanceiidae",87
"exocoetidae",85
"hemitripteridae",83
"akysidae",82
"zenarchopteridae",82
"notopteridae",81
"ailiidae",80
"carcharhinidae",77
"lethrinidae",77
"acestrorhynchidae",76
"pinguipedidae",76
"amblycipitidae",75
"ephippidae",75
"gonostomatidae",74
"adrianichthyidae",73
"echeneidae",73
"apteronotidae",71
"mormyridae",71
"triportheidae",71
"iguanodectidae",70
"ophidiidae",70
"zoarcidae",70
"stomiidae",69
"hypopomidae",68
"plotosidae",68
"lateolabracidae",67
"mochokidae",65
"squalidae",63
"bedotiidae",61
"anabantidae",60
"claroteidae",59
"gasteropelecidae",59
"antennariidae",58
"pristigasteridae",58
"uranoscopidae",57
"gastromyzontidae",56
"phycidae",56
"auchenipteridae",55
"zeidae",55
"dussumieriidae",54
"stromateidae",54
"elopidae",53
"trichiuridae",53
"alestidae",52
"prochilodontidae",52
"amblyopsidae",51
"aspredinidae",51
"ammodytidae",50
"sternoptychidae",49
"acropomatidae",48
"fistulariidae",48
"pomatomidae",48
"doradidae",47
"phosichthyidae",47
"hemiodontidae",46
"aplocheilidae",44
"salangidae",44
"abyssocottidae",42
"ogcocephalidae",42
"coryphaenidae",41
"psychrolutidae",41
"malacanthidae",40
"anablepidae",39
"chaenopsidae",39
"parodontidae",39
"potamotrygonidae",39
"muraenesocidae",38
"psilorhynchidae",37
"rhamphichthyidae",37
"caesionidae",36
"drepaneidae",36
"lophiidae",36
"triacanthidae",36
"gyrinocheilidae",35
"scatophagidae",35
"tripterygiidae",35
"albulidae",34
"branchiostomatidae",34
"toxotidae",34
"galaxiidae",33
"nandidae",33
"dinematichthyidae",32
"megalopidae",32
"plecoglossidae",31
"schilbeidae",31
"scophthalmidae",31
"badidae",30
"astroblepidae",29
"polyodontidae",29
"pseudopimelodidae",29
"rhinobatidae",29
"cepolidae",28
"latidae",28
"chimaeridae",27
"erethistidae",27
"melamphaidae",27
"urolophidae",27
"apistidae",26
"centriscidae",26
"macrouridae",26
"pseudochromidae",26
"merlucciidae",25
"argentinidae",24
"lactariidae",24
"cheilodactylidae",23
"cyclopteridae",23
"myliobatidae",23
"nototheniidae",23
"sphyrnidae",23
"aulopidae",22
"cirrhitidae",22
"psettodidae",22
"ctenoluciidae",21
"hemiscylliidae",21
"myxinidae",21
"osteoglossidae",21
"percichthyidae",21
"squatinidae",21
"bythitidae",20
"chalceidae",20
"chirocentridae",20
"peristediidae",20
"chanidae",19
"dactyloscopidae",19
"hapalogenyidae",19
"kuhliidae",19
"scombropidae",19
"amphiliidae",18
"distichodontidae",18
"opistognathidae",18
"perciliidae",18
"trichodontidae",18
"anoplopomatidae",17
"scyliorhinidae",17
"datnioididae",16
"anarhichadidae",15
"chilodontidae",15
"dactylopteridae",15
"plesiopidae",15
"arhynchobatidae",14
"aulostomidae",14
"centrolophidae",14
"comephoridae",14
"gymnuridae",14
"hypoptychidae",14
"moringuidae",14
"nothobranchiidae",14
"pempheridae",14
"phallostethidae",14
"rachycentridae",14
"tetrarogidae",14
"aploactinidae",13
"bathymasteridae",13
"bramidae",13
"cynodontidae",13
"monocentridae",13
"terapontidae",13
"aulorhynchidae",12
"diplomystidae",12
"menidae",12
"narcinidae",12
"sinipercidae",12
"arapaimidae",11
"carapidae",11
"cetopsidae",11
"heterodontidae",11
"monodactylidae",11
"platyrhinidae",11
"polycentridae",11
"polypteridae",11
"scomberesocidae",11
"zanclidae",11
"hoplichthyidae",10
"microdesmidae",10
"moridae",10
"nemichthyidae",10
"ginglymostomatidae",9
"istiophoridae",9
"malapteruridae",9
"paralepididae",9
"pegasidae",9
"polyprionidae",9
"aracanidae",8
"chlorophthalmidae",8
"etmopteridae",8
"gempylidae",8
"geotriidae",8
"helostomatidae",8
"heteropneustidae",8
"lobotidae",8
"melanotaeniidae",8
"mordaciidae",8
"odontobutidae",8
"rhinidae",8
"scytalinidae",8
"trachichthyidae",8
"zaproridae",8
"ariommatidae",7
"bregmacerotidae",7
"caproidae",7
"centracanthidae",7
"chlopsidae",7
"hepsetidae",7
"horabagridae",7
"isonidae",7
"lamnidae",7
"nomeidae",7
"parabembridae",7
"polymixiidae",7
"retropinnidae",7
"trachinidae",7
"bembridae",6
"derichthyidae",6
"evermannellidae",6
"lepidosirenidae",6
"pentanchidae",6
"samaridae",6
"synaphobranchidae",6
"hexanchidae",5
"indostomidae",5
"pseudomugilidae",5
"torpedinidae",5
"valenciidae",5
"aetobatidae",4
"alepisauridae",4
"anchariidae",4
"banjosidae",4
"bathylagidae",4
"chacidae",4
"champsodontidae",4
"chaudhuriidae",4
"citharidae",4
"citharinidae",4
"cranoglanididae",4
"cryptacanthodidae",4
"howellidae",4
"narkidae",4
"pentacerotidae",4
"protopteridae",4
"rhamphocottidae",4
"serrivomeridae",4
"stegostomatidae",4
"sundasalangidae",4
"telmatherinidae",4
"vaillantellidae",4
"berycidae",3
"centrophoridae",3
"ceratiidae",3
"eleginopsidae",3
"emmelichthyidae",3
"grammatidae",3
"gymnarchidae",3
"hemigaleidae",3
"kneriidae",3
"kurtidae",3
"molidae",3
"nettastomatidae",3
"odontaspididae",3
"pristiophoridae",3
"schindleriidae",3
"scoloplacidae",3
"serpenticobitidae",3
"somniosidae",3
"trachipteridae",3
"urotrygonidae",3
"alepocephalidae",2
"anoplogastridae",2
"arripidae",2
"bovichtidae",2
"callanthiidae",2
"ereuniidae",2
"eurypharyngidae",2
"icosteidae",2
"latimeriidae",2
"nematogenyidae",2
"neoscopelidae",2
"normanichthyidae",2
"notacanthidae",2
"notosudidae",2
"oneirodidae",2
"percophidae",2
"platytroctidae",2
"pristidae",2
"rhinopteridae",2
"symphysanodontidae",2
"triacanthodidae",2
"xenisthmidae",2
"alopiidae",1
"aplodactylidae",1
"barbuccidae",1
"bathyclupeidae",1
"caristiidae",1
"centrogenyidae",1
"chaunacidae",1
"chiasmodontidae",1
"creediidae",1
"cyttidae",1
"dalatiidae",1
"dentatherinidae",1
"enoplosidae",1
"gonorynchidae",1
"heterenchelyidae",1
"kryptoglanidae",1
"lacantuniidae",1
"lampridae",1
"lepidogalaxiidae",1
"microstomatidae",1
"mobulidae",1
"nematistiidae",1
"neoceratodontidae",1
"notocheiridae",1
"null",1
"orectolobidae",1
"pantodontidae",1
"phractolaemidae",1
"pseudaphritidae",1
"ptilichthyidae",1
"rhincodontidae",1
"scopelarchidae",1
"setarchidae",1
"solenostomidae",1
"tetragonuridae",1
"trichonotidae",1
"trygonorrhinidae",1
"unplaced",1
"veliferidae",1
"xiphiidae",1
"zanobatidae",1
