"dwc.scientificName","freq"
"Pimephales notatus",3499
"Semotilus atromaculatus",3425
"Etheostoma nigrum",2753
"Catostomus commersonii commersoni",2015
"Perca flavescens",1938
"Cottus bairdii",1787
"Coregonus zenithicus",1758
"Lepomis cyanellus",1668
"Micropterus salmoides",1606
"Notemigonus crysoleucas",1593
"Luxilus cornutus frontalis",1520
"Lepomis gibbosus",1457
"Ambloplites rupestris",1441
"Notropis stramineus",1376
"Salvelinus fontinalis",1376
"Hypentelium nigricans",1341
"Lepomis macrochirus",1325
"Coregonus artedi",1202
"Lepomis megalotis",1158
"Cyprinella spiloptera",1119
"Rhinichthys atratulus meleagris",1118
"Rhinichthys cataractae",1082
"Umbra limi",1058
"Etheostoma caeruleum",1055
"Catostomus commersonii",1036
"Percina caprodes",1008
"Nocomis biguttatus",979
"Moxostoma erythrurum",966
"Ameiurus melas",962
"Luxilus chrysocephalus",962
"Campostoma anomalum",953
"Culaea inconstans",934
"Etheostoma flabellare",904
"Notropis atherinoides",890
"Ameiurus natalis",878
"Etheostoma exile",876
"Rhinichthys osculus",870
"Micropterus dolomieu",869
"Percina maculata",857
"Campostoma anomalum pullum",838
"Coregonus hoyi",835
"Notropis rubellus",825
"Lythrurus umbratilis",755
"Cyprinella lutrensis subsp. lutrensis",735
"Oncorhynchus mykiss",732
"Pimephales promelas promelas",716
"Campostoma anomalum anomalum",694
"Cottus carolinae",675
"Etheostoma spectabile",671
"Ictalurus punctatus",655
"Rhinichthys atratulus",650
"Notropis hudsonius",634
"Lepomis humilis",629
"Nocomis micropogon",623
"Fundulus olivaceus",621
"Etheostoma blennioides",617
"Notropis amblops",617
"Esox lucius",613
"Notropis heterolepis subsp. heterolepis",609
"Lepomis gulosus",582
"Coregonus clupeaformis",566
"Cottus cognatus",556
"Pomoxis nigromaculatus",542
"Lepomis macrochirus subsp. macrochirus",538
"Margariscus margarita",528
"Astyanax fasciatus",516
"Ameiurus nebulosus",510
"Notropis volucellus subsp. volucellus",509
"Phoxinus eos",505
"Cyprinus carpio",504
"Gambusia affinis subsp. affinis",494
"Pimephales vigilax",482
"Dorosoma cepedianum",463
"Cyprinella galactura",450
"Noturus gyrinus",447
"Lepomis hybrid",443
"Lythrurus ardens",438
"Pomoxis annularis",437
"Micropterus dolomieu dolomieu",435
"Phenacobius mirabilis",435
"Fundulus catenatus",431
"Lepomis auritus",430
"Notropis heterodon",429
"Poecilia mexicana",425
"Pimephales promelas",423
"Notropis dorsalis",420
"Luxilus cornutus",418
"Fundulus notatus",408
"",400
"Labidesthes sicculus sicculus",385
"Notropis volucellus",369
"Cyprinella whipplei",364
"Rhinichthys atratulus obtusus",358
"Phoxinus erythrogaster",357
"Esox americanus subsp. vermiculatus",350
"Aphredoderus sayanus",342
"Hybognathus hankinsoni",339
"Etheostoma zonale",332
"Hybrid hybrid",325
"Micropterus punctulatus punctulatus",324
"Hybognathus placitus",323
"Notropis boops",323
"Gambusia affinis",318
"Carpiodes carpio",317
"Fundulus diaphanus menona",317
"Labidesthes sicculus",316
"Sander vitreus",315
"Cyprinella venusta",314
"Noturus flavus",314
"Moxostoma macrolepidotum",313
"Catostomus catostomus",309
"Lepomis megalotis subsp. megalotis",309
"Esox niger",307
"Erimyzon sucetta",306
"Coregonus johannae",305
"Luxilus cornutus chrysocephalus",299
"Notropis buccatus",292
"Oncorhynchus clarki",289
"Esox americanus",288
"Notropis telescopus",283
"Notropis nubilus",281
"Etheostoma microperca",280
"Notropis",280
"Salmo trutta",276
"Rhamdia guatemalensis",272
"Coregonus reighardi dymondi",270
"Notropis hybrid",267
"Luxilus cornutus cornutus",266
"Coregonus kiyi",265
"Gila bicolor",259
"Notropis texanus",256
"Opsopoeodus emiliae",254
"Hybognathus nuchalis",253
"Coregonus reighardi",249
"Micropterus punctulatus",249
"Lepisosteus osseus",246
"Percopsis omiscomaycus",239
"Clinostomus funduloides",237
"Cyprinella lutrensis",234
"Catostomus platyrhynchus",233
"Macrhybopsis storeriana",233
"Phoxinus neogaeus",229
"Semotilus corporalis",229
"Minytrema melanops",226
"Notropis blennius",225
"Notropis heterolepis",225
"Luxilus coccogenis",221
"Aplodinotus grunniens",220
"Lampetra appendix",219
"Lota lota",219
"Platygobio gracilis",215
"Prosopium cylindraceum",215
"Fundulus kansae",214
"Moxostoma duquesnei",214
"Gambusia sexradiata",213
"Notropis photogenis",208
"Gambusia affinis subsp. holbrooki",207
"Micropterus salmoides salmoides",206
"Belonesox belizanus",204
"Campostoma anomalum oligolepis",204
"Menidia beryllina",202
"Mugil cephalus",202
"Lepomis marginatus",201
"Ictiobus bubalus",199
"Etheostoma stigmaeum",196
"Notropis buchanani",196
"Etheostoma chlorosomum",193
"Etheostoma simoterum",193
"Percina nigrofasciata",188
"Moxostoma duquesnei duquesnei",184
"Anguilla rostrata",183
"Cichlasoma cyanoguttatum",183
"Noturus miurus",179
"Ambloplites rupestris rupestris",178
"Pimephales promelas confertus",176
"Poecilia latipinna",176
"Couesius plumbeus",174
"Luxilus zonatus",174
"Carassius auratus",173
"Erimyzon oblongus claviformis",171
"Hybognathus nuchalis nuchalis",170
"Catostomus commersonii sucklii",167
"Noturus exilis",167
"Macrhybopsis aestivalis",166
"Cichlasoma salvini",164
"Lucania parva",164
"Cyprinella analostana",163
"Percina phoxocephala",163
"Moxostoma anisurum",161
"Osmerus mordax",161
"Catostomus discobolus",160
"Heterandria bimaculata",160
"Luxilus pilsbryi",160
"Morone chrysops",158
"Luxilus cornutus intergrade",156
"Coregonus artedi artedi",155
"Poecilia sphenops",153
"Mugil curema",152
"Percina sciera",152
"Amia calva",150
"Xiphophorus helleri",150
"Astyanax fasciatus mexicanus",146
"Fundulus diaphanus",145
"Pungitius pungitius",145
"Cichlasoma octofasciatum",144
"Pylodictis olivaris",144
"Campostoma ornatum",142
"Carpiodes cyprinus",142
"Gobiomorus dormitor",142
"Etheostoma gracile",140
"Ichthyomyzon fossor",140
"Coregonus nigripinnis regalis",139
"Awaous banana",137
"Cichlasoma robertsoni",137
"Agonostomus monticola",136
"Ictiobus cyprinellus",136
"Fundulus diaphanus diaphanus",135
"Percina copelandi",134
"Poecilia butleri",134
"Etheostoma squamiceps",133
"Sander canadensis",133
"Oligocottus snyderi",131
"Etheostoma rufilineatum",130
"Prosopium williamsoni",130
"Hexagrammos decagrammus",129
"Cichlasoma urophthalmus",128
"Ichthyomyzon unicuspis",127
"Scorpaenichthys marmoratus",127
"Catostomus occidentalis",126
"Oncorhynchus kisutch",126
"Fundulus heteroclitus macrolepidotus",125
"Salvelinus namaycush",124
"Atherinella sp.",123
"Dormitator maculatus",123
"Dorosoma petenense",123
"Hoplias malabaricus",123
"Catostomus clarki",122
"Notropis leuciodus",122
"Cichlasoma friedrichsthali",121
"Gila orcutti",119
"Lepomis microlophus",119
"Astyanax bimaculatus",118
"Enneacanthus gloriosus",118
"Clinostomus elongatus",117
"Leptocottus armatus",117
"Catostomus latipinnis",116
"Fundulus chrysotus",116
"Gasterosteus aculeatus microcephalus",116
"Goodea atripinnis",116
"Coregonus nigripinnis",114
"Cyprinella lutrensis lutrensis",114
"Lythrurus fumeus",114
"Coregonus nigripinnis cyanopterus",113
"Notropis volucellus volucellus",113
"Catostomus macrocheilus",112
"Poecilia reticulata",112
"Poeciliopsis gracilis",112
"Rhinichthys atratulus atratulus",112
"Cichlasoma spilurum",111
"Mollienesia sphenops",111
"Xiphophorus maculatus",111
"Anchoa mitchilli",110
"Astyanax fasciatus aeneus",110
"Ptychocheilus oregonensis",110
"Cyprinodon variegatus variegatus",109
"Fundulus grandis",109
"Lagodon rhomboides",109
"Poeciliopsis infans",109
"Anoplarchus purpurescens",108
"Fundulus majalis",108
"Cyprinodon variegatus",107
"Gila robusta",107
"Pimephales promelas intergrade",107
"Exoglossum maxillingua",106
"Petromyzon marinus",106
"Cymatogaster aggregata",105
"Artedius lateralis",104
"Etheostoma flavum",104
"Fundulus sciadicus",104
"Percina evides",103
"Nocomis leptocephalus",102
"Cichlasoma bimaculatum",101
"Notropis greenei",101
"Erimyzon oblongus",100
"Petenia splendida",100
"Richardsonius balteatus hydrophlox",100
"Gambusia yucatana",99
"Lepomis megalotis subsp. breviceps",99
"Notropis bifrenatus",99
"Poeciliopsis occidentalis",99
"Coregonus reighardi reighardi",98
"Agosia chrysogaster",97
