"Typestatus","Count"
NA,157716
"",34559
"Paratypes",1526
"Paratypes **",1264
"Paratype",650
"Holotype",377
"Paratypes *",347
"paratypes",148
"Paratopotypes",136
"Paratype *",78
"paratype",65
"Paratype **",54
"Holotype *",45
"Holotype **",37
"Allotype",35
"Syntype",34
"holotype",33
"Paratopotype",29
"Paratypes of *",27
"Paralectotype*",24
"Syntypes",20
"Paratype of *",18
"Paratopotypes*",17
"paratopotypes",15
"Syntype **",15
"Syntype *",11
"Cotype",10
"Syntypes *",10
"Paralectotypes",7
"Cotypes",6
"Lectotype",6
"Syntypes **",6
"Neotype",5
"Paratopotype *",5
"Paralectotype",4
"See remarks",4
"Lectotype *",3
"syntype",3
"Syntype of *",3
"Cotypes *",2
"Neotype of **",2
"paralectotype",2
"paralectotypes",2
"paratopotype",2
"allotype",1
"Allotype *",1
"Cotype **",1
"Cotype = *",1
"Cotype of *",1
"Holotype of *",1
"Holotypes",1
"lectotype",1
"neotype",1
"Neotype **",1
"Paratypes * ",1
"Paratypes ***",1
"see remarks",1
"syntypes",1
