"Continent","Count"
NA,1021
NA,11
"DZA",2
"AGO",1
"ATA",2
"ATG",1
"ARG",133
NA,1
NA,1
NA,3
"AUS",144
"AUT",1
NA,287
"BHS",28
NA,2
NA,2
"BGD",826
"BEL",8
"BLZ",562
NA,2
"BMU",892
NA,3
"BOL",1305
NA,16
"BRA",1340
"BRA",12
"SLB",3
NA,3
"BGR",18
"MMR",2
"BDI",53
"BDI",1
"BDI",16
"KHM",1778
"CMR",23
NA,2
"CAN",679
"CAN",3594
NA,1
NA,1
NA,1
"CYM",28
"CYM",1
NA,1
"CHL",266
"PER",1
"CHN",559
"CHN",1
"CCK",12
"COL",230
NA,2
"COM",1
"COM",2
"COG",9
"CRI",515
NA,1
"CUB",211
"CYP",1
"CSK",25
NA,2
"DNK",3
"DOM",57
NA,1
"ECU",93
"EGY",98
NA,2
"SLV",54
NA,10
NA,1
"ETH",17
"FLK",4
"FJI",6
"FIN",3
"TWN",1
"FRA",1
"FRA",47
"ESP",2
"GUF",4
NA,1
NA,1
"GAB",4
NA,2
"GMB",97
NA,2
"DEU",12
"DEU",1
"GHA",62
"GRC",6
"GRL",98
"GTM",2758
"GTM",2
NA,44
"GUY",929
"GUY",1
"HTI",81
NA,136
NA,4
"HND",960
"HKG",2
"HUN",1
"ISL",1
"IND",446
NA,1
"CHN",1
"IDN",799
NA,1
"IRN",10
"IRQ",2
"IRL",4
"ISR",14
"ITA",166
"JAM",17
"JPN",5862
NA,249
NA,2
NA,2
NA,1
"KEN",8
"KOR",263
"KWT",2
"LAO",1581
NA,1
NA,2
NA,79
"LBN",3
NA,17
"LBR",1
"MDG",1456
NA,1
"MDG",3
"MWI",98
"MWI",25
NA,2
NA,1
"MYS",290
"MNP",7
"MNP",5
"MNP",638
"MNP",1
NA,1
NA,2
"MHL",10
"MTQ",2
NA,2
"MEX",682
"MEX",9916
NA,1
"FSM",48
"MOZ",2
"MMR",65
NA,1
"COK",1
"NPL",6
"ANT",1
"NLD",6
"NLD",116
"ANT",29
"NCL",4
"PNG",7
"VUT",1
"NZL",23
NA,1
"NIC",197
"NGA",1
NA,557
NA,2
"NOR",193
"OMN",18
"CHN",1
NA,2
"PAK",26
"PAN",457
"PNG",1
"PNG",7
"PRY",2819
"PER",313
NA,1
NA,1
NA,8
NA,424
"PHL",183
NA,1
"POL",22
"PRT",2
"CHN",4
NA,1
"PRI",718
"ZWE",1
"ROU",2
"ROU",181
"RUS",60
"RUS",1
"ZAF",1
NA,2
NA,1
NA,3
"SAU",3
NA,8
"SEN",49
"SRB",1
"SYC",1
"SYC",1
"THA",5
NA,3
"SLE",15
"SGP",16
NA,1
"SLB",2
"SOM",1
"SOM",2
"ZAF",4
"SGS",1
"KOR",15
NA,1
"ESP",11
"ESP",1
"LKA",4
"SDN",1
NA,178
"SUR",30
"SUR",3
"SWE",20
NA,5
"TWN",279
"TZA",28
NA,2
NA,1
"THA",5503
"THA",3
"TGO",1
NA,8
"TTO",14
"TTO",1
"TTO",1
"TUN",2
"TUR",16
"UGA",87
"UKR",1
"USA",33063
NA,3
NA,81
"BFA",1
"URY",27
"USA",103115
"RUS",1
"RUS",263
NA,31
"UZB",2
"VUT",1
"VEN",812
NA,2
"VNM",3244
NA,6
NA,1
NA,1
NA,1
NA,2
NA,4
"PAK",4
NA,1
"YUG",7
"COD",16
"ZMB",901
