"dwc.preparations","freq"
"",346857
"Polyester",12694
"Unknown",11471
"Photograph",6493
"Dry Osteological Specimen",4832
"Acetate",4089
"Radiograph",2860
"Illustration",2446
"Glycerin with Bone Stain",2358
"Glycerin with Cartilage Stain",2087
"Hardcopy photograph on file",1526
"Glycerin with Bone and Cartilage Stain",1247
"Dry Osteological Specimen; Specimen Notes",1006
"Polyester; Radiograph Note Paper",853
"Jar Label",815
"ETOH FIXED",661
"Acetate; Radiograph Note Paper",440
"ETOH FIXED; Photograph",440
"Digital photograph on file",415
"Larvae",336
"Alcohol",298
"Photograph; Radiograph",271
"Tissue sample",233
"Photograph; ETOH FIXED",155
"Illustration; Radiograph",123
"Acetate; Polyester",119
"Scanning Electron Microphotograph",114
"Otolith",112
"Glycerin with Bone Stain; Radiograph",99
"Radiograph; Illustration",91
"Radiograph; Photograph",88
"Glycerin with Nerve Stain",85
"Histological Slide",81
"Dry Osteological Specimen; Alcohol",65
"Unknown; Illustration",60
"Unknown; Radiograph",55
"Scanning Electron Microscope Stub",54
"Glycerin with Cartilage Stain; Radiograph",52
"Illustration; Photograph; Radiograph",52
"Polyester; Acetate",49
"Illustration; Photograph",48
"Transparency",47
"Dry Osteological Specimen; Photograph",43
"Glycerin with Bone Stain; Illustration",37
"Dry Osteological Specimen; Illustration",32
"Glycerin with Cartilage Stain; Illustration",32
"Dry Osteological Specimen; Glycerin with Bone Stain",27
"photograph",25
"Glycerin with Bone Stain; Glycerin with Cartilage Stain",24
"Dried",23
"Illustration; Radiograph; Photograph",22
"Glycerin with Bone Stain; Alcohol",19
"Glycerin with Bone Stain; Glycerin with Bone and Cartilage Stain",19
"Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",19
"Glycerin with Cartilage Stain; Alcohol",17
"Radiograph; Alcohol",17
"Dry Osteological Specimen; Ledger Image",15
"Glycerin with Bone and Cartilage Stain; Radiograph",15
"Glycerin with Bone Stain; Glycerin with Bone Stain",14
"Glycerin with Cartilage Stain; Scanning Electron Microphotograph",14
"Glycerin with Bone and Cartilage Stain; Illustration",13
"Transparency; Transparency sleeve",13
"Dry Osteological Specimen; Illustration; Specimen Notes",12
"Unknown; Hardcopy photograph on file",12
"Wet Osteological Specimen",11
"Dry Osteological Specimen; Alcohol; Illustration",10
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain",10
"Jar Label; Jar Label",10
"Acetate; Polyester; Radiograph Note Paper",9
"Alcohol; Radiograph",9
"Dry Osteological Specimen; Glycerin with Cartilage Stain",9
"Glycerin with Cartilage Stain; Glycerin with Bone Stain",9
"Photograph; Radiograph; Illustration",9
"Radiograph; Illustration; Photograph",9
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",8
"Larvae; Larvae",8
"Dry Osteological Specimen; Dry Osteological Specimen",7
"Dry Osteological Specimen; Glycerin with Cartilage Stain; Alcohol",7
"Glycerin with Bone Stain; Scanning Electron Microphotograph",7
"Glycerin with Cartilage Stain; Photograph",7
"Photograph; Illustration",7
"radiograph",7
"Alcohol; Photograph",6
"Dry Osteological Specimen; Glycerin with Bone and Cartilage Stain",6
"Glycerin with Bone and Cartilage Stain; Alcohol",6
"Illustration; Jar Label",6
"Ledger Image",6
"Polyester; Acetate; Radiograph Note Paper",6
"Radiograph; Photograph; Radiograph",6
"Radiograph; Radiograph",6
"transparency",6
"Transparency; Photograph",6
"Dry Osteological Specimen; Illustration; Alcohol",5
"Dry Osteological Specimen; Radiograph",5
"Dry Osteological Specimen; Unknown",5
"Glycerin with Bone and Cartilage Stain; Photograph",5
"Glycerin with Cartilage Stain; Glycerin with Nerve Stain",5
"Glycerin, Triple stained",5
"Illustration; Photograph; Photograph",5
"Photograph; Illustration; Radiograph",5
"Polyester; Polyester",5
"Radiograph Note Paper",5
"Acetate; Acetate; Radiograph Note Paper; Radiograph Note Paper",4
"Alcohol; Hardcopy photograph on file",4
"Alcohol; Illustration",4
"Dry Osteological Specimen; Dried",4
"Dry Osteological Specimen; Ledger Image; Specimen Notes",4
"Dry Osteological Specimen; Specimen Notes; Ledger Image",4
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",4
"Glycerin with Bone and Cartilage Stain; Hardcopy photograph on file",4
"Photograph; Radiograph; Photograph",4
"Photograph; Radiograph; Radiograph",4
"Transmission Electron Microphotograph; Histological Slide",4
"Unknown; Dry Osteological Specimen",4
"Dry Osteological Specimen; Alcohol; Alcohol",3
"Dry Osteological Specimen; Alcohol; Specimen Notes",3
"Dry Osteological Specimen; Radiograph; Specimen Notes",3
"Glycerin with Bone and Cartilage Stain; Radiograph; Illustration",3
"Glycerin with Bone Stain; Illustration; Radiograph",3
"Glycerin with Cartilage Stain; Dry Osteological Specimen",3
"Glycerin with Cartilage Stain; Hardcopy photograph on file",3
"Glycerin with Cartilage Stain; Radiograph; Illustration",3
"Illustration; Illustration",3
"Larvae; ETOH FIXED",3
"Radiograph; Photograph; Illustration",3
"Radiograph; Radiograph; Photograph",3
"Acetate; Acetate",2
"Alcohol; Digital photograph on file",2
"ETOH FIXED; Larvae",2
"Glycerin with Bone and Cartilage Stain; Histological Slide",2
"Glycerin with Bone Stain; Glycerin with Bone and Cartilage Stain; Radiograph",2
"Glycerin with Bone Stain; Hardcopy photograph on file",2
"Glycerin with Bone Stain; Radiograph; Dry Osteological Specimen",2
"Glycerin with Bone Stain; Radiograph; Illustration",2
"Glycerin with Cartilage Stain; Histological Slide",2
"Glycerin with Nerve Stain; Photograph",2
"Hardcopy photograph on file; Otolith",2
"Histological Slide; Hardcopy photograph on file",2
"Histological Slide; Histological Slide",2
"Photograph; Photograph",2
"photograph; Radiograph",2
"Radiograph; Dry Osteological Specimen",2
"Radiograph; Glycerin with Bone and Cartilage Stain",2
"Radiograph; Photograph; Radiograph; Illustration; Radiograph",2
"Scanning Electron Microphotograph; alcohol",2
"Scanning Electron Microphotograph; Alcohol",2
"Scanning Electron Microphotograph; Radiograph",2
"Skin",2
"Transparency sleeve; Transparency; Jar Label",2
"Transparency; Transparency sleeve; Jar Label",2
"Wet Osteological Specimen; Radiograph",2
"Acetate; Acetate; Radiograph Note Paper",1
"alcohol",1
"Alcohol; Alcohol",1
"Alcohol; Glycerin with Bone and Cartilage Stain",1
"Alcohol; Glycerin with Bone Stain",1
"Casts",1
"Casts; Illustration",1
"Digital photograph on file; Otolith",1
"Dry Osteological Specimen; Alcohol; Illustration; Specimen Notes",1
"Dry Osteological Specimen; Alcohol; Photograph",1
"Dry Osteological Specimen; Glycerin with Bone and Cartilage Stain; Alcohol",1
"Dry Osteological Specimen; Glycerin with Cartilage Stain; Dried",1
"Dry Osteological Specimen; Hardcopy photograph on file; Specimen Notes",1
"Dry Osteological Specimen; Illustration; Radiograph",1
"Dry Osteological Specimen; Ledger Image; Photograph",1
"Dry Osteological Specimen; Otolith; Radiograph",1
"Dry Osteological Specimen; Radiograph; Illustration",1
"Dry Osteological Specimen; Radiograph; Photograph",1
"Dry Osteological Specimen; Specimen Notes; Photograph",1
"Dry Osteological Specimen; Transparency; Alcohol",1
"Dry Osteological Specimen; Unknown; Specimen Notes",1
"ETOH FIXED; Glycerin with Bone Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Alcohol",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Illustration",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Scanning Electron Microphotograph",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Bone Stain; Glycerin with Nerve Stain; Glycerin with Nerve Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Cartilage Stain; Glycerin with Bone Stain",1
"Glycerin with Bone and Cartilage Stain; Glycerin with Nerve Stain",1
"Glycerin with Bone and Cartilage Stain; Radiograph; Photograph",1
"Glycerin with Bone Stain; Alcohol; Radiograph",1
"Glycerin with Bone Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",1
"Glycerin with Bone Stain; Glycerin with Bone Stain; Radiograph",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Illustration",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Radiograph",1
"Glycerin with Bone Stain; Glycerin with Cartilage Stain; Scanning Electron Microphotograph",1
"Glycerin with Bone Stain; Glycerin with Nerve Stain",1
"Glycerin with Bone Stain; Illustration; Radiograph; Illustration",1
"Glycerin with Bone Stain; Jar Label",1
"Glycerin with Bone Stain; Photograph",1
"Glycerin with Bone Stain; Photograph; Radiograph",1
"Glycerin with Bone Stain; Scanning Electron Microphotograph; Glycerin with Cartilage Stain",1
"Glycerin with Bone Stain; Transparency",1
"Glycerin with Bone Stain; Unknown",1
"Glycerin with Bone Stain; Wet Osteological Specimen; Alcohol",1
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone and Cartilage Stain",1
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain; Glycerin with Bone Stain; Glycerin with Nerve Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Cartilage Stain; Glycerin with Bone and Cartilage Stain; Radiograph",1
"Glycerin with Cartilage Stain; Glycerin with Bone Stain; Dry Osteological Specimen",1
"Glycerin with Cartilage Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Cartilage Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain; Radiograph",1
"Glycerin with Cartilage Stain; Glycerin with Cartilage Stain; Radiograph",1
"Glycerin with Cartilage Stain; Glycerin, Triple stained",1
"Glycerin with Cartilage Stain; Radiograph; Alcohol",1
"Glycerin with Cartilage Stain; Scanning Electron Microscope Stub",1
"Glycerin with Nerve Stain; Glycerin with Bone Stain",1
"Glycerin with Nerve Stain; Glycerin with Nerve Stain; Glycerin with Nerve Stain; Glycerin with Cartilage Stain; Glycerin with Cartilage Stain",1
"Glycerin with Nerve Stain; Radiograph",1
"Glycerin with Nerve Stain; Scanning Electron Microphotograph",1
"Hardcopy photograph on file; Illustration",1
"Hardcopy photograph on file; Photograph",1
"Hardcopy photograph on file; Radiograph",1
"Histological Slide; Histological Slide; Histological Slide",1
"Histological Slide; Radiograph",1
"Illustration; Alcohol",1
"Illustration; Photograph; radiograph",1
"Illustration; Photograph; Radiograph; Radiograph",1
"Illustration; Specimen Notes",1
"Illustration; Transparency sleeve; Transparency",1
"Jar label",1
"Model; Transparency; Transparency; Print; Print",1
"Photograph; Dry Osteological Specimen",1
"Photograph; Histological Slide",1
"Photograph; Transparency",1
"polyester",1
"polyester; Radiograph Note Paper",1
"Polyester; Radiograph Note Paper; Radiograph Note Paper",1
"Radiograph; Illustration; Photograph; Radiograph; Photograph",1
"Radiograph; Illustration; Photograph; Radiograph; Radiograph",1
"Radiograph; Illustration; Radiograph; Photograph",1
"Radiograph; Photograph; Radiograph; Illustration",1
"Radiograph; Photograph; Radiograph; Radiograph",1
"Radiograph; Scanning Electron Microphotograph",1
"Radiograph; Unknown",1
"Tissue sample; ETOH FIXED",1
"Transparency sleeve; Transparency",1
"Transparency; Jar Label; Radiograph",1
"transparency; Photograph",1
"Transparency; Transparency sleeve; Photograph; Field Notes",1
"Unknown; Photograph",1
"Unknown; Scanning Electron Microphotograph; Histological Slide",1
"Wet Osteological Specimen; Alcohol",1
