"Family","Count"
"cyprinidae",27503
"gobiidae",22506
"pomacentridae",15336
"labridae",12475
"blenniidae",11750
"myctophidae",11471
"apogonidae",11047
"serranidae",9568
"characidae",9151
"centrarchidae",7439
"percidae",7385
"stomiidae",7127
"holocentridae",5699
"muraenidae",5524
"catostomidae",5073
"carangidae",4777
"chaetodontidae",4727
"cichlidae",4604
"clupeidae",4556
"acanthuridae",4546
"lutjanidae",4546
"scorpaenidae",4538
"scaridae",4224
"salmonidae",3943
"synodontidae",3840
"haemulidae",3789
"mullidae",3697
"cottidae",3538
"tetraodontidae",3530
"poeciliidae",3528
"syngnathidae",3486
"paralichthyidae",3247
"ictaluridae",3108
"scombridae",2775
"sciaenidae",2624
"tripterygiidae",2619
"labrisomidae",2583
"fundulidae",2531
"congridae",2523
"exocoetidae",2493
"engraulidae",2443
"eleotridae",2390
"pseudochromidae",2348
"monacanthidae",2285
"pleuronectidae",2205
"sparidae",2204
"hemiramphidae",2164
"ophichthidae",2159
"ariidae",2113
"belonidae",1978
"curimatidae",1968
"bothidae",1899
"carcharhinidae",1892
"pomacanthidae",1886
"loricariidae",1878
"balistidae",1848
"atherinopsidae",1831
"atherinidae",1690
"lethrinidae",1655
"macrouridae",1620
"melamphaidae",1588
"bythitidae",1534
"cynoglossidae",1492
"siganidae",1461
"nemipteridae",1449
"sebastidae",1397
"chaenopsidae",1392
"ophidiidae",1379
"gonostomatidae",1318
"gobiesocidae",1314
"sternoptychidae",1261
"scyliorhinidae",1259
"zoarcidae",1253
"mugilidae",1165
"rajidae",1117
"gerreidae",1108
"antennariidae",1102
"cirrhitidae",1084
"batrachoididae",1037
"echeneidae",1014
"curculionidae",999
"callionymidae",952
"heptapteridae",947
"gasterosteidae",912
"cyprinodontidae",903
"ogcocephalidae",890
"platycephalidae",890
"nototheniidae",849
"esocidae",831
"pimelodidae",824
"anguillidae",813
"triglidae",808
"gempylidae",795
"lebiasinidae",790
"anostomidae",770
"achiridae",769
"crenuchidae",764
"pinguipedidae",762
"ostraciidae",761
"caesionidae",759
"stichaeidae",755
"terapontidae",742
"serrasalmidae",730
"",716
"apteronotidae",713
"plotosidae",687
"chlopsidae",668
"leiognathidae",664
"acropomatidae",663
"liparidae",661
"callichthyidae",654
"paralepididae",649
"phosichthyidae",645
"plesiopidae",637
"sternopygidae",628
"merlucciidae",620
"moridae",614
"agonidae",613
"ambassidae",611
"ephippidae",607
"doradidae",600
"microdesmidae",595
"soleidae",592
"priacanthidae",590
"moringuidae",563
"cobitidae",562
"petromyzontidae",550
"fistulariidae",535
"clinidae",533
"diodontidae",519
"synaphobranchidae",511
"gadidae",498
"branchiostomatidae",493
"zenarchopteridae",492
"uranoscopidae",488
"embiotocidae",486
"bagridae",470
"pempheridae",466
"erythrinidae",464
"dasyatidae",462
"chanidae",461
"alepocephalidae",454
"etmopteridae",451
"sphyraenidae",451
"pholidae",415
"alestidae",412
"triakidae",409
"centropomidae",399
"bryconidae",398
"peristediidae",398
"gasteropelecidae",390
"lophiidae",390
"osmeridae",390
"osphronemidae",389
"trichomycteridae",383
"mormyridae",379
"nemichthyidae",377
"auchenipteridae",371
"phycidae",369
"bathylagidae",348
"kyphosidae",343
"trichiuridae",343
"clariidae",339
"epigonidae",338
"polynemidae",334
"carapidae",328
"rivulidae",324
"ammodytidae",317
"moronidae",309
"percophidae",309
"aphredoderidae",297
"squalidae",297
"lepisosteidae",295
"hexagrammidae",293
"dactyloscopidae",290
"hemiodontidae",288
"umbridae",288
"nettastomatidae",287
"pristigasteridae",287
"synbranchidae",285
"coryphaenidae",284
"argentinidae",278
"chiasmodontidae",275
"dactylopteridae",269
"serrivomeridae",268
"halosauridae",267
"kuhliidae",266
"bregmacerotidae",264
"sphyrnidae",264
"triportheidae",261
"chimaeridae",257
"nemacheilidae",255
"hypopomidae",250
"opistognathidae",247
"nomeidae",242
"prochilodontidae",240
"trachichthyidae",240
"malacanthidae",237
"chlorophthalmidae",235
"siluridae",233
"notosudidae",230
"scomberesocidae",230
"aulostomidae",228
"scopelarchidae",227
"scophthalmidae",222
"melolonthidae",221
"rhinobatidae",221
"nothobranchiidae",219
"elopidae",216
"mastacembelidae",214
"zanclidae",214
"melanotaeniidae",213
"caproidae",212
"mochokidae",210
"albulidae",209
"howellidae",208
"acestrorhynchidae",207
"scatophagidae",204
"grammatidae",198
"centriscidae",192
"sillaginidae",189
"myliobatidae",187
"chaunacidae",186
"derichthyidae",185
