"dwc.scientificName","freq"
"Gobiidae",999
"Catostomus commersonii",962
"Eviota",929
"Semotilus atromaculatus",899
"Pimephales notatus",889
"Campostoma anomalum",852
"Rhinichthys atratulus",818
"Nocomis micropogon",760
"Hypentelium nigricans",757
"Lepomis gibbosus",723
"Pomacentrus",693
"Lepomis macrochirus",660
"Pristiapogon kallopterus",657
"Etheostoma olmstedi",644
"Rhinichthys cataractae",633
"Istiblennius edentulus",613
"Lepomis cyanellus",580
"Astyanax",578
"Notropis cornutus",570
"Lepomis auritus",565
"Etheostoma flabellare",559
"Myctophidae",549
"Anguilla rostrata",546
"Cottus bairdii",546
"Micropterus salmoides",539
"Menidia menidia",527
"Notemigonus crysoleucas",523
"Micropterus dolomieu",507
"Nocomis leptocephalus",485
"unpublished name",472
"Chauliodus sloani",471
"Clinostomus funduloides",465
"Ceratoscopelus warmingii",455
"Etheostoma nigrum",455
"Ambloplites rupestris",454
"Lampanyctus pusillus",449
"Stephanolepis hispidus",441
"Notolychnus valdiviae",440
"Perca flavescens",432
"Characidae",430
"Myripristis",429
"Ariosoma balearicum",428
"Gambusia affinis",424
"Clupeidae",423
"Lepomis megalotis",416
"Istiblennius lineatus",413
"Myripristis violacea",411
"Sternoptyx diaphana",407
"Etheostoma blennioides",406
"Labridae",404
"Ctenochaetus striatus",402
"Melamphaes pumilus",399
"Pomacentridae",393
"Moringua",392
"Diaphus mollis",390
"Lobianchia dofleini",383
"Atherinidae",381
"Myripristis murdjan",380
"Abudefduf saxatilis",379
"Notropis rubellus",377
"Alosa pseudoharengus",375
"Labroides dimidiatus",374
"Strongylura marina",374
"Balistapus undulatus",370
"Fundulus heteroclitus",367
"Cephalopholis argus",366
"Pomacentrus brachialis",366
"Branchiostoma",362
"Acanthurus nigrofuscus",361
"Acanthurus triostegus",361
"Ameiurus nebulosus",361
"Ictalurus punctatus",360
"Semotilus corporalis",360
"Gobiodon",357
"Oncorhynchus mykiss",357
"Diogenichthys atlanticus",354
"Notropis hudsonius",350
"Noturus insignis",349
"Gasterosteus aculeatus",346
"Characidium",345
"Rhinichthys osculus",344
"Bolinichthys indicus",342
"Lepomis gulosus",338
"Apogon",337
"Myripristis kuntee",335
"Plotosus lineatus",334
"Dascyllus aruanus",333
"Acanthurus",332
"Amblyglyphidodon curacao",332
"Labracinus cyclophthalmus",330
"Saurida gracilis",326
"Cheilodipterus macrodon",325
"Synodus variegatus",325
"Argyropelecus aculeatus",324
"Synodus dermatogenys",324
"Chlorurus sordidus",321
"Mullidae",319
"Histrio histrio",317
"Diplospinus multistriatus",315
"Syngnathus fuscus",314
"Fundulus diaphanus",311
"Symphurus plagiusa",311
"Moenkhausia",309
"Ostorhinchus nigrofasciatus",309
"Pseudogramma polyacanthum",305
"Chromis ternatensis",304
"Dascyllus trimaculatus",304
"Nocomis leptocephalus leptocephalus",303
"Cichlidae",302
"Hygophum hygomii",301
"Salvelinus fontinalis",301
"Bathygobius",300
"Serranidae",300
"Cyprinidae",299
"Paralepididae",299
"Cyprinodon variegatus",298
