"Continent","Count"
NA,29831
"AFG",14
"DZA",33
"ASM",1159
"ASM",106
"AGO",223
"AIA",96
"ATA",722
"ATG",208
"ARG",609
"ARM",2
"ABW",41
NA,237
"AUS",6041
"AUT",2
"AZE",2
NA,206
"BHS",2611
"BHR",164
NA,46
"BGD",69
"BRB",238
"BEL",15
"BLZ",4287
"BEN",32
"BMU",15321
"BOL",965
NA,177
"BIH",5
"BWA",76
"BVT",4
"BRA",11303
"IOT",1193
"BRN",781
"BGR",13
"BFA",3
"CPV",286
"KHM",16
"CMR",934
"CAN",2176
NA,56
NA,9
"CYM",47
"CAF",49
"TCD",1
"CHL",1072
"CHN",2914
"CXR",12
NA,110
"CCK",25
"COL",3773
"COM",259
"COG",72
"COD",286
"COK",123
"CRI",890
"CIV",118
"HRV",10
"CUB",2969
"CUW",1912
"CYP",1
"CSK",11
"DNK",40
"DJI",14
"DMA",1216
"DOM",282
"HTI",1
"TLS",2
NA,73
"ECU",1002
"EGY",2602
"SLV",1556
NA,2
"GNQ",3
"ERI",855
"EST",1
"ETH",9
"FLK",51
"FRO",2
"FJI",4908
"FRA",137
NA,1
"GUF",860
"PYF",8703
"ATF",14
"GAB",238
NA,1108
"GMB",32
"DEU",53
"GHA",1019
"GIB",2
"GRC",60
"GRL",151
"GRD",50
"GLP",61
"GUM",1375
"GTM",1169
"GIN",262
"GNB",68
"GUY",2054
"HTI",607
NA,4
"HND",392
"HKG",81
NA,183
"ISL",11
"IND",1654
"LKA",2
"IDN",11370
"MYS",3
"PNG",79
"IRN",197
"IRQ",3
"IRL",8
"ISR",353
"ITA",608
"JAM",615
"JPN",6216
"JPN",150
NA,47
NA,215
"JOR",3
"KAZ",9
"KEN",511
NA,11
NA,30
NA,5
"KIR",2312
"KOR",43
"KWT",42
"KGZ",1
"LAO",62
"LBN",1091
"LBR",850
"LBY",4
"MDG",1187
NA,75
"MWI",846
"MYS",2309
"MYS",12
"MDV",43
"MLI",67
NA,14
NA,196
"MHL",5023
"MTQ",28
"MRT",29
"MUS",3459
"MYT",175
"MEX",5940
"FSM",2403
"PLW",6
NA,37
"MCO",1
"MNG",14
"MNE",29
"MSR",4
"MAR",206
"MOZ",396
"MMR",1709
"NAM",23
"NRU",1
NA,787
"NPL",36
"NLD",3
"ANT",801
"NCL",1645
"NZL",653
"NIC",907
"NER",51
"NGA",634
"NIU",13
"NFK",34
"PRK",1
"VNM",1
"MNP",370
"NOR",246
"OMN",171
"PAK",404
"PLW",1633
NA,66
"PAN",9994
"PNG",7246
"PRY",1002
"PER",5460
"PER",10
"PHL",43771
"PHL",1
"PCN",21
"POL",1
"PRT",34
"PRI",1
"REU",74
"ROU",299
"RUS",1001
"SHN",94
"KNA",33
"LCA",149
NA,15
"VCT",69
NA,1
"WSM",895
"WSM",2
"STP",6
"SAU",607
"SAU",1
"SEN",111
"SYC",2382
"SLE",334
"SGP",182
"SLB",5608
"VUT",117
"SOM",1002
"ZAF",677
"SGS",384
"KOR",243
NA,42
NA,16
"VNM",10
"ESP",61
"LKA",2552
"SDN",219
"SUR",2300
"SJM",2
"SWE",60
"CHE",72
"SYR",12
"TWN",3451
"TJK",2
"TZA",280
"THA",2475
"TGO",501
"TKL",253
"TON",4489
"TTO",2078
NA,18
"TUN",334
"TUR",95
"UZB",1
"TCA",739
"TUV",29
"UGA",11
"UKR",26
"ARE",25
"GBR",182
"USA",107550
"URY",209
"VUT",4302
"VEN",5440
"VNM",177
"VNM",1
"VIR",84
"VIR",257
"VGB",142
NA,31
"WLF",1140
"ESH",4
"YEM",88
"YUG",82
"ZMB",97
"ZWE",3
