"dwc.scientificName","freq"
"Pimephales vigilax",17
"Gambusia affinis",15
"Cyprinella lutrensis",14
"Dorosoma cepedianum",11
"Ictalurus punctatus",7
"Lepomis cyanellus",6
"Micropterus salmoides",5
"Lepomis macrochirus",4
"Cyprinus carpio",3
"Carpiodes carpio",2
"Cyprinella venusta",2
"Ameiurus melas",1
"Campostoma anomalum",1
"Cichlasoma cyanoguttatum",1
"Etheostoma spectabile",1
"Fundulus kansae",1
"Lepisosteus osseus",1
"Morone chrysops",1
"Moxostoma congestum",1
"Noturus flavus",1
"Percina caprodes",1
"Phenacobius mirabilis",1
"Pomoxis annularis",1
