"Collector","Count"
"1",1
"2",23
"3",8
"4",2
"5",5
"6",3
"7",4
"8",2
"9",1
"10",1
"11",7
"12",15
"13",49
"14",23
"15",9
"16",8
"18",2
"19",3
"21",7
"22",1
"44",1
"50",1
"68",1
"75",19
"76",2
"78",2
"79",13
"80",20
"82",2
"83",1
"87",2
"101",1
"106",1
"113",1
"126",2
"139",1
"210",3
"250",274
"310",1
"311",5
"312",17
"314",28
"401",150
"406",3
"412",5
"425",1
"426",1
"427",4
"450",1
"451",2
"453",1
"456",1
"459",2
"463",1
"465",64
"500",3
"525",33
"1979",1
"1982",2
"1988",1
"2007",6
"7721",1
"7735",1
"27403",1
"32284",1
"nmfs",12088
"orr",3993
"j.w",3985
"uw",2609
"welander",1624
"d",1466
"fisheries",1460
"stevenson",1460
"schultz",1322
"class",1278
"m",1259
"fish",1149
"d.e",1143
"herre",1116
"and",1095
"a.w",1088
"chapman",1077
"a",1022
"applied",988
"pietsch",926
"t",915
"lab",908
"t.w",885
"j",852
"hoff",831
"j.r",791
"wdfw",781
"l.p",777
"delacy",751
"smith",728
"r",685
"mcphail",647
"e",632
"c",616
"w.m",615
"a.m",613
"observer",607
"p",587
"b",585
"donaldson",583
"al",557
"woods",547
"et",539
"palsson",530
"party",525
"shedlock",521
"grinols",510
"w",505
"macdonald",492
"marine",486
"reimer",481
"s",477
"g",468
"k",461
"l.l",448
"britt",442
"oceanography",436
"n",430
"l",423
"aron",414
"s.m.bollens",411
"mccrery",388
"a.d",381
"h",375
"noaa",369
"patten",367
"d.l",364
"nwfsc",362
"pacific",360
"squid",358
"investigation",357
"mammal",357
"j.a",345
"lopez",342
"miller",337
"institute",330
"clarke",315
"flerx",309
"amnis",304
"opes",304
"harris",301
"r.j",300
"w.c",300
"garrett",289
"a.c",288
"p.j",287
"cheyne",281
"r.s",280
"w.a",271
"pitman",269
"d.w",266
"e.l",266
"r.t",262
"hagen",261
"l.r",256
"nemeth",255
"snyder",247
"landewe",242
"t.j",240
"swfc",238
"ifc",237
"m.i",232
"bio",227
"allen",223
"a.e.c",213
"peck",207
"aec",205
"bruce",205
"wadoe",201
"hildebrand",198
"bowers",194
"hunter",193
"of",189
"hubbs",187
"greenfield",184
"van",183
"williams",181
"mark",180
"mar",177
"g.d",173
"biology",172
"cleve",171
"commission",170
"b.k",168
"usfws",167
"k.p",165
"harrison",164
"maslenikov",164
"v",164
"colin",162
"r.b",161
"lonzarich",159
"walker",159
"r.c",157
"pearson",156
"h.h",154
"young",154
"fram",152
"steeger",151
"wm",149
"usbcf",147
"day",145
"amaoka",144
"kynard",144
"safs",144
"remap",139
"radiation",137
"nichol",135
"survey",133
"urbain",133
"guberlet",132
"shedko",132
"j.h",131
"wolotira",131
"e.d",129
"foster",128
"rockwell",128
"lowery",127
"don",126
"eils",126
"was",126
"kotwicki",122
"nelson",122
"g.merritt",121
"merritt",121
"c.l",119
"carter",116
"lauth",115
"simenstad",115
"scattergood",114
"white",114
"j.d",113
"stadler",113
"andrew",111
"ablan",110
"tag",110
"alton",109
"catton",109
"obs",109
"steve",109
"meldrim",108
"shelford",108
"wayne",105
"balanov",102
"g.l",102
"royal",101
"wdoe",101
"gunderson",100
"thompson",100
"john",99
"zhiming",97
"dryfoos",96
"bradley",95
"botsford",94
"h.s",94
"martin",94
"tenzin",94
"f.j",93
"international",93
"jones",93
"peterson",93
"arctic",91
"eis",91
"j.e",91
"race",91
"spoor",91
"jensen",90
"prog",89
"kask",88
"o",88
"c.catton",87
"f",87
"fri",87
"wadley",87
"k.e",85
"meyers",85
"patton",84
"ed",83
"ormseth",83
"washington",83
"woodbury",83
"afsc",82
"anderson",82
"clark",82
"alverson",81
"j.l",80
"kamikawa",80
"cobb",77
"marshall",77
"blackhart",76
"wilson",76
"armstrong",75
"c.k",75
"jim",75
"for",74
"i.p.h.c",74
"u.s.f.w.s",73
"commercial",69
"sutton",69
"ward",69
"dr",68
"ecosystem",67
"integrated",67
"linger",67
"r.n",67
"slipp",67
"wilimovsky",67
"gilbertson",66
"high",65
"katz",65
"seas",65
"usgs",65
"acuna",64
"baker",63
"c.h",63
"fishermen",63
"kautz",63
"n.j",63
"k.m",62
"whoi",62
"crew",61
"miles",61
"norgore",61
"eisler",60
"nawqa",60
"wilby",60
"the",59
"marsh",58
"townsend",58
"w.h",58
"f.r.i",57
"kessler",57
"j.f",56
"levenson",56
"parkhurst",56
"somerton",56
"a.a",55
"brown",55
"state",55
"comm",54
"commando",54
"school",54
"g.v",53
"hart",53
"merriman",53
"munn",53
"sax",53
"west",53
"b.w",52
"fiscus",52
"r.n.c",52
"hutchinson",51
"johnson",51
"kyle",51
"peden",51
"cohen",50
"dd",50
"gillis",50
"u",50
"dunphy",49
"ebert",49
"hirschberger",49
"d.gunderson",48
"l.w",48
"lynch",48
"matt",48
"blaine",47
"norton",47
"schuyler",47
"b.g",46
"foci",46
"g.smith",46
"helstab",46
"joyner",46
"oparin",46
"r.l",46
"shocker",46
"crawford",45
"dinnel",45
"durant",45
"ebberts",45
"jose",45
"suomela",45
"abookire",44
"beantly",44
"bur",44
"donnelly",44
"stevens",44
"domantay",43
"foote",43
"erkkila",42
"mike",42
"s.f",42
"soutter",42
"465a",41
"c.e",41
"eyerdam",41
"fukuhara",40
"stark",40
"tom",40
"w.j",40
"co",39
"davis",39
"kaalaas",39
"loyd",39
"morton",39
"trygve",39
"a.j",38
"bonham",38
"g.b",38
"j.s",38
"lindsay",38
"p.c",38
"raymore",38
"eaton",37
"internat'l",37
"r.r",37
"raring",37
"howe",36
"sof",36
"tony",36
"bonnie",35
"capt",35
"earleywine",35
"iwamoto",35
"tracey",35
"d.s",34
"jon",34
"mundel",34
"v.s",34
"wilke",34
"yabe",34
"zemnukhov",34
"earlix",33
"i",33
"iphc",33
"j.b",33
"rustad",33
"seeb",33
"silliman",33
"t.w.p",33
"bernard",32
"e.s",32
"george",32
"mckernan",32
"schutlz",32
"shaklee",32
"szalay",32
"wells",32
"abe",31
"c.s",31
"d.m",31
"d.r",31
"dan",31
"ecology",31
"elger",31
"larson",31
"paul",31
"s.k",31
"tagging",31
"vessel",31
"bill",30
"busby",30
"deason",30
"dept",30
"hughes",30
"c.p",29
"c.r",29
"flock",29
"mr",29
"o'neill",29
"rad",29
"rugerone",29
"sandy",29
"small",29
"u.s",29
"univ",29
"aquarium",28
"biol",28
"donovan",28
"fox",28
"g.a",28
"german",28
"lisa",28
"pautzke",28
"rec'd",28
"reum",28
"university",28
"bob",27
"g.h",27
"gilbert",27
"minakawa",27
"n.w",27
"nancy",27
"shields",27
"society",27
"stinauer",27
"anna",26
"assumed",26
"b.s",26
"chris",26
"elz",26
"fieldtrip",26
"j.c",26
"kauffman",26
"von",26
"h.j",25
"haines",25
"king",25
"morin",25
"moulton",25
"p.o",25
"us",25
"wa",25
"william",25
"zemnuknov",25
"fred",24
"garlick",24
"gonzalez",24
"grant",24
"ichthyology",24
"jh",24
"kelez",24
"l.g",24
"rusalca",24
"staff",24
"bucher",23
"c.c",23
"cynthia",23
"e.c",23
"e.m",23
"franett",23
"parra",23
"r.f",23
"sea",23
"ueno",23
"weiss",23
"anonymous",22
"baltzo",22
"bolin",22
"friday",22
"g.j",22
"harbor",22
"hirshberger",22
"jb",22
"kate",22
"knapp",22
"lindsey",22
"lloyd",22
"m.h",22
"nicholson",22
"p.c.j",22
"samuel",22
"scott",22
"trygue",22
"v.l",22
"ak",21
"blackburn",21
"cowan",21
"dillingham",21
"egge",21
"f.i",21
"hall",21
"hitz",21
"ichthyological",21
"j.j.d",21
"kenaley",21
"kozalla",21
"m.a",21
"m.y",21
"myers",21
"radenbaugh",21
"raney",21
"sample",21
"snow",21
"springer",21
"t.b",21
"taylor",21
"todd",21
"uaf",21
"w.e",21
"butler",20
"chen",20
"cleaver",20
"connell",20
"ellickson",20
"g.i.s",20
"herald",20
"j.t",20
"jaenicke",20
"jarvis",20
"koalaas",20
"mc",20
"michael",20
"no",20
"ocean",20
"steager",20
"t.m",20
"talbot",20
"b.edwards",19
"b.w.walker",19
"bittner",19
"brover",19
"buser",19
"d.g",19
"david",19
"dorothy",19
"drumm",19
"hickerson",19
"k.r.s",19
"klein",19
"l.a",19
"l.l.b",19
"lenito",19
"long",19
"mccrey",19
"museum",19
"oda",19
"p.a",19
"pud",19
"saruwatari",19
"strehlau",19
"t.dresser",19
"e.v",18
"fehlmann",18
"hancey",18
"hartman",18
"hmuz",18
"holland",18
"kawai",18
"kitano",18
"littleton",18
"parker",18
"raymond",18
"ritchie",18
"shippen",18
"tushio",18
"vatter",18
"w.chapman",18
"warner",18
"weatherby",18
"weitkamp",18
"zenger",18
"ankenman",17
"barnaby",17
"baxter",17
"bennett",17
"copeland",17
"d.k",17
"donald",17
"dunlop",17
"fish406",17
"fisherman",17
"henry",17
"jorgensen",17
"l.d",17
"lewis",17
"lucas",17
"marcua",17
"o.n.o",17
"p.v.s",17
"parks",17
"pitruk",17
"powell",17
"richard",17
"sandercock",17
"thomas",17
"unknown",17
"ziesenhenne",17
"arthur",16
"atkinson",16
"borton",16
"c.h.z",16
"d.c",16
"dmitry",16
"e.j",16
"franette",16
"g.r",16
"game",16
"h.cheyne",16
"hyde",16
"markus",16
"mearns",16
"morris",16
"n.m",16
"nos",16
"r.smith",16
"ralston",16
"rosenthal",16
"seymour",16
"wildlife",16
"z",16
"abraham",15
"ben",15
"chang",15
"dell",15
"ellis",15
"fields",15
"findley",15
"from",15
"g.c",15
"glenn",15
"harville",15
"iverson",15
"jorgenson",15
"m.w",15
"pheiler",15
"program",15
