"Family","Count"
"cottidae",6486
"liparidae",2855
"pleuronectidae",2756
"salmonidae",2401
"sebastidae",2387
"cyprinidae",2124
"zoarcidae",1590
"stichaeidae",1462
"agonidae",1384
"myctophidae",1377
"labridae",1137
"gasterosteidae",913
"gadidae",868
"arhynchobatidae",806
"pomacentridae",687
"percidae",657
"hexagrammidae",631
"cyclopteridae",621
"osmeridae",605
"gobiidae",577
"pholidae",556
"psychrolutidae",536
"embiotocidae",530
"serranidae",515
"catostomidae",465
"stomiidae",457
"acanthuridae",447
"centrarchidae",447
"apogonidae",423
"hemitripteridae",420
"holocentridae",407
"scorpaenidae",365
"clupeidae",358
"chaetodontidae",356
"bathymasteridae",341
"ammodytidae",301
"macrouridae",292
"scaridae",280
"petromyzontidae",274
"paralichthyidae",262
"blenniidae",245
"muraenidae",240
"bathylagidae",229
"antennariidae",219
"mullidae",216
"carangidae",206
"oneirodidae",198
"melamphaidae",195
"syngnathidae",195
"rajidae",191
"lutjanidae",171
"gonostomatidae",151
"umbridae",148
"tetraodontidae",138
"aulorhynchidae",137
"merlucciidae",129
"ictaluridae",128
"synodontidae",128
"engraulidae",127
"trichodontidae",126
"batrachoididae",125
"albulidae",120
"zaproridae",120
"lethrinidae",119
"moridae",111
"paralepididae",107
"hemiramphidae",106
"balistidae",105
"nemichthyidae",104
"scyliorhinidae",93
"cryptacanthodidae",89
"chimaeridae",88
"mugilidae",87
"monacanthidae",82
"sternoptychidae",82
"ophichthidae",77
"pinguipedidae",76
"scombridae",76
"scopelarchidae",75
"anoplopomatidae",74
"gobiesocidae",74
"somniosidae",74
"nemipteridae",71
"pomacanthidae",70
"alepocephalidae",68
"bythitidae",68
"platytroctidae",66
"poeciliidae",65
"atherinidae",64
"fundulidae",63
"anarhichadidae",61
"scomberesocidae",61
"sciaenidae",57
"bothidae",56
"exocoetidae",54
"rhamphocottidae",51
"anoplogastridae",49
"chiasmodontidae",49
"oreosomatidae",49
"opisthoproctidae",45
"siganidae",45
"gerreidae",44
"platycephalidae",42
"terapontidae",42
"notosudidae",40
"alepisauridae",39
"ophidiidae",39
"stromateidae",39
"trichiuridae",39
"uranoscopidae",39
"squalidae",38
"cirrhitidae",37
"haemulidae",37
"myxinidae",37
