"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"70% alcohol","uwfc","adult collection","uw 028132","EtOH","","",NA,NA,NA,2275
"70% alcohol","uwfc","adult collection","uw 011022","EtOH","","",NA,NA,NA,2275
"70% ETHANOL","uwfc","adult collection","uw 020495","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010573","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004796","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 011778","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 015251","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004287","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 015878","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 005509","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 017305","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 012325","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 008643","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 018584","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 027101","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 011905","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 016621","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 017004","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 019574","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 008913","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 020622","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 018496","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010498","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004777","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010925","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010016","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 014004","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 001241","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010692","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 000473","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 002460","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004031","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 029071","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 011101","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 026357","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 027442","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 013576","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 007187","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 028735","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 000270","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 009702","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 016142","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 019282","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 015269","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 003252","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 002487","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004823","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010096","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 027509","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 027174","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 009331","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 002284","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 011144","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 029027","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 021974","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 013723","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 003185","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004014","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 007084","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 027573","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 007642","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 017950","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 007820","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 000957","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 006519","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 016260","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 019952","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 005309","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 016417","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 019194","EtOH","","",NA,NA,NA,86
