"Waterbody","Count"
"eastern north pacific ocean",28760
"western north pacific ocean",693
"western north atlantic ocean",412
"south pacific ocean",129
"arctic ocean",75
"strait of georgia",40
"north atlantic ocean",36
"north pacific ocean",33
"hecate strait",26
"indian ocean",23
"western pacific ocean",15
"gulf of mexico",13
"bering sea",10
"eastern south atlantic ocean",9
"eastern north atlantic ocean",7
"gulf of alaska",7
"quatsino sound",6
"caribbean sea",5
"mediterranean sea",5
"fitzhugh sound",2
"atlantic ocean",1
"bahía de los angeles",1
"norton sound",1
"western south atlantic ocean",1
