"Collector","Count"
"nmfs",64111
"afsc",64000
"al",3257
"et",3257
"bermingham",2935
"e",2935
"k.d",1393
"waldron",1393
"vpa",1121
"and",844
"j",473
"n.b",362
"parks",362
"shippen",361
"a.j",322
"chester",322
"clark",313
"sztajnduchert",313
"w",313
"h",220
"ingraham",158
"h.h",141
"f",135
"favorite",135
"d.s",61
"day",61
"a",49
"fleisher",49
"r.horner",47
"foci",38
"alton",36
"d.t",36
"m.s",36
"rodman",36
"commission",14
"halibut",14
"international",14
"pacific",14
"morgan",13
"k",12
"brenda",11
"holladay",11
"ims",11
"uaf",11
"b",10
"busby",8
"larkin",8
"adfg",7
"davis",7
"nancy",7
"safs",7
"uw",7
"bonham",6
"frost",6
"sian",5
"c.r",4
"d",4
"dark",4
"hitz",4
"major",4
"t",4
"marliave",3
"abookire",2
"alisa",2
"britt",2
"feist",2
"lyle",2
"iphc",1
"j.f",1
"jeff",1
"lynch",1
